species,node,fcv,FCS,ProfileCorrDistFCV,ObservedNetTE,NeighborNetTE,n_recordings,level,window_config,root_area_id,normalization,node_class,cell_class,fcv_z,rank_high_to_low,percentile,global_rank_high_to_low,global_percentile,class_order,class_label,class_short,fine_class,analysis_note,shared_fine_order,shared_fine_label
C. elegans,ASER,0.7767642771058964,-0.2354860781975471,1.463901926799282,-0.1317297493893244,0.1398738334201192,7,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.9802044278238518,27,0.7833333333333333,46,0.809322033898305,0,sensory input,sensory input,chemosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
C. elegans,AVKL,0.7325166341555567,-1.2345667629408483,0.7069632184108839,-0.6622073857016985,-0.2975895221253454,2,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,0.9238107130983123,28,0.775,47,0.8050847457627118,2,integrative relay,integrative relay,integrative interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
Drosophila,SLP_L,0.7277639982252342,0.7388948637567933,-0.7787289982952539,0.0197985265621414,-0.291088243718862,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,1.0040006535054802,9,0.8805970149253731,48,0.8008474576271186,2,integrative relay,integrative relay,superior protocerebrum,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
C. elegans,SMBVR,0.720566827203706,-0.480964095465369,-0.2318325545025621,-0.0280914315897513,0.0876888120242255,2,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Motorneuron,0.9085806588099005,29,0.7666666666666667,49,0.7966101694915254,1,sensorimotor output,sensorimotor output,head motor / command,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,AVAR,0.680299247823455,-1.058271284985749,-1.3727743576573137,-0.0545976675214359,-0.2183220002080393,14,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,0.8572595435404043,30,0.7583333333333333,50,0.7923728813559322,1,sensorimotor output,sensorimotor output,locomotor command interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,ASHL,0.6738876331718797,0.3110970173835121,0.9232957410990386,0.3694228454559929,0.8885555916733329,7,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.849087927077199,31,0.75,51,0.788135593220339,0,sensory input,sensory input,chemosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
Drosophila,SLP_R,0.6664468040176648,0.6313431683980313,-0.533079906794747,0.1788489843804341,0.0235635769737104,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.9215221521694902,10,0.8656716417910447,52,0.7838983050847458,2,integrative relay,integrative relay,superior protocerebrum,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
C. elegans,AVER,0.6500604998307045,-0.9997458522336068,-1.5589994612432625,-0.0239385868524218,-0.1402566211819325,14,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,0.8187201951309415,32,0.7416666666666667,53,0.7796610169491526,1,sensorimotor output,sensorimotor output,locomotor command interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
Drosophila,PB,0.6451926071976828,-0.4622566818728273,0.5033258265877026,0.4791798931735204,-0.0022431245173898,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.8929328743418384,11,0.8507462686567164,54,0.7754237288135594,4,state-dependent / modulatory,state-dependent / modulatory,central complex,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",6,state-dependent / modulatory
Drosophila,IPS_L,0.6164480795611077,0.3226484480852571,-0.2505859018390303,0.6250973034830859,-0.1154568670138516,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.8542682617202944,12,0.835820895522388,55,0.7711864406779662,2,integrative relay,integrative relay,other fly brain,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
C. elegans,AVEL,0.6137646863542995,-0.6807863352407204,-1.682380187332189,0.5690981606822318,-0.2083350907944174,12,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,0.7724611039242751,33,0.7333333333333333,56,0.7669491525423728,1,sensorimotor output,sensorimotor output,locomotor command interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,OLLL,0.606781154693357,1.5048215061347388,-0.6700856975062432,-0.1285480283490352,-0.1302216278606139,16,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.7635605780204217,34,0.725,57,0.7627118644067796,0,sensory input,sensory input,other sensory neuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",2,other sensory
Zebrafish,rMOS3,0.6006125249948738,1.0886684717213655,-0.565714070093828,0.7583708013931002,-0.077771360816365,7,root_area_from_louvain_communities,baseline_highpass,40.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,0.8300557142331654,12,0.7755102040816326,58,0.7584745762711864,1,sensorimotor output,sensorimotor output,hindbrain/reticular,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,ASEL,0.5999583936775703,-0.5180904408485838,0.4927206992630867,0.1671808327193268,0.4189530060888308,14,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.7548649546445814,35,0.7166666666666667,59,0.7542372881355932,0,sensory input,sensory input,chemosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
C. elegans,ASKL,0.5883323255348336,-0.0405582235481815,1.7006827256193724,-0.1453260012664819,0.2942794375769891,3,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.7400475061545676,36,0.7083333333333334,60,0.75,0,sensory input,sensory input,other sensory neuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",2,other sensory
C. elegans,AWAL,0.577224714145049,-0.6439779148503378,0.2008519534919967,-0.3689596329737668,0.201596098502643,11,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.7258908318950892,37,0.7,61,0.7457627118644068,0,sensory input,sensory input,chemosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
Zebrafish,MOS1,0.5596060464553536,0.6964195772532633,-0.8397669867838887,1.039511699498348,-0.2000453311766014,7,root_area_from_louvain_communities,baseline_highpass,2.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,0.7816345017948773,13,0.7551020408163265,62,0.7415254237288136,1,sensorimotor output,sensorimotor output,hindbrain/reticular,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
Drosophila,SMP_R,0.5561460857546392,1.0704002126206429,-0.8879626429852954,0.8685150659695559,-0.4813547523866271,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.7731553187520773,13,0.8208955223880597,63,0.7372881355932204,2,integrative relay,integrative relay,superior protocerebrum,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
Drosophila,VES_L,0.5288246271017737,0.972233990814679,-0.6454399024006771,0.424539969488424,-0.1674905296086346,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.7364048934737566,14,0.8059701492537313,64,0.7330508474576272,1,sensorimotor output,sensorimotor output,premotor / descending interface,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
Drosophila,VES_R,0.5249681128180895,0.8104662438698801,-0.5961193777328161,0.5120353066851188,-0.1633249470105814,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.7312174493545368,15,0.7910447761194029,65,0.7288135593220338,1,sensorimotor output,sensorimotor output,premotor / descending interface,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
Drosophila,SMP_L,0.4981025441101815,0.991869014011766,-0.8107295377229133,0.6122500865138267,-0.314726396657086,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.6950802471683712,16,0.7761194029850746,66,0.7245762711864406,2,integrative relay,integrative relay,superior protocerebrum,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
C. elegans,SMDVR,0.4971143493714456,0.0591979456405028,0.0958033352295101,0.225981210243427,0.3551907022721045,12,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Motorneuron,0.6237900021927737,38,0.6916666666666667,67,0.7203389830508474,1,sensorimotor output,sensorimotor output,head motor / command,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
Drosophila,LH_L,0.4949474512208566,0.3322948287576177,-0.4139265629141889,-0.3214747643477784,-0.1288268642277906,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.6908362934707111,17,0.7611940298507462,68,0.7161016949152542,0,sensory input,sensory input,olfactory system,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
Drosophila,LAL_R,0.4937769585849373,0.9874930957423318,-0.5832986820271789,0.1993584377499336,-0.3096483549687145,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.6892618496351267,18,0.746268656716418,69,0.711864406779661,1,sensorimotor output,sensorimotor output,premotor / descending interface,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,ASIR,0.4849856275222814,-0.7324724324560794,1.188799583291816,-0.3305150498282085,0.438168909980047,6,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.6083319204885158,39,0.6833333333333333,70,0.7076271186440678,0,sensory input,sensory input,chemosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
C. elegans,OLLR,0.4687836997370606,1.65761470114874,-0.585916147975814,0.4533935019539206,-0.1414947653965428,17,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.5876825291853679,40,0.675,71,0.7033898305084746,0,sensory input,sensory input,other sensory neuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",2,other sensory
Drosophila,CRE_R,0.4577458268980124,0.7577204218349758,-1.0229794113885031,-0.8437620101097989,-0.1125460873560447,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.6407959375629398,19,0.7313432835820896,72,0.6991525423728814,2,integrative relay,integrative relay,lateral/inferior protocerebrum,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
C. elegans,RIH,0.4553865140885128,0.2470007453712704,0.0763291155660195,-0.3245226734687025,0.2756416135607064,14,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,0.5706077876802162,41,0.6666666666666666,73,0.6949152542372882,2,integrative relay,integrative relay,integrative interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
C. elegans,SMDDL,0.4548987190159245,-0.520839040346125,-0.526715154887189,0.0381536851275416,0.4006612159992047,6,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Motorneuron,0.5699860918262938,42,0.6583333333333333,74,0.690677966101695,1,sensorimotor output,sensorimotor output,head motor / command,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,RIR,0.4501143383908784,-0.4133623066227784,0.5532807774816366,-0.5821799983110687,0.4530658263679225,4,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,0.5638883885789127,43,0.65,75,0.6864406779661016,2,integrative relay,integrative relay,integrative interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
Drosophila,LAL_L,0.4396997499677837,0.978350540010649,-0.6667077480314775,0.0980135055798757,-0.226530898988775,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.6165219406941218,20,0.7164179104477612,76,0.6822033898305084,1,sensorimotor output,sensorimotor output,premotor / descending interface,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
Drosophila,LH_R,0.4310021709390036,-0.1804497675008425,0.0579142930810058,-0.540003615107674,-0.0733906155432213,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.6048227216933841,21,0.7014925373134329,77,0.6779661016949152,0,sensory input,sensory input,olfactory system,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
C. elegans,SAADL,0.4228558155914764,-0.9479740658005468,-0.2374596257026009,0.6213578038514113,0.4785706160446045,3,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,0.529147343495125,44,0.6416666666666667,78,0.673728813559322,1,sensorimotor output,sensorimotor output,other interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,OLQVR,0.3997094468964087,1.169836548472417,-0.280919419485687,0.1447338146185192,-0.2504332222364676,12,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.49964724753324996,45,0.6333333333333333,79,0.6694915254237288,0,sensory input,sensory input,mechanosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",2,other sensory
Drosophila,SPS_L,0.3901537089516166,0.8376384376140423,-0.4284417818015839,0.3918398233584614,-0.1059988992348096,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.5498769602289119,22,0.6865671641791045,80,0.6652542372881356,1,sensorimotor output,sensorimotor output,premotor / descending interface,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,AWCL,0.3832651283528502,-0.0368229523874476,0.6876512903565858,-0.1418960017650895,0.4279441383280103,17,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.47868892869484014,46,0.625,81,0.6610169491525424,0,sensory input,sensory input,chemosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
C. elegans,RMED,0.3714234804910817,0.3737084421110566,-0.6177560374109412,-0.6785169637075152,0.097709604841688,3,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Motorneuron,0.4635967233959873,47,0.6166666666666667,82,0.6567796610169492,1,sensorimotor output,sensorimotor output,head motor / command,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
Drosophila,SPS_R,0.36874158204957,0.6706172708987681,-0.3020202623330361,0.1750949330748588,-0.0131384522679384,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.5210752487331366,23,0.6716417910447762,83,0.652542372881356,1,sensorimotor output,sensorimotor output,premotor / descending interface,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
Drosophila,PLP_L,0.3684434293372752,0.8191728047090207,-0.5615787450908492,0.5667451011858544,-0.2195503148218848,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.5206741999050364,24,0.6567164179104478,84,0.6483050847457628,2,integrative relay,integrative relay,visual-association protocerebrum,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
C. elegans,IL1L,0.3664814278559613,1.142381404417109,-0.2236623483221606,-0.4102881362463168,-0.0934248572143096,15,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.45729806683757185,48,0.6083333333333333,85,0.6440677966101694,0,sensory input,sensory input,mechanosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",2,other sensory
C. elegans,AINL,0.364216525156013,-0.6589906732249817,0.8319645191688704,-0.4635351903899516,-0.0470183767467158,12,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,0.45441144354590096,49,0.6,86,0.6398305084745762,3,associative / learning,associative / learning,associative interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",5,associative / learning
Zebrafish,rPT,0.353145074004784,0.7055852588323897,-0.1128612952712912,-0.3860842129776369,-0.118668947066589,7,root_area_from_louvain_communities,baseline_highpass,60.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,0.5378415460644842,14,0.7346938775510204,87,0.635593220338983,0,sensory input,sensory input,pretectal visual,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",1,visual / optic
Drosophila,SIP_R,0.3441416109096894,0.5086695320597057,-0.6695813169357729,-0.3513623332392205,-0.3488715672260166,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.48798552930374556,25,0.6417910447761194,88,0.6313559322033898,2,integrative relay,integrative relay,superior protocerebrum,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
Drosophila,CRE_L,0.3426909346216281,0.6994282388678797,-1.142905585288427,-0.691559114364249,-0.0974110778245264,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.4860342070407287,26,0.6268656716417911,89,0.6271186440677966,2,integrative relay,integrative relay,lateral/inferior protocerebrum,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
Drosophila,SAD,0.3380285331423904,0.8688156319836242,-0.5797671577527139,0.6626247693676428,-0.2025926094196681,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.4797627542842235,27,0.6119402985074627,90,0.6228813559322034,2,integrative relay,integrative relay,other fly brain,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
C. elegans,IL1DR,0.3375285923488725,0.8802678325309023,-0.4589107407115689,-0.0650553805023231,0.14904015351577,16,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.4203976166166477,50,0.5916666666666667,91,0.6186440677966102,0,sensory input,sensory input,mechanosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",2,other sensory
C. elegans,URYVL,0.3352270176992441,0.0061249137831991,-0.8090521680405129,-0.5867913336960952,-0.0058817706658885,17,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.4174642548473813,51,0.5833333333333334,92,0.614406779661017,0,sensory input,sensory input,other sensory neuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",2,other sensory
Zebrafish,pRF,0.3253332848692573,-0.2233327988661183,-0.5794064945739549,0.3960485994230183,0.3579760217603596,7,root_area_from_louvain_communities,baseline_highpass,14.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,0.5050008682500667,15,0.7142857142857143,93,0.6101694915254238,1,sensorimotor output,sensorimotor output,hindbrain/reticular,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,ADLR,0.3055545828186178,-0.2572444944395016,1.0847968182072416,-0.3281148687322128,-0.9223364159310292,5,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.3796466736996528,52,0.575,94,0.6059322033898306,0,sensory input,sensory input,chemosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
Drosophila,SCL_L,0.3000152501603713,0.6380395322634754,-0.5271667426448888,-0.2650733736594693,-0.1358008558477783,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.4286306264734766,28,0.5970149253731343,95,0.6016949152542372,2,integrative relay,integrative relay,other fly brain,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
Drosophila,PVLP_L,0.2930105331063098,0.5697311186671901,-0.3037444064918707,-0.0112127247154702,-0.1003409605804141,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.4192084966391288,29,0.582089552238806,96,0.597457627118644,2,integrative relay,integrative relay,visual-association protocerebrum,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
Drosophila,PLP_R,0.2849500985973232,0.5285909944926259,-0.3214594519311159,-0.0428701114356739,0.0849208666734363,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.4083663084566818,30,0.5671641791044776,97,0.5932203389830508,2,integrative relay,integrative relay,visual-association protocerebrum,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
C. elegans,ASGR,0.2448407951202664,-0.293484572425871,-0.5765816763306326,-0.0838639500981662,0.0515834948094006,12,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.3022668225918661,53,0.5666666666666667,98,0.5889830508474576,0,sensory input,sensory input,chemosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
C. elegans,SAADR,0.2322001526469293,-0.6256141440743301,0.3697926737804053,-0.3967657821537811,0.4871642957632618,4,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,0.2861562969670557,54,0.5583333333333333,99,0.5847457627118644,1,sensorimotor output,sensorimotor output,other interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
C. elegans,OLQDR,0.2279380724054969,1.3268014963819696,-0.1666160400501981,-0.2139089126990023,0.1635668994547793,16,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.28072426666563477,55,0.55,100,0.5805084745762712,0,sensory input,sensory input,mechanosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",2,other sensory
C. elegans,SMDDR,0.2208586436124091,0.4540655258241586,-0.4870311869473076,-0.2682134754821467,-0.2977203688872631,4,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Motorneuron,0.2717015196636027,56,0.5416666666666666,101,0.576271186440678,1,sensorimotor output,sensorimotor output,head motor / command,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
Zebrafish,rPrT,0.2089757229379403,0.7595810771794304,-0.3178299277722134,-0.5210501517860583,-0.2031842443825288,7,root_area_from_louvain_communities,baseline_highpass,62.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,0.3676036952729336,16,0.6938775510204082,102,0.5720338983050848,0,sensory input,sensory input,pretectal visual,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",1,visual / optic
C. elegans,AWBL,0.2060838325176514,-0.0970805494221019,0.4849779925798668,-0.1444180463333277,0.5715693105134416,18,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Sensory,0.25287099160730303,57,0.5333333333333333,103,0.5677966101694916,0,sensory input,sensory input,chemosensory,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",0,olfactory / chemosensory
Drosophila,FB,0.1995542295275978,0.9288965557007216,-1.1674743363710491,0.2467628683768407,-0.1820092496389133,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.293499289634645,31,0.5522388059701493,104,0.5635593220338984,4,state-dependent / modulatory,state-dependent / modulatory,central complex,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",6,state-dependent / modulatory
Drosophila,SCL_R,0.19423635092422,0.5504246178057438,-0.4711203670008082,-0.4452627496966403,-0.1628541371348368,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.28634614665147856,32,0.5373134328358209,105,0.559322033898305,2,integrative relay,integrative relay,other fly brain,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
Drosophila,EB,0.1770184289602794,0.0406388951368797,-0.8379857723991957,-0.1922043709318893,-0.1027018341080901,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.2631861110683348,33,0.5223880597014925,106,0.5550847457627118,4,state-dependent / modulatory,state-dependent / modulatory,central complex,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",6,state-dependent / modulatory
Zebrafish,rTeO,0.1595628735529932,-0.5274194817084695,0.9202568185801256,0.5427007172755779,-0.8020438180261555,7,root_area_from_louvain_communities,baseline_highpass,65.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,0.30925608381091196,17,0.673469387755102,107,0.5508474576271186,0,sensory input,sensory input,optic tectum / midbrain,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",1,visual / optic
Drosophila,SIP_L,0.150938837554705,0.2308576423277401,-0.3412616723824904,-0.5433069708885297,-0.1128809140072707,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.22810613648069775,34,0.5074626865671642,108,0.5466101694915254,2,integrative relay,integrative relay,superior protocerebrum,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
C. elegans,AVKR,0.1289578386435944,-1.3090211686767117,0.5777294006618098,-0.2892964711175182,0.4135859260828563,2,neuron,w20_step8_highpass,,within_recording_zscore_then_node_mean,neuron,Interneuron,0.15457374894199888,58,0.525,109,0.5423728813559322,2,integrative relay,integrative relay,integrative interneuron,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
Zebrafish,rMOS1,0.1271693952762554,1.1251800210027396,-1.0276538871248284,0.769355104067202,-0.0045274857886018,7,root_area_from_louvain_communities,baseline_highpass,38.0,within_recording_zscore_then_node_mean,root_area_from_louvain_communities,,0.2710052622549642,18,0.6530612244897959,110,0.538135593220339,1,sensorimotor output,sensorimotor output,hindbrain/reticular,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",3,sensorimotor output
Drosophila,PVLP_R,0.1177895177903817,0.4865566200780858,-0.1650534226784979,0.0699321109422291,-0.2348775471157663,20,side key,w15_step5_highpass_atlas_mean_trace,,within_recording_zscore_then_node_mean,side key,,0.1835165845645832,35,0.4925373134328358,111,0.5338983050847458,2,integrative relay,integrative relay,visual-association protocerebrum,"Literature-guided five-way anatomical/functional class; compare within-species FCV ranks, not raw FCV or strict homology.",4,integrative relay
