StimulusIndex,Region,MeanStimulusFCV,SEMStimulusFCV,N,RegionID,Division
10,OB,2.4178451811864266,0.4129565314005589,7,20,Tel
10,lP,0.23346053493818758,0.36074338430099373,7,22,Tel
10,lPO,0.15534852680816127,0.34021823752607044,7,25,Tel
10,lSP,0.28931890709207086,0.30437521641811,7,28,Tel
10,rOB,2.744862154093135,0.36564760741988334,7,56,Tel
10,rP,0.6559106554748715,0.27184742435704135,7,58,Tel
10,rPO,0.4625215986716405,0.3996148164326069,7,61,Tel
10,rSP,0.15203750852620196,0.2882838614302027,7,64,Tel
10,lHb,0.8281616227889946,0.34073775082131325,7,16,Di
10,lPT,-0.3003274552641633,0.18412419963200397,7,24,Di
10,lPrT,-0.5264802645361922,0.09305736537133978,7,26,Di
10,lTh,-0.3246485796103764,0.11508385194561757,7,30,Di
10,rHb,0.5310127563338752,0.3638494126579945,7,52,Di
10,rPT,0.06849524674252111,0.26220902567708315,7,60,Di
10,rPrT,-0.4948189103642564,0.11006806081131389,7,62,Di
10,rTh,0.14193885967928685,0.16184124816028175,7,66,Di
10,lTeO,0.3801216892452865,0.1755682255096087,7,29,Mes
10,lTS,1.2786815030801253,0.6600269098789934,7,32,Mes
10,rTeO,0.17447288464840044,0.14070218996211567,7,65,Mes
10,rTS,0.12830685482214857,0.29697223325936695,7,68,Mes
10,lMON,1.1875453208149942,0.17857083690872066,7,0,Hind
10,lCb,-0.3785031783255524,0.1291342823643995,7,1,Hind
10,lMOS1,-0.7861990637182491,0.13526183476729348,7,2,Hind
10,lMOS2,-0.5813127373093453,0.11120524099110549,7,3,Hind
10,lMOS3,-0.7347003608496546,0.21190549359232455,7,4,Hind
10,lMOS4,-0.4421566238512056,0.1183933916652413,7,5,Hind
10,lMOS5,0.15927049343674532,0.19309688358846486,7,6,Hind
10,lRa,0.2122421713489404,0.4639689441451342,7,10,Hind
10,lT,-0.7358171082888713,0.09864688852607917,7,11,Hind
10,laRF,-0.17608804121904606,0.40250726907417295,7,12,Hind
10,limRF,-0.2534236150014744,0.14782545369403458,7,13,Hind
10,lpRF,-0.4067020191832999,0.17162547770769263,7,14,Hind
10,lNX,-0.32816715724019474,0.2623873837713495,7,35,Hind
10,rMON,0.8455343973262494,0.2625022202587629,7,36,Hind
10,rCb,-0.28653696587145,0.17506342563796384,7,37,Hind
10,rMOS1,-0.99028962867963,0.16805824529292537,7,38,Hind
10,rMOS2,-0.6330151736619932,0.17501712111710072,7,39,Hind
10,rMOS3,-0.8515845636549573,0.13537240175568174,7,40,Hind
10,rMOS4,-0.8327283036167111,0.15008405709105002,7,41,Hind
10,rMOS5,0.016204346411473985,0.19411234556276616,7,42,Hind
10,rRa,-0.0007263418841778989,0.3156796643230857,7,46,Hind
10,rT,-0.659531487415814,0.10408584912461966,7,47,Hind
10,raRF,-0.6778441925776008,0.152022531876066,7,48,Hind
10,rimRF,-0.418633926710901,0.20457320205127688,7,49,Hind
10,rpRF,-0.8241636243299847,0.14152926621191037,7,50,Hind
10,rNX,-0.4188938903046176,0.155390207560086,7,71,Hind
11,OB,1.6762189778109853,0.4884051520859346,7,20,Tel
11,lP,0.6257872467738534,0.4075945051293566,7,22,Tel
11,lPO,0.03088549401492437,0.30224418791364743,7,25,Tel
11,lSP,0.995384241072843,0.34610422385026873,7,28,Tel
11,rOB,1.220761747919108,0.4962910053946456,7,56,Tel
