threshold,threshold_value,X,Y,Method,R,P,N
all,0.0,in_strength,MeanRawFC,pearson,0.2207740332454119,0.1358921462025799,47
all,0.0,in_strength,MeanRawFC,spearman,0.5472941720629046,6.862106494906238e-05,47
p50,513.5714285714286,RegionSC_DCA_scaled_sqrtN,MeanZFCV,pearson,0.10953107972038142,0.4636215527746054,47
p50,513.5714285714286,RegionSC_DCA_scaled_sqrtN,MeanZFCV,spearman,0.030932901634735152,0.8364752042244284,47
p50,513.5714285714286,RegionSC_DCA_scaled_sqrtN,MeanRawFCV,pearson,0.10432051190377037,0.48528051972599534,47
p50,513.5714285714286,RegionSC_DCA_scaled_sqrtN,MeanRawFCV,spearman,0.014628082455304661,0.9222580317218763,47
p50,513.5714285714286,RegionSC_DCA_scaled_sqrtN,MeanZFC,pearson,-0.09816576595405978,0.5115301750835497,47
p50,513.5714285714286,RegionSC_DCA_scaled_sqrtN,MeanZFC,spearman,-0.030123442526536474,0.8406982134429934,47
p50,513.5714285714286,RegionSC_DCA_scaled_sqrtN,MeanRawFC,pearson,-0.09488733374767554,0.5257989778867749,47
p50,513.5714285714286,RegionSC_DCA_scaled_sqrtN,MeanRawFC,spearman,-0.02538232489280137,0.8655182807992567,47
p50,513.5714285714286,RegionSC_PostDCA_scaled_sqrtN,MeanZFCV,pearson,-0.012678367382268393,0.9341226622716378,45
p50,513.5714285714286,RegionSC_PostDCA_scaled_sqrtN,MeanZFCV,spearman,0.0447957839262187,0.7701414802273763,45
p50,513.5714285714286,RegionSC_PostDCA_scaled_sqrtN,MeanRawFCV,pearson,-0.024288527859767026,0.8741646899805585,45
p50,513.5714285714286,RegionSC_PostDCA_scaled_sqrtN,MeanRawFCV,spearman,0.04400527009222661,0.7740905041419016,45
p50,513.5714285714286,RegionSC_PostDCA_scaled_sqrtN,MeanZFC,pearson,-0.09197874536146185,0.5478896631639563,45
p50,513.5714285714286,RegionSC_PostDCA_scaled_sqrtN,MeanZFC,spearman,-0.10434782608695652,0.4951411886058906,45
p50,513.5714285714286,RegionSC_PostDCA_scaled_sqrtN,MeanRawFC,pearson,-0.07589501919826994,0.620241401328093,45
p50,513.5714285714286,RegionSC_PostDCA_scaled_sqrtN,MeanRawFC,spearman,-0.10342555994729906,0.4989817759878479,45
p50,513.5714285714286,RegionSC_PreDCA_scaled_sqrtN,MeanZFCV,pearson,0.17418323939513627,0.28240046626668697,40
p50,513.5714285714286,RegionSC_PreDCA_scaled_sqrtN,MeanZFCV,spearman,-0.09043151969981238,0.5789342610670631,40
p50,513.5714285714286,RegionSC_PreDCA_scaled_sqrtN,MeanRawFCV,pearson,0.17319503514944973,0.28518248205980057,40
p50,513.5714285714286,RegionSC_PreDCA_scaled_sqrtN,MeanRawFCV,spearman,-0.09906191369606004,0.5430850658850512,40
p50,513.5714285714286,RegionSC_PreDCA_scaled_sqrtN,MeanZFC,pearson,-0.5473371115207173,0.0002571628387265614,40
p50,513.5714285714286,RegionSC_PreDCA_scaled_sqrtN,MeanZFC,spearman,-0.3360225140712946,0.0340164678309063,40
p50,513.5714285714286,RegionSC_PreDCA_scaled_sqrtN,MeanRawFC,pearson,-0.5211495591733397,0.0005646622012060448,40
p50,513.5714285714286,RegionSC_PreDCA_scaled_sqrtN,MeanRawFC,spearman,-0.3341463414634147,0.03509097799359208,40
p50,513.5714285714286,out_degree,MeanZFCV,pearson,-0.3554920588997547,0.014198853200063914,47
p50,513.5714285714286,out_degree,MeanZFCV,spearman,-0.13105273908242854,0.37991406119901994,47
p50,513.5714285714286,out_degree,MeanRawFCV,pearson,-0.3655480303825957,0.011513777721500968,47
p50,513.5714285714286,out_degree,MeanRawFCV,spearman,-0.14257195068905543,0.3390722847666331,47
p50,513.5714285714286,out_degree,MeanZFC,pearson,0.694219850801549,6.244697807415892e-08,47
p50,513.5714285714286,out_degree,MeanZFC,spearman,0.5610261250825518,4.0951814681520346e-05,47
p50,513.5714285714286,out_degree,MeanRawFC,pearson,0.6726494213284466,2.2334283049878714e-07,47
p50,513.5714285714286,out_degree,MeanRawFC,spearman,0.5407083196859386,8.720623177808128e-05,47
p50,513.5714285714286,in_degree,MeanZFCV,pearson,-0.4102787702276242,0.004179627491741591,47
p50,513.5714285714286,in_degree,MeanZFCV,spearman,-0.07330119155217704,0.6243777886674899,47
p50,513.5714285714286,in_degree,MeanRawFCV,pearson,-0.41717086120050595,0.003531224345041261,47
p50,513.5714285714286,in_degree,MeanRawFCV,spearman,-0.07602678965577857,0.611513299331016,47
p50,513.5714285714286,in_degree,MeanZFC,pearson,0.7181297394892248,1.3282732717720799e-08,47
p50,513.5714285714286,in_degree,MeanZFC,spearman,0.5603133803616571,4.2087540718512004e-05,47
p50,513.5714285714286,in_degree,MeanRawFC,pearson,0.6956587914333389,5.713310502761453e-08,47
p50,513.5714285714286,in_degree,MeanRawFC,spearman,0.545409577965368,7.353021675522741e-05,47
p50,513.5714285714286,out_strength,MeanZFCV,pearson,-0.11233507501647438,0.4521851732613612,47
p50,513.5714285714286,out_strength,MeanZFCV,spearman,-0.17356614246068455,0.2433116227694611,47
p50,513.5714285714286,out_strength,MeanRawFCV,pearson,-0.11661565799627835,0.4350274681617226,47
p50,513.5714285714286,out_strength,MeanRawFCV,spearman,-0.18674838112858466,0.2087901151678906,47
p50,513.5714285714286,out_strength,MeanZFC,pearson,0.33963319995222857,0.0195116493906502,47
p50,513.5714285714286,out_strength,MeanZFC,spearman,0.4978029602220167,0.0003703503888822461,47
p50,513.5714285714286,out_strength,MeanRawFC,pearson,0.31115464192391573,0.03326346863905563,47
p50,513.5714285714286,out_strength,MeanRawFC,spearman,0.47583256244218325,0.0007236166500630781,47
p50,513.5714285714286,in_strength,MeanZFCV,pearson,-0.15171214251398127,0.3086843058240027,47
p50,513.5714285714286,in_strength,MeanZFCV,spearman,-0.1963459759481961,0.18591805368412911,47
p50,513.5714285714286,in_strength,MeanRawFCV,pearson,-0.1578295336725069,0.2893507722968583,47
p50,513.5714285714286,in_strength,MeanRawFCV,spearman,-0.20397779833487512,0.16905263999631573,47
p50,513.5714285714286,in_strength,MeanZFC,pearson,0.244483000776263,0.09768174702267315,47
p50,513.5714285714286,in_strength,MeanZFC,spearman,0.5615171137835338,4.0185856014017274e-05,47
p50,513.5714285714286,in_strength,MeanRawFC,pearson,0.2207740332454119,0.1358921462025799,47
p50,513.5714285714286,in_strength,MeanRawFC,spearman,0.5472941720629046,6.862106494906238e-05,47
