Subject,StimulusIndex,Region,RegionID,Division,FCV,NeuronCount,NTimepoints,NWindows,SubjectZFCV,normalization
12,11,rSP,64,Tel,0.2245477307241425,658,150,27,0.48659844616049636,subject_stimulus_zscore
12,11,lHb,16,Di,0.12067662414492851,309,150,27,-0.6461770561794482,subject_stimulus_zscore
12,11,lPT,24,Di,0.12300886817493378,379,150,27,-0.6207425634733,subject_stimulus_zscore
12,11,lPrT,26,Di,0.11781252810140484,407,150,27,-0.6774117078674818,subject_stimulus_zscore
12,11,lTh,30,Di,0.12482276728105811,1186,150,27,-0.6009609269932171,subject_stimulus_zscore
12,11,rHb,52,Di,0.13473726587335297,260,150,27,-0.492837489271192,subject_stimulus_zscore
12,11,rPT,60,Di,0.11463623655251912,407,150,27,-0.7120510351391446,subject_stimulus_zscore
12,11,rPrT,62,Di,0.11438870082084755,577,150,27,-0.7147505578652023,subject_stimulus_zscore
12,11,rTh,66,Di,0.15107912530014017,1297,150,27,-0.314619901811196,subject_stimulus_zscore
12,11,lTeO,29,Mes,0.24258619621135158,6182,150,27,0.6833185204588484,subject_stimulus_zscore
12,11,lTS,32,Mes,0.2888267457359123,404,150,27,1.187598906421747,subject_stimulus_zscore
12,11,rTeO,65,Mes,0.22624119090629552,7358,150,27,0.5050666253462851,subject_stimulus_zscore
12,11,rTS,68,Mes,0.18552843271191158,130,150,27,0.061070054652997786,subject_stimulus_zscore
12,11,lMON,0,Hind,0.2885733942769668,863,150,27,1.1848359597696219,subject_stimulus_zscore
12,11,lCb,1,Hind,0.11928301500039734,1625,150,27,-0.6613751834619176,subject_stimulus_zscore
12,11,lMOS1,2,Hind,0.11979664355713639,1419,150,27,-0.655773761993162,subject_stimulus_zscore
12,11,lMOS2,3,Hind,0.11996856750444848,558,150,27,-0.6538988302417398,subject_stimulus_zscore
12,11,lMOS3,4,Hind,0.14819058810778402,1297,150,27,-0.3461210986007336,subject_stimulus_zscore
12,11,lMOS4,5,Hind,0.12740965037918983,882,150,27,-0.5727494454996015,subject_stimulus_zscore
12,11,lMOS5,6,Hind,0.16835354943186492,1182,150,27,-0.12623214781605754,subject_stimulus_zscore
12,11,lRa,10,Hind,0.30357917668512413,254,150,27,1.348482841613912,subject_stimulus_zscore
12,11,lT,11,Hind,0.11506823435055206,1266,150,27,-0.7073398450999461,subject_stimulus_zscore
12,11,laRF,12,Hind,0.14642886629399562,264,150,27,-0.3653337110231831,subject_stimulus_zscore
12,11,limRF,13,Hind,0.13798555973729762,382,150,27,-0.45741293441029285,subject_stimulus_zscore
12,11,lpRF,14,Hind,0.13491791253363367,485,150,27,-0.490867431205146,subject_stimulus_zscore
12,11,lNX,35,Hind,0.1380244066641858,381,150,27,-0.45698928582726206,subject_stimulus_zscore
12,11,rMON,36,Hind,0.3205007134601673,1120,150,27,1.5330221514564935,subject_stimulus_zscore
12,11,rCb,37,Hind,0.11218471247004776,1685,150,27,-0.738786346964307,subject_stimulus_zscore
12,11,rMOS1,38,Hind,0.11817244572666148,1483,150,27,-0.6734865945017148,subject_stimulus_zscore
12,11,rMOS2,39,Hind,0.12581943978902838,554,150,27,-0.5900916271651323,subject_stimulus_zscore
12,11,rMOS3,40,Hind,0.11498507597185176,1496,150,27,-0.7082467361239112,subject_stimulus_zscore
12,11,rMOS4,41,Hind,0.11991840402732866,1113,150,27,-0.654445892460146,subject_stimulus_zscore
12,11,rMOS5,42,Hind,0.13692435471795683,1530,150,27,-0.46898599922550865,subject_stimulus_zscore
12,11,rRa,46,Hind,0.21531682390940127,201,150,27,0.38592997878311874,subject_stimulus_zscore
12,11,rT,47,Hind,0.11171769266509927,1437,150,27,-0.7438794725848545,subject_stimulus_zscore
12,11,raRF,48,Hind,0.11447227038212135,208,150,27,-0.7138391826534627,subject_stimulus_zscore
12,11,rimRF,49,Hind,0.12436470570013947,436,150,27,-0.6059563579125175,subject_stimulus_zscore
12,11,rpRF,50,Hind,0.1688335073576401,535,150,27,-0.12099792437917334,subject_stimulus_zscore
12,11,rNX,71,Hind,0.16520864195338233,484,150,27,-0.1605292133434567,subject_stimulus_zscore
12,12,OB,20,Tel,0.506582278240562,223,150,27,3.0878082283731874,subject_stimulus_zscore
12,12,lP,22,Tel,0.151730037375993,933,150,27,-0.534300205778508,subject_stimulus_zscore
12,12,lPO,25,Tel,0.15649915856214044,425,150,27,-0.48562001700543217,subject_stimulus_zscore
12,12,lSP,28,Tel,0.18365829368402317,679,150,27,-0.20839665172652558,subject_stimulus_zscore
12,12,rOB,56,Tel,0.544070084184153,168,150,27,3.470460167544528,subject_stimulus_zscore
12,12,rP,58,Tel,0.2671289228889504,976,150,27,0.6436190191073105,subject_stimulus_zscore
12,12,rPO,61,Tel,0.16761140003458494,382,150,27,-0.37219324686131194,subject_stimulus_zscore
12,12,rSP,64,Tel,0.15957884247132031,658,150,27,-0.45418454111613377,subject_stimulus_zscore
12,12,lHb,16,Di,0.18969559024870747,309,150,27,-0.1467717265093731,subject_stimulus_zscore
12,12,lPT,24,Di,0.19282931412421586,379,150,27,-0.11478464464080029,subject_stimulus_zscore
12,12,lPrT,26,Di,0.14083629631102296,407,150,27,-0.6454966612236128,subject_stimulus_zscore
12,12,lTh,30,Di,0.1891556137535095,1186,150,27,-0.152283466868501,subject_stimulus_zscore
12,12,rHb,52,Di,0.23553696550283185,260,150,27,0.32114819288166035,subject_stimulus_zscore
12,12,rPT,60,Di,0.1919613266176737,407,150,27,-0.123644515049184,subject_stimulus_zscore
12,12,rPrT,62,Di,0.1876888653205833,577,150,27,-0.16725511212776947,subject_stimulus_zscore
12,12,rTh,66,Di,0.23546324922543616,1297,150,27,0.3203957434975486,subject_stimulus_zscore
12,12,lTeO,29,Mes,0.3033516883581925,6182,150,27,1.0133582209643297,subject_stimulus_zscore
12,12,lTS,32,Mes,0.3509743458866806,404,150,27,1.4994603491920835,subject_stimulus_zscore
12,12,rTeO,65,Mes,0.35186620819484854,7358,150,27,1.5085639185556206,subject_stimulus_zscore
12,12,rTS,68,Mes,0.34497527098024344,130,150,27,1.4382255666167443,subject_stimulus_zscore
12,12,lMON,0,Hind,0.2816377611537038,863,150,27,0.7917161124790925,subject_stimulus_zscore
12,12,lCb,1,Hind,0.14077527799861497,1625,150,27,-0.6461194977695289,subject_stimulus_zscore
12,12,lMOS1,2,Hind,0.14345545274220098,1419,150,27,-0.6187619601079638,subject_stimulus_zscore
12,12,lMOS2,3,Hind,0.14076921464162673,558,150,27,-0.6461813887031549,subject_stimulus_zscore
12,12,lMOS3,4,Hind,0.14329853395682304,1297,150,27,-0.6203636883501455,subject_stimulus_zscore
12,12,lMOS4,5,Hind,0.14043467859869674,882,150,27,-0.6495961221698852,subject_stimulus_zscore
12,12,lMOS5,6,Hind,0.15870200168808263,1182,150,27,-0.46313478020335297,subject_stimulus_zscore
12,12,lRa,10,Hind,0.17329955935529967,254,150,27,-0.3141320949853606,subject_stimulus_zscore
12,12,lT,11,Hind,0.13583410992803346,1266,150,27,-0.6965558329027344,subject_stimulus_zscore
12,12,laRF,12,Hind,0.14205651188464002,264,150,27,-0.633041468296232,subject_stimulus_zscore
12,12,limRF,13,Hind,0.1354744802297765,382,150,27,-0.700226706616408,subject_stimulus_zscore
12,12,lpRF,14,Hind,0.14484572142125018,485,150,27,-0.6045709720622015,subject_stimulus_zscore
12,12,lNX,35,Hind,0.1511445397937572,381,150,27,-0.5402765967564112,subject_stimulus_zscore
12,12,rMON,36,Hind,0.2977145220577348,1120,150,27,0.9558175737590151,subject_stimulus_zscore
12,12,rCb,37,Hind,0.14487344360072732,1685,150,27,-0.6042880014943601,subject_stimulus_zscore
12,12,rMOS1,38,Hind,0.13213123224443774,1483,150,27,-0.7343524787847115,subject_stimulus_zscore
12,12,rMOS2,39,Hind,0.1383621611510913,554,150,27,-0.670751076436507,subject_stimulus_zscore
12,12,rMOS3,40,Hind,0.2252338008883624,1496,150,27,0.21597997030654595,subject_stimulus_zscore
12,12,rMOS4,41,Hind,0.1271964437981566,1113,150,27,-0.7847236947265354,subject_stimulus_zscore
12,12,rMOS5,42,Hind,0.16784580056363943,1530,150,27,-0.3698006337241106,subject_stimulus_zscore
12,12,rRa,46,Hind,0.40216221784045036,201,150,27,2.0219539433660834,subject_stimulus_zscore
12,12,rT,47,Hind,0.12650564168011488,1437,150,27,-0.7917749681579568,subject_stimulus_zscore
12,12,raRF,48,Hind,0.13188966051787224,208,150,27,-0.7368182909946432,subject_stimulus_zscore
12,12,rimRF,49,Hind,0.12590337618022668,436,150,27,-0.7979225154904146,subject_stimulus_zscore
12,12,rpRF,50,Hind,0.14164560334403067,535,150,27,-0.6372357641726786,subject_stimulus_zscore
12,12,rNX,71,Hind,0.1430453839039188,484,150,27,-0.6229476848313186,subject_stimulus_zscore
13,10,OB,20,Tel,0.3019095638509109,254,50,7,1.7838087611316094,subject_stimulus_zscore
13,10,lP,22,Tel,0.28185450505010873,1563,50,7,1.3672298482878587,subject_stimulus_zscore
13,10,lPO,25,Tel,0.30140975647632823,557,50,7,1.7734268811878513,subject_stimulus_zscore
13,10,lSP,28,Tel,0.288355799006434,988,50,7,1.5022731805116114,subject_stimulus_zscore
13,10,rOB,56,Tel,0.306145842820425,138,50,7,1.8718037406104253,subject_stimulus_zscore
13,10,rP,58,Tel,0.3193163335329347,1354,50,7,2.1453780420937276,subject_stimulus_zscore
13,10,rPO,61,Tel,0.29476048204484007,624,50,7,1.6353097337198872,subject_stimulus_zscore
13,10,rSP,64,Tel,0.24471414246595027,1066,50,7,0.5957590676929597,subject_stimulus_zscore
13,10,lHb,16,Di,0.21191383439814004,556,50,7,-0.085561132439386,subject_stimulus_zscore
13,10,lPT,24,Di,0.23040037089961862,420,50,7,0.29843680815624224,subject_stimulus_zscore
13,10,lPrT,26,Di,0.18511780186125806,541,50,7,-0.6421619489023914,subject_stimulus_zscore
13,10,lTh,30,Di,0.2078114361543524,901,50,7,-0.17077517331673361,subject_stimulus_zscore
13,10,rHb,52,Di,0.2759250179057702,466,50,7,1.2440639512020446,subject_stimulus_zscore
13,10,rPT,60,Di,0.20183385638735077,499,50,7,-0.2949400389253422,subject_stimulus_zscore
13,10,rPrT,62,Di,0.17717555240793767,493,50,7,-0.8071364660883369,subject_stimulus_zscore
13,10,rTh,66,Di,0.2132387397892754,1300,50,7,-0.05804051268244382,subject_stimulus_zscore
13,10,lTeO,29,Mes,0.22936795417012937,7514,50,7,0.2769916933328875,subject_stimulus_zscore
13,10,lTS,32,Mes,0.16420551226564847,118,50,7,-1.0765470559889023,subject_stimulus_zscore
13,10,rTeO,65,Mes,0.20333369793732722,7228,50,7,-0.2637856868721791,subject_stimulus_zscore
13,10,rTS,68,Mes,0.16252809348572075,144,50,7,-1.1113900000394095,subject_stimulus_zscore
13,10,lMON,0,Hind,0.2416406878158892,1012,50,7,0.5319179984887249,subject_stimulus_zscore
13,10,lCb,1,Hind,0.21637872657167287,1875,50,7,0.007182546155088118,subject_stimulus_zscore
13,10,lMOS1,2,Hind,0.1438130716106286,1217,50,7,-1.5001339844879154,subject_stimulus_zscore
13,10,lMOS2,3,Hind,0.21240540618421133,627,50,7,-0.07535032018197955,subject_stimulus_zscore
13,10,lMOS3,4,Hind,0.1250147431503265,1262,50,7,-1.8906083935162825,subject_stimulus_zscore
13,10,lMOS4,5,Hind,0.2270254561376839,967,50,7,0.2283338811874689,subject_stimulus_zscore
13,10,lMOS5,6,Hind,0.22804736292146385,1257,50,7,0.2495606859175391,subject_stimulus_zscore
13,10,lRa,10,Hind,0.19614471517032747,382,50,7,-0.41311352755691594,subject_stimulus_zscore
13,10,lT,11,Hind,0.17172855374540616,1384,50,7,-0.9202802271531502,subject_stimulus_zscore
13,10,laRF,12,Hind,0.15415297901547917,603,50,7,-1.2853558864329042,subject_stimulus_zscore
13,10,limRF,13,Hind,0.22369098078562036,814,50,7,0.15907095202510932,subject_stimulus_zscore
13,10,lpRF,14,Hind,0.18580607477204406,953,50,7,-0.6278653076527749,subject_stimulus_zscore
13,10,lNX,35,Hind,0.2581507440511461,340,50,7,0.8748609609495179,subject_stimulus_zscore
13,10,rMON,36,Hind,0.21881713025777563,1179,50,7,0.05783248773442939,subject_stimulus_zscore
13,10,rCb,37,Hind,0.23253778689347,1969,50,7,0.3428347049591094,subject_stimulus_zscore
13,10,rMOS1,38,Hind,0.1304263455304029,1455,50,7,-1.7781998756143205,subject_stimulus_zscore
13,10,rMOS2,39,Hind,0.22346061393281075,648,50,7,0.15428582653373826,subject_stimulus_zscore
13,10,rMOS3,40,Hind,0.14896875686995076,1513,50,7,-1.3930413161678865,subject_stimulus_zscore
13,10,rMOS4,41,Hind,0.14720550501558874,1291,50,7,-1.4296671644316912,subject_stimulus_zscore
13,10,rMOS5,42,Hind,0.205462081668229,1685,50,7,-0.219575406087666,subject_stimulus_zscore
13,10,rRa,46,Hind,0.19233021326909908,231,50,7,-0.49234745406081565,subject_stimulus_zscore
13,10,rT,47,Hind,0.20112846145890745,1382,50,7,-0.30959233465457037,subject_stimulus_zscore
13,10,raRF,48,Hind,0.2134223168673888,704,50,7,-0.054227293265682416,subject_stimulus_zscore
13,10,rimRF,49,Hind,0.25040717193504636,777,50,7,0.7140133221720651,subject_stimulus_zscore
13,10,rpRF,50,Hind,0.173811597164762,1043,50,7,-0.8770117445393333,subject_stimulus_zscore
13,10,rNX,71,Hind,0.2142195756697199,449,50,7,-0.03766682299087466,subject_stimulus_zscore
13,11,OB,20,Tel,0.2338874381193727,254,50,7,0.6959731919208155,subject_stimulus_zscore
13,11,lP,22,Tel,0.27354532992657804,1563,50,7,1.710361235715499,subject_stimulus_zscore
13,11,lPO,25,Tel,0.22327178581390086,557,50,7,0.42444108859817675,subject_stimulus_zscore
13,11,lSP,28,Tel,0.2885734765159921,988,50,7,2.094758174786419,subject_stimulus_zscore
13,11,rOB,56,Tel,0.23704008963665485,138,50,7,0.7766131820879462,subject_stimulus_zscore
13,11,rP,58,Tel,0.22890024076554297,1354,50,7,0.5684083331440757,subject_stimulus_zscore
13,11,rPO,61,Tel,0.20874450702375608,624,50,7,0.052855579584367575,subject_stimulus_zscore
13,11,rSP,64,Tel,0.26707165055890814,1066,50,7,1.5447744470417861,subject_stimulus_zscore
13,11,lHb,16,Di,0.21694350979324806,556,50,7,0.2625734945165243,subject_stimulus_zscore
13,11,lPT,24,Di,0.16631572538531036,420,50,7,-1.0324075760076563,subject_stimulus_zscore
13,11,lPrT,26,Di,0.1790043120195963,541,50,7,-0.7078529920916714,subject_stimulus_zscore
13,11,lTh,30,Di,0.15430518127915033,901,50,7,-1.3396188720590487,subject_stimulus_zscore
13,11,rHb,52,Di,0.19404867782858098,466,50,7,-0.3230411902617289,subject_stimulus_zscore
13,11,rPT,60,Di,0.24643787471829334,499,50,7,1.016994109831415,subject_stimulus_zscore
13,11,rPrT,62,Di,0.1418945062636664,493,50,7,-1.657064903036444,subject_stimulus_zscore
13,11,rTh,66,Di,0.18370012515267492,1300,50,7,-0.5877412947466409,subject_stimulus_zscore
