species,node,n_recordings,level,EdgeStdFCV,FCS,ProfileCorrDistFCV,ObservedNetTE,NeighborNetTE,class_order,class_label,class_short,fine_class,anatomy_group,fcv_rank
C. elegans,IL2L,15,neuron,-0.6583776312308254,0.14775690987796675,0.5475764579443579,-0.016985314217123654,0.535922082451741,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,87.0
C. elegans,IL2R,11,neuron,0.1027109482255039,-0.15926494459254784,0.3724535232542628,0.5514325276507215,0.5198477847894891,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,60.0
C. elegans,IL2VL,11,neuron,-1.49967859775513,0.07831624890673496,1.1193779702045334,-0.32072609427580706,-1.4826164476338477,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,112.0
C. elegans,IL2VR,13,neuron,-0.8320940527551137,-0.24607917640357774,1.1770098870574972,-0.5890957706531872,-0.40593477011466006,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,94.0
C. elegans,OLLL,16,neuron,0.7989511744993658,2.094048636700872,-0.9011439483188118,-0.1319182072184751,-0.3076479301783113,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,34.0
C. elegans,OLLR,17,neuron,0.6237843816003332,2.2959534199202016,-0.7987928266099654,0.741782997854444,-0.33211697479984875,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,40.0
C. elegans,OLQDL,17,neuron,1.3564333272573676,1.8354290782089144,-0.7080947325323254,0.9788056769699872,-0.3984737649988085,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,8.0
C. elegans,OLQDR,16,neuron,0.3180674672066113,1.8588085039545013,-0.28891916543144036,-0.2600752533118007,0.3300383005861727,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,55.0
C. elegans,OLQVL,16,neuron,1.4936140668468971,1.8536275023585662,-0.49841392296751674,0.4299782226301597,-0.11733710083083171,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,5.0
C. elegans,OLQVR,12,neuron,0.5361051171832774,1.6513910611959577,-0.42791336423138393,0.2783750320370216,-0.5685746559841582,2,other sensory,other sensory,mechanosensory / other sensory,sensory neurons,45.0
C. elegans,RIAL,12,neuron,-0.14033823154683095,0.47839492330933925,0.5710593936583831,-0.24373385253339358,0.49946578164718197,5,associative / learning,associative / learning,associative interneuron,interneurons,68.0
C. elegans,RIAR,8,neuron,-1.1110972448835936,-0.16429833397491594,0.7574563040676602,-0.3997248304583346,0.006862283028969166,5,associative / learning,associative / learning,associative interneuron,interneurons,101.0
C. elegans,RIBL,10,neuron,1.3720921494477878,-0.583621997224827,-1.9682108122659943,4.977142193551035,-0.5199893983410496,5,associative / learning,associative / learning,associative interneuron,interneurons,7.0
C. elegans,RIBR,3,neuron,1.3419624995608777,-1.0252974150858642,-1.720829371021938,4.176764356626148,-0.29225762543121825,5,associative / learning,associative / learning,associative interneuron,interneurons,10.0
C. elegans,RICL,16,neuron,-0.7084091097000704,-1.2453476243109525,0.10852689794566156,-0.9846162446627802,0.22545899017617585,6,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,state-modulatory,89.0
C. elegans,RICR,10,neuron,-1.121981379945455,-0.8000547973093506,0.5589726698338464,-0.7150463505914162,-0.7336561522914564,6,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,state-modulatory,102.0
C. elegans,RID,14,neuron,1.5620547727930238,-0.7455013834639183,-1.2904420014106006,1.6098795713783345,-0.4295017068866683,4,integrative relay,integrative relay,interneuron / integrative,interneurons,3.0
C. elegans,RIH,14,neuron,0.6067786908455851,0.4319325456835426,0.006504884355835702,-0.4261458481219402,0.5733034227993747,4,integrative relay,integrative relay,interneuron / integrative,interneurons,41.0
C. elegans,RIML,7,neuron,1.3430828672821422,-1.427663465696018,-1.6832118256763613,-0.7986406893134913,-0.8540353813786083,6,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,state-modulatory,9.0
C. elegans,RIMR,7,neuron,1.27493928995827,-1.6358800645811404,-1.6393469647384062,0.44152500613190254,-0.7092064079563626,6,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,state-modulatory,14.0
C. elegans,RIR,4,neuron,0.6000864651893416,-0.44068785371772334,0.5864834855281469,-0.8129811287960071,0.9584136874692001,4,integrative relay,integrative relay,interneuron / integrative,interneurons,43.0
C. elegans,RIS,3,neuron,1.2455927113780823,0.923546342289418,-0.19959545392243722,0.8589885906041524,1.073168738185225,6,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,state-modulatory,17.0
C. elegans,RIVL,18,neuron,1.2966595423541125,0.9770437974678793,0.06217282186307442,0.30251956460721285,0.5084004929828719,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,11.0
C. elegans,RIVR,16,neuron,1.143110798906503,0.9850099971410521,0.19566311506337256,0.16492363425761994,-0.06830851923654553,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,23.0
C. elegans,RMDDL,16,neuron,-0.5119738302460954,-0.324040600935376,-0.44384012359427194,-0.3603365001744728,-0.050658474876827245,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,81.0
C. elegans,RMDDR,12,neuron,-0.9875753275230271,-0.2688355836780681,0.21135409925436374,-0.5672749440284527,0.27644472021315636,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,98.0
C. elegans,RMDL,14,neuron,1.2820933542520234,1.2757054226552536,-0.39134823660340406,0.7748294951566403,0.25905040199586765,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,12.0
C. elegans,RMDR,5,neuron,-0.14039719103767423,0.4994236553375967,-0.3395593820188895,-0.3675686162657773,0.39445802521750034,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,69.0
C. elegans,RMDVL,14,neuron,-0.2839665702597628,0.2291718542485769,-0.2177573787826924,0.2366326550957899,-0.18731257714953767,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,75.0
C. elegans,RMDVR,14,neuron,-0.9449292738168,0.28285472012619695,0.2509301309564468,-0.2729211797672239,1.1701560266549194,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,97.0
C. elegans,RMED,3,neuron,0.5002003824123349,0.5993672932855074,-0.8375104913349355,-0.9576171761943173,0.18709095558966868,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,47.0
C. elegans,RMEL,15,neuron,1.5622785617750692,0.19204976491447576,-1.0775724348270614,0.8735570133055248,-0.28206623983062534,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,2.0
C. elegans,RMER,17,neuron,1.1223336943087934,0.39128070635969875,-1.491643211037363,1.9127495120833413,-0.6905544596161483,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,25.0
C. elegans,RMEV,6,neuron,1.142000210451845,1.1196604251167335,-0.8610301001878321,0.9900409386565585,-0.15941026036848557,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,24.0
C. elegans,RMGL,6,neuron,-1.4749739859340112,-0.697491765669462,1.1549889210987774,-0.6063331330443651,1.1436237069476873,6,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,state-modulatory,111.0
C. elegans,SAADL,3,neuron,0.5654859139005619,-1.1471373217938414,-0.3750657647402414,0.9939571516747969,1.0137734162645462,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,44.0
C. elegans,SAADR,4,neuron,0.323477530219777,-0.7211627873339289,0.36335988157847043,-0.5346084475922128,1.0324265314091845,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,54.0
C. elegans,SAAVL,11,neuron,0.05802698224238179,-0.6090705457375077,0.2749025635426913,-0.8763466383633012,-0.3612187404947137,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,62.0
C. elegans,SAAVR,4,neuron,-0.09151101609569455,-1.0161353011714225,0.2358628558032492,-0.28724108490405037,-0.43857950870799006,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,65.0
C. elegans,SMBVR,2,neuron,0.9433847898715457,-0.5300185632447504,-0.36822318268446713,0.018902872006474714,0.16534020289884138,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,29.0
C. elegans,SMDDL,6,neuron,0.6061595091477465,-0.5827103215478215,-0.7268037511937085,0.11836035234124953,0.8446662284854329,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,42.0
C. elegans,SMDDR,4,neuron,0.3090812084554264,0.7055531713001967,-0.6785475985213415,-0.3416057155214511,-0.671214342383421,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,56.0
C. elegans,SMDVL,16,neuron,1.4904495703393288,0.7079873737891575,-0.7469909295531355,1.8480888250153906,0.1608003950765511,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,6.0
C. elegans,SMDVR,12,neuron,0.6597458349385344,0.18376518741769088,0.03018575514678779,0.4003562685876476,0.7459696565854995,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,38.0
C. elegans,URADL,8,neuron,-2.1765500057247302,0.0657230239793544,0.9404076019618763,-0.8777277310301856,1.6275927865832738,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,120.0
C. elegans,URADR,4,neuron,-2.040630377310709,-0.055231068541951464,1.4907712580736012,-0.021383727385721148,-1.0212241400277748,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,119.0
C. elegans,URAVL,7,neuron,-1.2898824311405759,-0.6818957217595755,0.8117204850707118,-0.46990937719329234,0.7025912036056196,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,107.0
C. elegans,URAVR,2,neuron,-1.21115335572215,-0.8744227271354139,1.690433358480464,-0.8492387355436741,3.1166023547017554,3,sensorimotor output,sensorimotor output,head motor / premotor,motor / command,104.0
C. elegans,URBL,15,neuron,-0.5689786181515202,0.9883070905934469,-0.28293503850016527,-0.46578634243745665,-0.5617265456935794,4,integrative relay,integrative relay,interneuron / integrative,interneurons,84.0
