species,measure,n,pearson_r,pearson_p,spearman_rho,spearman_p
C. elegans,ObservedNetTE_z,120,0.4977359590361603,7.30087545504057e-09,0.5674838530453503,1.3961373370602347e-11
Drosophila,ObservedNetTE_z,67,0.5370274085413002,2.7973453182423537e-06,0.559901029611302,8.385447611817417e-07
Zebrafish,ObservedNetTE_z,49,0.5341564452965056,7.718198146324635e-05,0.5373469387755102,6.859517794976857e-05
