species,dominant_dca_axis,fcv_dca_r,fcv_dca_p,fcv_dca_q,n
C. elegans,Pre-DCA,-0.16569079817355828,0.0705168625505251,0.23637897201387725,120
Drosophila,Pre-DCA,0.6192214407382316,7.312168414033422e-05,0.0007312168414033422,35
Zebrafish,Post-DCA,0.5700174229744618,6.361635938349267e-25,6.361635938349267e-24,273
