species,n,PLS_LV1_score_r,PLS_LV1_score_p,FCV_from_SC_cv_r,FCV_from_SC_cv_p,FCV_from_SC_cv_r2
C. elegans,120,0.4861105522134868,1.8182919169722846e-08,0.3405348880030091,0.00014139106423983688,0.10087662954835508
Drosophila,35,0.6707898262178467,1.0357108469251136e-05,0.6115342319032605,9.504194868657827e-05,0.24629430455694967
Zebrafish,273,0.6979606823224389,3.494300041965184e-41,0.6182190699230332,3.56255930223958e-30,0.3805496242695944
