species,node,n_recordings,NetTE,NeighborNetTE,NetTE_z,NeighborNetTE_z
C. elegans,IL1VL,11,-0.0004932621144999361,-0.0001592452810829394,-0.08178667166354629,-1.5016708037344824
C. elegans,IL1VR,12,0.002255754341869434,0.0007722991340727461,0.5067465018470592,-0.03724027112812402
C. elegans,IL2DL,16,-0.0016119239914430875,-0.00010913906685785328,-0.32127946298433496,-1.4229015375666767
C. elegans,IL2DR,16,-0.001920836055798732,0.0009919688480000619,-0.3874140243652624,0.308090591180038
C. elegans,IL2L,15,-0.0004116991403616563,0.0011452063448502518,-0.06432496607813767,0.5489869622780117
C. elegans,IL2R,11,0.0018067945097588805,0.0011794030963763642,0.41062930540081516,0.6027458236227202
C. elegans,IL2VL,11,-0.0014704154833333199,-0.000393795777763466,-0.2909841000141969,-1.8703949388252867
C. elegans,IL2VR,13,-0.0037758535502236935,0.0007402921090139083,-0.7845521827717336,-0.08755678206574302
C. elegans,OLLL,16,-0.0009113053644499145,0.0004762560762894698,-0.17128497931743475,-0.5026335317506175
C. elegans,OLLR,17,0.004389502283544542,0.00046689797001260455,0.9635576805055843,-0.5173449038937551
C. elegans,OLQDL,17,0.0038600963383145634,0.0003743546179847663,0.8502178857220071,-0.6628272964607862
C. elegans,OLQDR,16,-0.001383813983194822,0.0010007228681105315,-0.2724437032882338,0.3218523121718163
C. elegans,OLQVL,16,0.001068122674820784,0.0006808580582286189,0.25248806248764155,-0.18098983499420546
C. elegans,OLQVR,12,0.0007958897723210895,0.0004666888585065487,0.19420609270498382,-0.5176736367691879
C. elegans,RIAL,12,-0.0015655647815007929,0.0009697911788837636,-0.3113544831299702,0.2732262784671328
C. elegans,RIAR,8,-0.0023829381711809356,0.0007188409835708713,-0.48634483426337183,-0.12127893481173137
C. elegans,RIBL,10,0.025997106002535585,0.00035214749491139553,5.5895000095276695,-0.6977379121446946
C. elegans,RIBR,3,0.02429932552611827,0.0005419398119608791,5.226024509264613,-0.39937568762862635
C. elegans,RICL,16,-0.004687379095200781,0.0010518849715768698,-0.9796994400674781,0.40228148464015195
C. elegans,RICR,10,-0.003965938480269139,0.00022146832099495658,-0.8252472054795773,-0.9031715652754759
