species,shared_fine_order,shared_fine_label,metric,mean,other_group_mean,mean_minus_other_group_mean,relative_z_mean,leave_one_group_out_z_delta,sem,n
Drosophila,4,integrative,FCV,-0.0547619911136037,0.2489163366680373,-0.303678327781641,-0.2522706660199958,-0.3153383325249947,0.0262005705740128,20
Drosophila,5,assoc./state,FCV,1.2976010375319105,-0.0891744204933412,1.3867754580252516,1.1520175673114492,1.4400219591393115,0.1504296353636221,20
Zebrafish,1,visual,FCV,-0.0299837505428019,0.3382909841278876,-0.3682747346706896,-0.3701925062162268,-0.4318912572522647,0.0823882976083519,7
Zebrafish,2,other sensory,FCV,-0.7572496020164644,0.4595019593734981,-1.2167515613899624,-1.2230877319244635,-1.4269356872452077,0.3572227612192532,7
Zebrafish,3,sensorimotor,FCV,-0.2660136483195581,0.3776293004240137,-0.6436429487435719,-0.6469946859559816,-0.754827133615312,0.1026509873005781,7
Zebrafish,4,integrative,FCV,0.3576840649437481,0.2736796815467959,0.0840043833969521,0.0844418318586912,0.0985154705018064,0.0786179531451685,7
Zebrafish,5,assoc./state,FCV,0.6906666750380017,0.1236857608297042,0.5669809142082975,0.4749445315493025,0.6649223441690234,0.1961824808334114,14
Zebrafish,0,olf./chemo,FCV,1.3139917400835972,0.1142950690234877,1.1996966710601094,1.2059440291393764,1.4069347006626056,0.1807985307269631,7
C. elegans,3,sensorimotor,Post-DCA,-0.059508203088747,-0.0198433591449027,-0.0396648439438442,-0.4557644472459465,-0.6286406168909607,0.0144235752358408,33
C. elegans,2,other sensory,Post-DCA,-0.0356220055611994,-0.0286636993730001,-0.0069583061881993,-0.077196615990753,-0.11028087998679,0.0086676461573234,36
C. elegans,0,olf./chemo,Post-DCA,0.0162224673719224,-0.0374617138868002,0.0536841812587226,0.7444766393788169,0.8508304450043621,0.0060830764649037,15
C. elegans,4,integrative,Post-DCA,-0.0057800123118061,-0.0337850727802029,0.0280050604683967,0.3957634962969431,0.4438469117348895,0.0103669418485769,13
C. elegans,5,assoc./state,Post-DCA,-0.0266163867795093,-0.0317316087794481,0.0051152219999388,0.0655317344452535,0.0810701869425816,0.0113449013166366,23
Drosophila,5,assoc./state,Post-DCA,-0.0910878138693531,0.0017653708647908,-0.092853184734144,-3.103213557099262,-3.2805400460763625,0.0341313971591545,2
Drosophila,3,sensorimotor,Post-DCA,0.0003561080450917,-0.003952396636825,0.0043085046819167,0.1275366715496595,0.1522211886237872,0.0036465480493325,6
Drosophila,4,integrative,Post-DCA,-2.000773678180484e-05,-0.0079964984841217,0.0079764907473399,0.1142483509828389,0.2818125990910027,0.0037870521731792,22
Drosophila,0,olf./chemo,Post-DCA,0.0209779563307069,-0.0053918093077396,0.0263697656384465,0.8561147953778173,0.9316543361464484,0.0177391447345172,3
Drosophila,1,visual,Post-DCA,-0.0007105916964477,-0.0035619782025828,0.0028513865061351,0.0898497442861644,0.1007406223814571,0.0024597968945648,4
Zebrafish,3,sensorimotor,Post-DCA,-0.013970729618668,-0.0085416708080516,-0.0054290588106164,-0.2302463768061707,-0.435374967051668,0.0005395501781188,147
Zebrafish,5,assoc./state,Post-DCA,0.0021195816949688,-0.014714632289125,0.0168342139840939,1.0600912309439827,1.3499937308347865,0.001428858294451,67
Zebrafish,4,integrative,Post-DCA,-0.016728936668769,-0.0105878342093871,-0.0061411024593818,-0.4514365214424924,-0.4924762052099917,0.0009266554059998,26
Zebrafish,0,olf./chemo,Post-DCA,0.0002830224000565,-0.0115944890584396,0.0118775114584962,0.912811201310249,0.9524986448454772,0.0023012107796118,13
Zebrafish,1,visual,Post-DCA,-0.0189849931305791,-0.0092607049113381,-0.009724288219241,-0.6323574769875973,-0.7798242403957719,0.001919071364328,59
C. elegans,3,sensorimotor,Pre-DCA,0.0377911113725564,0.0243875425612086,0.0134035688113477,0.346568314514482,0.4780252613992855,0.006377691869814,33
C. elegans,5,assoc./state,Pre-DCA,0.0245592003990353,0.0289068172055845,-0.0043476168065492,-0.1253349368475328,-0.1550535301206589,0.003782388583016,23
