species,level,measure,n,pearson_r_vs_fcv,pearson_p,spearman_r_vs_fcv,spearman_p,normalization
C. elegans,neuron,FCS,120,0.05741663520148527,0.5333511952195629,0.006174039863879436,0.946640663367079,within_recording_zscore_then_node_mean
C. elegans,neuron,ProfileCorrDistFCV,120,-0.548685808504235,8.705927041839126e-11,-0.5728870060420862,8.073600023430988e-12,within_recording_zscore_then_node_mean
C. elegans,neuron,FCSHalfLifeWindows,120,-0.018522917542566988,0.8408535646916073,-0.012848114452392527,0.8892315608162282,within_recording_zscore_then_node_mean
Drosophila,side key,FCS,67,0.8312247537073577,3.1468676011902134e-18,0.7722483837497007,1.9784178615124477e-14,within_recording_zscore_then_node_mean
Drosophila,side key,ProfileCorrDistFCV,67,-0.8718584329304917,7.945897645459052e-22,-0.8149892249980047,4.7506363253742003e-17,within_recording_zscore_then_node_mean
Drosophila,side key,FCSHalfLifeWindows,67,0.29672091872497963,0.014758829958409794,0.2544097693351425,0.03774965881830054,within_recording_zscore_then_node_mean
Zebrafish,root area,FCS,66,0.11458307710782614,0.35960733707265263,-0.010625195699822567,0.9325216937904833,within_recording_zscore_then_node_mean
Zebrafish,root area,ProfileCorrDistFCV,66,-0.1817202545031966,0.14421197832205043,0.001231604216678844,0.9921693463656631,within_recording_zscore_then_node_mean
Zebrafish,root area,FCSHalfLifeWindows,66,-0.24249023401888642,0.049791973663552674,-0.20638764220853775,0.09638889756266368,within_recording_zscore_then_node_mean
