species,measure,n,pearson_r,pearson_p,spearman_rho,spearman_p
C. elegans,ObservedNetTE_z,120,0.4977359590361603,7.30087545504057e-09,0.5674838530453503,1.3961373370602347e-11
C. elegans,NeighborNetTE_z,120,-0.00714566981455679,0.9382587603850029,-0.008896451142440446,0.9231730478697296
Drosophila,ObservedNetTE_z,67,0.5370274085413002,2.7973453182423537e-06,0.559901029611302,8.385447611817417e-07
Drosophila,NeighborNetTE_z,67,-0.36987707311987855,0.002065515284548204,-0.6614654002713706,1.1050839465657619e-09
Zebrafish,ObservedNetTE_z,49,0.5341564452965056,7.718198146324635e-05,0.5373469387755102,6.859517794976857e-05
Zebrafish,NeighborNetTE_z,49,0.3285868055946292,0.021158434279890413,0.26459183673469383,0.06617676679707155
