species,node_i,node_j,profile_corr
C. elegans,ADAL,URAVL,0.7108095255007651
C. elegans,ADAL,URAVR,0.8669139146923068
C. elegans,ADAL,URBL,0.2665854243925245
C. elegans,ADAL,URBR,0.7387257294817797
C. elegans,ADAL,URXL,-0.7139420541415973
C. elegans,ADAL,URXR,0.3567418300135262
C. elegans,ADAL,URYDL,-0.8191430593676327
C. elegans,ADAL,URYDR,0.2369505503467348
C. elegans,ADAL,URYVL,-0.9627790351879819
C. elegans,ADAL,URYVR,0.5745523575546503
C. elegans,ADAR,ADEL,0.9256025569213607
C. elegans,ADAR,ADER,0.9486406728545922
C. elegans,ADAR,ADLL,0.8514135124465286
C. elegans,ADAR,ADLR,0.6322066636619347
C. elegans,ADAR,AIBL,-0.991862682898845
C. elegans,ADAR,AIBR,-0.9843426395929241
C. elegans,ADAR,AIML,-0.16758108819192902
C. elegans,ADAR,AIMR,-0.48827378212098194
C. elegans,ADAR,AINL,0.43874801679283104
C. elegans,ADAR,AINR,0.5688144393156095
C. elegans,ADAR,AIYL,0.6665251230002371
C. elegans,ADAR,AIYR,-0.030449882024430407
C. elegans,ADAR,AIZL,0.9344130568487191
C. elegans,ADAR,AIZR,0.9112939537903767
C. elegans,ADAR,ALA,0.8501080912841389
C. elegans,ADAR,AQR,0.07421524462024713
C. elegans,ADAR,ASEL,0.13267941264995026
C. elegans,ADAR,ASER,0.5369172973532361
C. elegans,ADAR,ASGL,-0.7952678847090997
C. elegans,ADAR,ASGR,-0.9310955355464575
C. elegans,ADAR,ASHL,0.5121041383108919
C. elegans,ADAR,ASIL,0.371908468797707
C. elegans,ADAR,ASIR,0.4040702553218157
C. elegans,ADAR,ASKL,0.6983986573949401
C. elegans,ADAR,ASKR,0.848919426441261
C. elegans,ADAR,AUAL,-0.398613137514619
C. elegans,ADAR,AUAR,-0.6106212695418457
C. elegans,ADAR,AVAL,-0.9015498892910658
C. elegans,ADAR,AVAR,-0.9025354365672169
C. elegans,ADAR,AVBL,-0.9727925324938008
C. elegans,ADAR,AVBR,-0.7328580754244491
C. elegans,ADAR,AVDL,0.788358694935529
C. elegans,ADAR,AVDR,0.7869079592616328
C. elegans,ADAR,AVEL,-0.9725657183878726
C. elegans,ADAR,AVER,-0.9462786258918192
C. elegans,ADAR,AVHL,0.9814231559205235
C. elegans,ADAR,AVJL,0.6787945874043152
C. elegans,ADAR,AVJR,0.7983597303164561
C. elegans,ADAR,AVKL,0.10350065090373
C. elegans,ADAR,AVKR,0.25796605957400276
C. elegans,ADAR,AVL,0.34172108444747057
C. elegans,ADAR,AWAL,-0.29613507990039056
C. elegans,ADAR,AWAR,0.7030530012302371
C. elegans,ADAR,AWBL,0.5512856013209044
C. elegans,ADAR,AWBR,0.9168692607466332
C. elegans,ADAR,AWCL,0.5381277736615855
C. elegans,ADAR,AWCR,0.92069915976321
C. elegans,ADAR,BAGL,-0.9316244957209201
C. elegans,ADAR,CEPDL,0.4702856579750206
C. elegans,ADAR,CEPDR,0.844580351764455
C. elegans,ADAR,CEPVL,-0.09747723160080662
C. elegans,ADAR,CEPVR,0.6841643450477813
C. elegans,ADAR,FLPL,0.97428201584438
C. elegans,ADAR,FLPR,0.8251669837586239
C. elegans,ADAR,IL1DL,-0.15393319597649596
C. elegans,ADAR,IL1DR,-0.6277848945212817
C. elegans,ADAR,IL1L,-0.28254401299273285
C. elegans,ADAR,IL1R,-0.9491571867160709
C. elegans,ADAR,IL1VL,0.714397863361369
C. elegans,ADAR,IL1VR,-0.8807330271859476
C. elegans,ADAR,IL2DL,0.9949983518514681
C. elegans,ADAR,IL2DR,0.8801123803090192
C. elegans,ADAR,IL2L,0.9731005183604212
C. elegans,ADAR,IL2R,0.5528994443177191
C. elegans,ADAR,IL2VL,0.9540127320521725
C. elegans,ADAR,IL2VR,0.9672729707001059
C. elegans,ADAR,OLLL,-0.42175384050387416
C. elegans,ADAR,OLLR,-0.3237546620285383
C. elegans,ADAR,OLQDL,-0.5222970279657847
C. elegans,ADAR,OLQDR,-0.13912180244631261
C. elegans,ADAR,OLQVL,-0.4329145475394043
C. elegans,ADAR,OLQVR,-0.2948232277799522
C. elegans,ADAR,RIAL,0.9589940053296209
C. elegans,ADAR,RIAR,0.899617177664936
C. elegans,ADAR,RIBL,-0.9665828297942906
C. elegans,ADAR,RIBR,-0.8673270884095714
C. elegans,ADAR,RICL,0.41908098257681486
C. elegans,ADAR,RICR,0.7133535052124719
C. elegans,ADAR,RID,-0.9067743218303004
C. elegans,ADAR,RIH,-0.02016529486518914
C. elegans,ADAR,RIML,-0.865159260730304
C. elegans,ADAR,RIMR,-0.8043819870351104
C. elegans,ADAR,RIR,0.3624241659020871
C. elegans,ADAR,RIS,-0.7259409358992679
C. elegans,ADAR,RIVL,-0.38808788468383604
C. elegans,ADAR,RIVR,-0.39029243370565403
C. elegans,ADAR,RMDDL,-0.1945725091340989
C. elegans,ADAR,RMDDR,0.7654423999020489
C. elegans,ADAR,RMDL,-0.611623767792139
C. elegans,ADAR,RMDR,-0.028190092912663462
C. elegans,ADAR,RMDVL,-0.08676347476668586
C. elegans,ADAR,RMDVR,0.7133302676666062
C. elegans,ADAR,RMED,-0.39626774735128856
C. elegans,ADAR,RMEL,-0.8794848392299399
C. elegans,ADAR,RMER,-0.9646368947895423
C. elegans,ADAR,RMEV,-0.7485698362137254
C. elegans,ADAR,RMGL,0.862676805845566
C. elegans,ADAR,SAADL,-0.5093062491863125
C. elegans,ADAR,SAADR,0.20790125431490014
C. elegans,ADAR,SAAVL,0.4579856537806336
C. elegans,ADAR,SAAVR,0.20112154661614515
