species,node,fc_fdr_q,n_recordings,NeighborNetTE,n_fc_neighbors,NeighborNetTE_z
C. elegans,RIBL,0.001,10,0.0003521474949113,49.3,-0.6977379121446946
C. elegans,RIBR,0.001,3,0.0005419398119608,45.333333333333336,-0.3993756876286263
C. elegans,RICL,0.001,16,0.0010518849715768,31.9375,0.4022814846401519
C. elegans,RICR,0.001,10,0.0002214683209949,26.3,-0.903171565275476
C. elegans,RID,0.001,14,0.0004100815383401,44.57142857142857,-0.6066629395571471
C. elegans,RIH,0.001,14,0.0011979443839698,35.285714285714285,0.6318935778510527
C. elegans,RIML,0.001,7,0.000238446403392,49.285714285714285,-0.8764812412899121
C. elegans,RIMR,0.001,7,0.0001980669335768,47.42857142857143,-0.9399596192672304
C. elegans,RIR,0.001,4,0.0020831963133771,30.0,2.0235502003170978
C. elegans,RIS,0.001,3,0.00111634818131,34.333333333333336,0.5036206060252861
C. elegans,RIVL,0.001,18,0.001050161371876,30.83333333333333,0.3995719068822053
C. elegans,RIVR,0.001,16,0.0006994895830252,29.8125,-0.1517002237450397
C. elegans,RMDDL,0.001,16,0.0007239755002212,38.0625,-0.113207239216098
C. elegans,RMDDR,0.001,12,0.0011300675307891,32.583333333333336,0.525188052448477
C. elegans,RMDL,0.001,14,0.0009167515366035,37.07142857142857,0.1898455288968068
C. elegans,RMDR,0.001,5,0.000713332544757,38.6,-0.1299384531930172
C. elegans,RMDVL,0.001,14,0.0009930506771495,35.285714285714285,0.3097912762057492
C. elegans,RMDVR,0.001,14,0.001410213354411,29.785714285714285,0.9655901320695524
C. elegans,RMED,0.001,3,0.0005362318707314,44.333333333333336,-0.4083488329544261
C. elegans,RMEL,0.001,15,0.0004823774874828,42.46666666666667,-0.4930103926835552
C. elegans,RMER,0.001,17,0.0002379687164317,47.11764705882353,-0.8772321870938025
C. elegans,RMEV,0.001,6,0.0005773717731212,40.5,-0.3436750201036085
C. elegans,RMGL,0.001,6,0.0009181578286171,19.166666666666668,0.1920562844217997
C. elegans,SAADL,0.001,3,0.0017024985267338,40.66666666666666,1.425075824446512
C. elegans,SAADR,0.001,4,0.0018458535174907,37.5,1.6504364428458222
C. elegans,SAAVL,0.001,11,0.0004169982706144,30.363636363636363,-0.5957895192847934
C. elegans,SAAVR,0.001,4,0.0010788922141764,34.25,0.444738108308258
C. elegans,SMBVR,0.001,2,0.0010052451281535,39.5,0.3289615123082495
C. elegans,SMDDL,0.001,6,0.0009906300930652,41.66666666666666,0.3059860070397056
C. elegans,SMDDR,0.001,4,0.0003472785406748,38.5,-0.7053921314495326
C. elegans,SMDVL,0.001,16,0.0008797585801406,38.25,0.1316909051835505
C. elegans,SMDVR,0.001,12,0.0011730931861942,33.583333333333336,0.59282635550249
C. elegans,URADL,0.001,8,0.0015989926058514,20.625,1.2623597709983767
C. elegans,URADR,0.001,4,-0.00017742098216,8.5,-1.5302438391966475
C. elegans,URAVL,0.001,7,0.0006875431403122,17.857142857142858,-0.1704805794429453
C. elegans,URAVR,0.001,2,0.0038492841872093,7.5,4.799921314381003
C. elegans,URBL,0.001,15,0.0004036319070505,33.266666666666666,-0.616802055664643
C. elegans,URBR,0.001,9,0.0007472167391754,31.55555555555556,-0.0766709459524739
C. elegans,URXL,0.001,15,0.000619074865776,40.4,-0.2781158463333993
C. elegans,URXR,0.001,14,0.0010163742593815,32.357142857142854,0.3464570168773488
C. elegans,URYDL,0.001,13,0.0011266423256837,38.23076923076923,0.5198034729746002
C. elegans,URYDR,0.001,13,0.0006592834592981,32.69230769230769,-0.2149060937237441
C. elegans,URYVL,0.001,17,0.0006081985908557,41.0,-0.2952138491931359
C. elegans,URYVR,0.001,12,0.0010566306830696,35.083333333333336,0.4097419607010332
Drosophila,AL_L,0.001,20,1.1896988755645158e-05,46.6,-0.3116591526923767
Drosophila,AL_R,0.001,20,-4.585872516674231e-05,46.95,-0.4237261594336677
Drosophila,AME_L,0.001,19,0.00149324282172,15.789473684210526,2.5626883737200927
Drosophila,AME_R,0.001,20,0.001984334045946,8.8,3.5155832441719825
Drosophila,AMMC_L,0.001,20,0.0002331862163681,36.9,0.1177221098430149
Drosophila,AMMC_R,0.001,20,0.0002758675413198,37.75,0.2005393413556984
Drosophila,ATL_L,0.001,20,0.0003597226881584,38.4,0.363248702349387
Drosophila,ATL_R,0.001,20,-9.09919741658195e-05,41.0,-0.5113010117960307
Drosophila,AVLP_L,0.001,20,-0.0003595815608588,46.9,-1.0324621052770366
Drosophila,AVLP_R,0.001,20,-5.585717614995057e-05,45.2,-0.4431267762322654
Drosophila,CRE_L,0.001,20,0.0001250434436618,48.7,-0.0921140434107463
Drosophila,CRE_R,0.001,20,0.0001060575618723,49.0,-0.1289535316274574
Drosophila,EB,0.001,20,0.0001101868227266,44.65,-0.1209412697650531
Drosophila,EPA_L,0.001,20,0.0004155802964146,37.45,0.4716326965186462
Drosophila,EPA_R,0.001,20,0.0003312192765519,37.7,0.3079417586079584
Drosophila,FB,0.001,20,-2.8395422207184475e-05,51.55,-0.3898410256939327
Drosophila,FLA,0.001,20,0.0002680353887098,49.55,0.185342128132344
Drosophila,GA_L,0.001,20,0.0005971842096177,21.45,0.8240100732839549
Drosophila,GA_R,0.001,20,0.0004172601297619,20.25,0.4748921817239531
