species,metric,contrast,interpretation,high_orders,low_orders,n_high,n_low,mean_high,mean_low,mean_diff,bootstrap_ci_low,bootstrap_ci_high,cohens_d,cohens_d_ci_low,cohens_d_ci_high,permutation_greater_p,permutation_two_sided_p,n_perm
C. elegans,FCV,olf./chemo > integrative,sensory-biased compact routing,0,4,18,18,0.2969657508808487,-0.31831064558997285,0.6152763964708216,0.43411063792121574,0.7897520283756571,2.1771938727749034,1.4946529865606617,3.3643041670919023,0.0001999600079984003,0.0001999600079984003,5000
C. elegans,Post-DCA,olf./chemo > integrative,sensory-biased compact routing,0,4,15,13,0.01622246737192245,-0.005780012311806124,0.022002479683728572,-0.00048341836501930097,0.044032494167471944,0.7162267413289435,0.0021417665521934943,1.6304156010869104,0.03479304139172166,0.06678664267146571,5000
C. elegans,Pre-DCA,olf./chemo > integrative,sensory-biased compact routing,0,4,15,13,0.019295908518562728,0.017121740945707255,0.0021741675728554725,-0.007939545166414978,0.014153814404781476,0.13985757429837206,-0.9525139573088249,0.7601663377564848,0.3733253349330134,0.7250549890021996,5000
Drosophila,FCV,assoc./learning > visual+integrative,input-side MB axis,5,"1,4",40,40,0.5970372169961211,-0.6140595705690142,1.2110967875651353,0.9328423165181079,1.5056036036756473,1.825323836655286,1.472671252784366,2.280137923357627,0.0001999600079984003,0.0001999600079984003,5000
Drosophila,Post-DCA,assoc./learning > visual+integrative,input-side MB axis,5,"1,4",2,26,-0.09108781386935315,-0.00012625142288425387,-0.0909615624464689,-0.12895302570541647,-0.0530183938642206,-4.880903337642516,-10.262587965291718,-3.0422029236053145,1.0,0.0021995600879824036,5000
Drosophila,Pre-DCA,assoc./learning > visual+integrative,input-side MB axis,5,"1,4",2,26,0.0815145266042232,-0.010126800371944637,0.09164132697616784,0.07418166666682216,0.11055515612552988,2.6501223513728767,1.9646309545832705,6.1960342138487015,0.002599480103979204,0.01199760047990402,5000
Zebrafish,FCV,assoc./learning > visual+sensorimotor+integrative,output-side telencephalic cascade,5,"1,3,4",14,21,0.8749520920521628,-0.1350665953581067,1.0100186874102695,0.6524620423471919,1.370300525695932,1.999941706269412,1.2773333100028461,3.233225909917561,0.0001999600079984003,0.0001999600079984003,5000
Zebrafish,Post-DCA,assoc./learning > visual+sensorimotor+integrative,output-side telencephalic cascade,5,"1,3,4",67,232,0.002119581694968872,-0.015555018112225755,0.017674599807194626,0.014557050315994077,0.02064287509655377,1.7723680568049358,1.426038744495369,2.2260011385868,0.0001999600079984003,0.0001999600079984003,5000
Zebrafish,Pre-DCA,assoc./learning > visual+sensorimotor+integrative,output-side telencephalic cascade,5,"1,3,4",66,236,-0.005206146278289537,-0.0001338619023243442,-0.005072284375965193,-0.008743648523420083,-0.0014250396510467023,-0.5889307312478053,-0.9718327127694312,-0.18585519027496228,1.0,0.0001999600079984003,5000
