species,n,FC_feature,SC_feature,pearson_r,pearson_p,BH_FDR_p,BH_FDR_significant
Zebrafish,273,Profile dist.,Modularity,0.3893523103783789,2.5819187594993093e-11,1.6136992246870682e-10,True
Zebrafish,273,Profile dist.,log(out/in),0.3713185242694879,2.3739504199410556e-10,1.1869752099705277e-09,True
Zebrafish,273,Profile dist.,OO motif,0.04667593550952851,0.4424318715371111,0.4608665328511574,False
Zebrafish,273,NetTE,Post-DCA,0.3266962649586645,3.285607988308688e-08,9.126688856413023e-08,True
Zebrafish,273,NetTE,Pre-DCA,0.013172010961180536,0.828482578277752,0.828482578277752,False
Zebrafish,273,NetTE,Modularity,-0.20869447978565864,0.0005191614382854895,0.0008111897473210773,True
Zebrafish,273,NetTE,log(out/in),0.16386723507550072,0.006658178931002199,0.008760761751318683,True
Zebrafish,273,NetTE,OO motif,0.2923451473581509,8.833654566489779e-07,1.5774383154446035e-06,True
Zebrafish,273,Neighbor NetTE,Post-DCA,0.30628287196213033,2.443359719570732e-07,5.553090271751663e-07,True
Zebrafish,273,Neighbor NetTE,Pre-DCA,0.05149982448726868,0.3966747169773184,0.4507667238378618,False
Zebrafish,273,Neighbor NetTE,Modularity,0.1671017797279513,0.005643729071525801,0.007838512599341391,True
Zebrafish,273,Neighbor NetTE,log(out/in),0.15876479103944097,0.008591966521512322,0.010739958151890402,True
Zebrafish,273,Neighbor NetTE,OO motif,0.36085025998750836,8.093489243232191e-10,3.3722871846800795e-09,True
