species,node,EdgeStdFCV,PostDCA,PreDCA,Modularity,modularity_definition,modularity_edges,modularity_n_modules,LogOutIn,recording_id,Subject,class_order,class_label,class_short,fine_class,anatomy_group
C. elegans,AVBL,0.9244595349435024,-0.1313519933416719,0.0403147503096905,0.29479762771395174,1-hop induced structural neighborhood modularity Q,326.0,5.0,-1.6671170240207784,node_mean,,3,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command
C. elegans,AVBR,0.1153840283642345,-0.1595382746962184,0.0233360646545585,0.3390416079285745,1-hop induced structural neighborhood modularity Q,367.0,6.0,-1.774059892128654,node_mean,,3,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command
C. elegans,AVDL,-1.1411070088143918,-0.1976308639164232,0.0793065898466523,0.2478297628653375,1-hop induced structural neighborhood modularity Q,313.0,5.0,-0.6218223997380151,node_mean,,3,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command
C. elegans,AVDR,-1.3811287570778246,-0.2185806460870022,0.0660833213264959,0.2689782065733802,1-hop induced structural neighborhood modularity Q,331.0,5.0,-0.3879974150677734,node_mean,,3,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command
C. elegans,AVEL,0.6126277611952423,-0.0709595308692543,0.0383452695813948,0.45927452967652826,1-hop induced structural neighborhood modularity Q,251.0,6.0,-0.9393560048051512,node_mean,,3,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command
C. elegans,AVER,0.6490924362642085,-0.1345850558722683,0.0269708710480729,0.45981920644064384,1-hop induced structural neighborhood modularity Q,320.0,5.0,-0.7925196543731491,node_mean,,3,sensorimotor output,sensorimotor output,locomotor command interneuron,motor / command
C. elegans,AVHL,-1.5393466206490338,-0.0037987991755094,0.0136927022851149,0.3631997106388109,1-hop induced structural neighborhood modularity Q,120.0,5.0,0.2336148511815051,node_mean,,4,integrative relay,integrative relay,interneuron / integrative,interneurons
C. elegans,AVJL,-1.0183124792536458,-0.0429685802419464,0.0227191287952742,0.2941566448083891,1-hop induced structural neighborhood modularity Q,182.0,6.0,-1.0379876668516748,node_mean,,4,integrative relay,integrative relay,interneuron / integrative,interneurons
C. elegans,AVJR,-1.2501322912349255,-0.069185953467657,0.0337457433925746,0.23950446380018503,1-hop induced structural neighborhood modularity Q,203.0,4.0,-0.3513978868378886,node_mean,,4,integrative relay,integrative relay,interneuron / integrative,interneurons
C. elegans,AVKL,0.7325166341555567,0.0133027442023605,0.0023213032229562,0.40627448015122875,1-hop induced structural neighborhood modularity Q,70.0,4.0,-0.7205461547480597,node_mean,,4,integrative relay,integrative relay,interneuron / integrative,interneurons
