figure,panel,metric,region,division,n,mean,sem,std,median
figure_supply_10_proc,A,FCV,OB,Tel,7,0.3671760353642188,0.009509164133226217,0.025158883472611644,0.3661139590853793
figure_supply_10_proc,A,FCV,rOB,Tel,7,0.36066865289085065,0.006957634585592459,0.018408170826739588,0.3596601927805388
figure_supply_10_proc,A,FCV,P,Tel,7,0.36023811751270796,0.004011647594452941,0.010613821882552981,0.3632562944466082
figure_supply_10_proc,A,FCV,PO,Tel,7,0.3514208021642844,0.006083612299553563,0.01609572521755251,0.3453703470214458
figure_supply_10_proc,A,FCV,SP,Tel,7,0.3680116091256104,0.0038686438271352823,0.010235469477685109,0.3627231050599804
figure_supply_10_proc,A,FCV,HR,Di,6,0.30524744443979024,0.010171572693888494,0.024915162981653322,0.3030899679876195
figure_supply_10_proc,A,FCV,Hb,Di,7,0.34258517006335026,0.0092663416699828,0.024516435622129438,0.3421079612873121
figure_supply_10_proc,A,FCV,Hi,Di,7,0.30043672776670943,0.01158001872854376,0.030637849733197164,0.2937764589086006
figure_supply_10_proc,A,FCV,PT,Di,7,0.322795893233018,0.008439168824819366,0.02232794198256126,0.317124287638903
figure_supply_10_proc,A,FCV,PrT,Di,7,0.3195078728259496,0.009139050018402067,0.02417965356807214,0.316677447704624
figure_supply_10_proc,A,FCV,Th,Di,7,0.3286946724177476,0.006023702722238003,0.01593721937482454,0.3238736443391058
figure_supply_10_proc,A,FCV,TS,Mes,7,0.3187393710390141,0.0033988120557048944,0.008992411452443361,0.3185673696734081
figure_supply_10_proc,A,FCV,TeO,Mes,7,0.321184566564982,0.005645584950855143,0.014936813785451518,0.3229975737368755
figure_supply_10_proc,A,FCV,Cb,Hind,7,0.3153132765626386,0.007337689936497015,0.01941370276967243,0.3115705079691998
figure_supply_10_proc,A,FCV,MON,Hind,7,0.31470486279131527,0.005609734827456879,0.014841963274468734,0.3156449055531594
figure_supply_10_proc,A,FCV,MOS1,Hind,7,0.3295841016803318,0.012548872957425513,0.03320119707949154,0.345249691275497
figure_supply_10_proc,A,FCV,MOS2,Hind,7,0.3184847973253438,0.017059794791090495,0.04513597443502055,0.335815652938379
figure_supply_10_proc,A,FCV,MOS3,Hind,7,0.3427450380559998,0.00977642179652166,0.025865980785667625,0.3538241923332418
figure_supply_10_proc,A,FCV,MOS4,Hind,7,0.3174002983031146,0.012497180710999116,0.033064432250737026,0.3254918384920399
figure_supply_10_proc,A,FCV,MOS5,Hind,7,0.3245294208743777,0.010417163973381962,0.027561225240150148,0.3190373864675958
figure_supply_10_proc,A,FCV,NX,Hind,7,0.30497615170654824,0.016222927899605076,0.04292183275968646,0.3159457566805133
figure_supply_10_proc,A,FCV,Ra,Hind,7,0.32509584424247306,0.0072607049957321475,0.019210019761711553,0.3240410619772076
figure_supply_10_proc,A,FCV,T,Hind,7,0.32748846994928593,0.007122232827043672,0.018843656839858062,0.3302250395588791
figure_supply_10_proc,A,FCV,laRF,Hind,7,0.31400063590725036,0.010875804380981735,0.028774673699864445,0.3085634657215812
figure_supply_10_proc,A,FCV,limRF,Hind,7,0.31005908995008025,0.014241993949731762,0.03768077416467678,0.3185512004810205
figure_supply_10_proc,A,FCV,lpRF,Hind,7,0.33291617495630527,0.017881580450391926,0.0473102149205314,0.3552293217055979
figure_supply_10_proc,A,FCV,rCb,Hind,7,0.31735164288636836,0.007766896791705459,0.02054927736955808,0.320065504328284
figure_supply_10_proc,A,FCV,rHR,Di,6,0.31244632244462694,0.008537068416217491,0.020911461518962973,0.30254174270504364
figure_supply_10_proc,A,FCV,rHb,Di,7,0.3569570426471104,0.007570708136765466,0.020030210978534597,0.3490928544400546
figure_supply_10_proc,A,FCV,rHi,Di,7,0.3068533628484485,0.00975759464862286,0.025816168834430768,0.3045776695968958
figure_supply_10_proc,A,FCV,rMON,Hind,7,0.3151442719997252,0.004216601107095065,0.011156077907333172,0.3155253187430635
figure_supply_10_proc,A,FCV,rMOS1,Hind,7,0.3252162396870898,0.012927892153935904,0.03420398761557755,0.3266252054307811
figure_supply_10_proc,A,FCV,rMOS2,Hind,7,0.31099178608243644,0.015771462860309768,0.041727368540071065,0.3239937586859284
figure_supply_10_proc,A,FCV,rMOS3,Hind,7,0.3336398480067394,0.009432123541015408,0.024955053224764705,0.3331277565048349
figure_supply_10_proc,A,FCV,rMOS4,Hind,7,0.31120849440324855,0.011681763647948413,0.030907041487106192,0.3191370048708165
figure_supply_10_proc,A,FCV,rMOS5,Hind,7,0.32270702543522234,0.00569751079867928,0.015074196665410369,0.3187182129691253
figure_supply_10_proc,A,FCV,rNX,Hind,7,0.3057767917003243,0.01615472525219012,0.04274138551587026,0.3029119585327751
figure_supply_10_proc,A,FCV,rP,Tel,7,0.3615916845407643,0.004950188128218395,0.013096966730250192,0.3641649756030454
figure_supply_10_proc,A,FCV,rPO,Tel,7,0.3592067125583424,0.006809946683707672,0.018017425366699535,0.354276320485364
figure_supply_10_proc,A,FCV,rPT,Di,7,0.3381307525751053,0.009100476974509006,0.024077598886620324,0.3293670925392736
figure_supply_10_proc,A,FCV,rPrT,Di,7,0.33164528197956084,0.007411853427266631,0.01960992092260927,0.3284799568601831
figure_supply_10_proc,A,FCV,rRa,Hind,7,0.32564679831301907,0.008750065273352736,0.023150496668873748,0.3190336233326439
