species,predictor,response,n,pearson_r,pearson_p,pearson_perm_p,spearman_rho,spearman_p,spearman_perm_p,kendall_tau,kendall_p,ols_slope,ols_intercept,theilsen_slope,theilsen_intercept,theilsen_slope_ci_low,theilsen_slope_ci_high,r_squared
C. elegans,PreDCA,zEdgeStdFCV,120,-0.16571823067395164,0.07046966581808796,0.06293706293706294,-0.16676158066532396,0.06869352089459875,0.07192807192807193,-0.1165266106442577,0.05913664078480273,-4.655669590384454,0.13736623037935278,-6.1197813557390806,0.18804352891879378,-12.451992695698957,0.23627853555692122,0.027462531977705047
Drosophila,PreDCA,zEdgeStdFCV,37,0.5771148024939825,0.00018449377460011174,0.000999000999000999,0.5979137031768611,9.307734615956473e-05,0.001998001998001998,0.42042042042042044,0.0002501691265063871,8.735449797680944,0.09733239359923342,10.14663774765937,0.3035148228777297,5.358086844737253,17.43535571273396,0.3330614952576684
Zebrafish,PreDCA,zEdgeStdFCV,47,-0.29646893348080844,0.04302140076658975,0.054945054945054944,-0.12765957446808512,0.3924793441082468,0.3926073926073926,-0.09528214616096209,0.34488523938086735,-21.175571210053388,0.21126488357131154,-14.258920232427112,0.10533020418506757,-36.672953673442095,16.14464243087263,0.08789382851924801
