species,recording_id,node,n_nodes_recording,n_time,n_finite_net_te_edges,NetTE,NetTE_z,root_area_id,n_communities,n_cells
C. elegans,2023-01-05-01,AVER,68,802,4556,0.020395505161327265,1.5529639760558795,,,
C. elegans,2023-01-05-01,RIH,68,802,4556,-0.011130954482459099,-0.8475382783434715,,,
C. elegans,2023-01-05-01,URYVL,68,802,4556,-0.002713488985405757,-0.20661173187069667,,,
C. elegans,2023-01-05-01,RMDDR,68,802,4556,-0.013420406400014729,-1.0218627839025471,,,
C. elegans,2023-01-05-01,RMDL,68,802,4556,0.029012585733836315,2.2090897058196957,,,
C. elegans,2023-01-05-01,RIBL,68,802,4556,0.046327557549016844,3.527494288726745,,,
C. elegans,2023-01-05-01,SMDVL,68,802,4556,0.005452414986764169,0.41516030076113697,,,
C. elegans,2023-01-05-01,IL2VR,68,802,4556,-0.015762512007828917,-1.2001964710695874,,,
C. elegans,2023-01-05-01,RMED,68,802,4556,0.007802780439051252,0.594122912821813,,,
C. elegans,2023-01-05-01,URXL,68,802,4556,0.011313613303311213,0.861446370663246,,,
C. elegans,2023-01-05-01,ADEL,68,802,4556,-0.00026269241044979327,-0.020002046871844488,,,
C. elegans,2023-01-05-01,RMDDL,68,802,4556,-0.005114264441661271,-0.3894126857413242,,,
C. elegans,2023-01-05-01,ASKR,68,802,4556,-0.005890723394051,-0.44853418199304373,,,
C. elegans,2023-01-05-01,AUAL,68,802,4556,-0.004493713361047275,-0.3421623986867343,,,
C. elegans,2023-01-05-01,AVAR,68,802,4556,0.002156924292966546,0.16423352594414792,,,
C. elegans,2023-01-05-01,AIZL,68,802,4556,-0.007114688945043434,-0.5417299324091095,,,
C. elegans,2023-01-05-01,RIVR,68,802,4556,0.00435360865555772,0.3314944814775173,,,
C. elegans,2023-01-05-01,RID,68,802,4556,0.023156689960700777,1.7632073846276286,,,
C. elegans,2023-01-05-01,RMDVL,68,802,4556,0.009611013661122724,0.7318062421618989,,,
C. elegans,2023-01-05-01,IL2DR,68,802,4556,-0.002996795602168742,-0.22818339516273514,,,
C. elegans,2023-01-05-01,SMDVR,68,802,4556,0.001101559939164417,0.08387548577283294,,,
C. elegans,2023-01-05-01,AIBR,68,802,4556,0.02477275324946752,1.8862584221297476,,,
C. elegans,2023-01-05-01,IL1DL,68,802,4556,-0.00792368190766562,-0.6033286482976066,,,
C. elegans,2023-01-05-01,RICL,68,802,4556,-0.005473263629289793,-0.41674776773171995,,,
C. elegans,2023-01-05-01,RICR,68,802,4556,-0.00708207252152442,-0.5392464376217946,,,
C. elegans,2023-01-05-01,IL1VL,68,802,4556,0.0013558786975231,0.10323994215880035,,,
C. elegans,2023-01-05-01,ALA,68,802,4556,0.006073656582137692,0.4624631653095423,,,
C. elegans,2023-01-05-01,AVJL,68,802,4556,-0.010750288310712208,-0.8185534188388908,,,
C. elegans,2023-01-05-01,URXR,68,802,4556,0.015917392786335242,1.211989474856514,,,
C. elegans,2023-01-05-01,URYDR,68,802,4556,-0.00865240737536573,-0.6588155995067669,,,
C. elegans,2023-01-05-01,CEPDL,68,802,4556,-0.008773962813706343,-0.6680711298475692,,,
C. elegans,2023-01-05-01,RIMR,68,802,4556,-0.0024042046862905934,-0.18306206388815166,,,
C. elegans,2023-01-05-01,AVJR,68,802,4556,-0.0007570312040738714,-0.05764221966446371,,,
C. elegans,2023-01-05-01,RIML,68,802,4556,-0.006044782669100059,-0.46026463448421917,,,
C. elegans,2023-01-05-01,OLLR,68,802,4556,0.039571315038748556,3.0130573503449156,,,
