species,metric,contrast,interpretation,high_orders,low_orders,n_high,n_low,mean_high,mean_low,mean_diff,bootstrap_ci_low,bootstrap_ci_high,cohens_d,cohens_d_ci_low,cohens_d_ci_high,permutation_greater_p,permutation_two_sided_p,n_perm
C. elegans,FCV,olf./chemo > integrative,sensory-biased compact routing,0,4,18,18,0.2969657508808487,-0.3183106455899728,0.6152763964708216,0.4341106379212157,0.7897520283756571,2.1771938727749034,1.4946529865606617,3.3643041670919023,0.0001999600079984,0.0001999600079984,5000
C. elegans,Post-DCA,olf./chemo > integrative,sensory-biased compact routing,0,4,15,13,0.0162224673719224,-0.0057800123118061,0.0220024796837285,-0.0004834183650193,0.0440324941674719,0.7162267413289435,0.0021417665521934,1.6304156010869104,0.0347930413917216,0.0667866426714657,5000
C. elegans,Pre-DCA,olf./chemo > integrative,sensory-biased compact routing,0,4,15,13,0.0192959085185627,0.0171217409457072,0.0021741675728554,-0.0079395451664149,0.0141538144047814,0.139857574298372,-0.9525139573088248,0.7601663377564848,0.3733253349330134,0.7250549890021996,5000
Drosophila,FCV,assoc./learning > visual+integrative,input-side MB axis,5,"1,4",40,40,0.5970372169961211,-0.6140595705690142,1.2110967875651353,0.932842316518108,1.5056036036756473,1.825323836655286,1.472671252784366,2.280137923357627,0.0001999600079984,0.0001999600079984,5000
Drosophila,Post-DCA,assoc./learning > visual+integrative,input-side MB axis,5,"1,4",2,26,-0.0910878138693531,-0.0001262514228842,-0.0909615624464689,-0.1289530257054164,-0.0530183938642206,-4.880903337642516,-10.262587965291718,-3.0422029236053145,1.0,0.0021995600879824,5000
Drosophila,Pre-DCA,assoc./learning > visual+integrative,input-side MB axis,5,"1,4",2,26,0.0815145266042232,-0.0101268003719446,0.0916413269761678,0.0741816666668221,0.1105551561255298,2.6501223513728767,1.9646309545832703,6.1960342138487015,0.0025994801039792,0.011997600479904,5000
Zebrafish,FCV,assoc./learning > visual+sensorimotor+integrative,output-side telencephalic cascade,5,"1,3,4",14,21,0.8749520920521628,-0.1350665953581067,1.0100186874102697,0.6524620423471919,1.370300525695932,1.999941706269412,1.277333310002846,3.233225909917561,0.0001999600079984,0.0001999600079984,5000
Zebrafish,Post-DCA,assoc./learning > visual+sensorimotor+integrative,output-side telencephalic cascade,5,"1,3,4",67,232,0.0021195816949688,-0.0155550181122257,0.0176745998071946,0.014557050315994,0.0206428750965537,1.7723680568049358,1.426038744495369,2.2260011385868,0.0001999600079984,0.0001999600079984,5000
Zebrafish,Pre-DCA,assoc./learning > visual+sensorimotor+integrative,output-side telencephalic cascade,5,"1,3,4",66,236,-0.0052061462782895,-0.0001338619023243,-0.0050722843759651,-0.00874364852342,-0.0014250396510467,-0.5889307312478053,-0.9718327127694312,-0.1858551902749622,1.0,0.0001999600079984,5000
