species,measure,PC1_loading,PC2_loading,PC3_loading,PC1_var,PC2_var,PC3_var
C. elegans,FCV,-0.5601623967524022,0.2730504454146097,0.13796457430692802,0.4227021868799016,0.2185731513257131,0.18621291047965455
C. elegans,FCS,-0.11246000082058394,-0.5837848697498167,0.8026191128862247,0.4227021868799016,0.2185731513257131,0.18621291047965455
C. elegans,Profile dist.,0.5759643699935157,0.03043982000873188,0.15109004256963546,0.4227021868799016,0.2185731513257131,0.18621291047965455
C. elegans,NetTE,-0.5685360104513805,0.060004803059177,-0.007226004439466444,0.4227021868799016,0.2185731513257131,0.18621291047965455
C. elegans,Neighbor NetTE,0.13639166689369558,0.7616505242417536,0.5602570122382979,0.4227021868799016,0.2185731513257131,0.18621291047965455
Drosophila,FCV,-0.5135597176778358,0.03617599847281363,0.1867666914885456,0.6540739146037015,0.15422659106606115,0.15043256424597196
Drosophila,FCS,-0.5165873000610106,-0.18660437297670124,0.23257825212027272,0.6540739146037015,0.15422659106606115,0.15043256424597196
Drosophila,Profile dist.,0.5206947939318577,0.20920541417154506,-0.2539875051486266,0.6540739146037015,0.15422659106606115,0.15043256424597196
Drosophila,NetTE,-0.3170186918641225,0.9043851753202428,-0.21678690834538614,0.6540739146037015,0.15422659106606115,0.15043256424597196
Drosophila,Neighbor NetTE,0.312682040378653,0.3196727302457215,0.8941584553028212,0.6540739146037015,0.15422659106606115,0.15043256424597196
Zebrafish,FCV,-0.41193443943680386,0.5635551984782813,-0.008893499794399311,0.4259875207995461,0.32339828648598185,0.1705476278650514
Zebrafish,FCS,-0.46875898496112167,-0.5169609427159753,-0.03928309948456353,0.4259875207995461,0.32339828648598185,0.1705476278650514
Zebrafish,Profile dist.,0.5163665196255802,0.46876432819267544,0.08213781368816603,0.4259875207995461,0.32339828648598185,0.1705476278650514
Zebrafish,NetTE,-0.42711550637939855,0.3832319069552609,-0.5981365164693028,0.4259875207995461,0.32339828648598185,0.1705476278650514
Zebrafish,Neighbor NetTE,-0.40188679157710594,0.22034117200337058,0.796155657509754,0.4259875207995461,0.32339828648598185,0.1705476278650514
