species,node,n_recordings,NetTE,NetTE_z
C. elegans,RMER,17,0.008422612045822068,1.827000633715344
C. elegans,RMEV,6,0.0047025155668331325,1.030570266238922
C. elegans,RMGL,6,-0.0031171963888848102,-0.6435411718990599
C. elegans,SAADL,3,0.0038068544990262666,0.8388194131638375
C. elegans,SAADR,4,-0.003255420710525329,-0.6731334278795439
C. elegans,SAAVL,11,-0.003943902121639802,-0.8205294715981768
C. elegans,SAAVR,4,-0.002349420919350145,-0.4791691716580699
C. elegans,SMBVR,2,-0.0017120967744017825,-0.34272531708879955
C. elegans,SMDDL,6,0.0002763326735383158,0.08297482398772464
C. elegans,SMDDR,4,-0.0011649068016315743,-0.22557816417107918
C. elegans,SMDVL,16,0.007530626293981112,1.6360366240089337
C. elegans,SMDVR,12,0.0012880911339139477,0.29958080905974244
C. elegans,URADL,8,-0.003709397389908528,-0.7703246742972049
C. elegans,URADR,4,-0.0011222052900417001,-0.21643625595461127
C. elegans,URAVL,7,-0.0024920425677481253,-0.5097028453101489
C. elegans,URAVR,2,-0.004852281487454108,-1.015003167699766
C. elegans,URBL,15,-0.0021519104169506753,-0.4368844183203782
C. elegans,URBR,9,-0.002075191009478394,-0.42045966529829293
C. elegans,URXL,15,0.004133687371756697,0.9087906159007129
C. elegans,URXR,14,0.0005805714092284328,0.14810887882602727
C. elegans,URYDL,13,-0.0013014611174093547,-0.2548128908803572
C. elegans,URYDR,13,-0.0006748820009866379,-0.12066942477293417
C. elegans,URYVL,17,-0.00478066939424849,-0.9996718326041216
C. elegans,URYVR,12,-0.0028180521482407957,-0.5794977905378003
Drosophila,AL_L,20,0.0008718399727247418,0.300339098074468
Drosophila,AL_R,20,0.0017917583851594135,0.6234907293984412
Drosophila,AME_L,19,-0.0007179317290161839,-0.2581205565057714
Drosophila,AME_R,20,-0.0005347692999542004,-0.19377872254683345
Drosophila,AMMC_L,20,-0.0017442013195454235,-0.6186315408222869
Drosophila,AMMC_R,20,-0.0026572655772671514,-0.939375424625507
Drosophila,ATL_L,20,-0.0021117727047938978,-0.7477530924354224
Drosophila,ATL_R,20,-0.002050204063900986,-0.7261250801312799
Drosophila,AVLP_L,20,0.0020286865072171225,0.7067195332951249
Drosophila,AVLP_R,20,-0.0002490557301339484,-0.09341242382861199
Drosophila,CRE_L,20,-0.002575383526180826,-0.9106116581577084
Drosophila,CRE_R,20,-0.0024935367144620912,-0.8818602706780567
Drosophila,EB,20,-3.484953947834809e-05,-0.018165446472381497
Drosophila,EPA_L,20,-0.0020445679048237556,-0.7241451936809282
Drosophila,EPA_R,20,-0.0022781150662965206,-0.8061863238516617
Drosophila,FB,20,0.0015951617332946675,0.5544296823488633
Drosophila,FLA,20,-0.0019310988395988189,-0.6842854484724381
Drosophila,GA_L,20,-0.0015251180533609999,-0.5416713301054388
Drosophila,GA_R,20,-0.0014826226613394323,-0.5267434244673977
Drosophila,GOR_L,20,-0.0032612139505698635,-1.1515321761701351
Drosophila,GOR_R,20,-0.00343440484180364,-1.2123711791470673
Drosophila,IB_L,20,-0.00093751440742974,-0.33525620221159885
Drosophila,IB_R,20,-0.0007599654840784496,-0.27288629696213834
Drosophila,ICL_L,20,-0.0023594322873297926,-0.8347516751659013
Drosophila,ICL_R,20,-0.0019771075369945735,-0.700447518301196
Drosophila,IPS_L,20,0.003339086167127781,1.1670405596628637
Drosophila,IPS_R,20,0.006389486904497815,2.2385942552390787
Drosophila,IVLP_L,20,-0.0011786652920344161,-0.4199683904903114
Drosophila,IVLP_R,20,-0.002841418239291931,-1.004065110516739
Drosophila,LAL_L,20,0.0014236968833018402,0.494197008188928
Drosophila,LAL_R,20,0.001975730354279793,0.6881169409575626
Drosophila,LB_L,20,-0.0004897295629164601,-0.17795703194752485
Drosophila,LB_R,20,-0.0008642026162570668,-0.3095030217202645
Drosophila,LH_L,20,-0.0019355315351182096,-0.6858425787232204
Drosophila,LH_R,20,-0.002244070204341718,-0.7942269451391769
Drosophila,LOP_R,9,0.0023937537249649923,0.834961413622209
Drosophila,LO_L,20,-0.0009779551050881278,-0.3494623288023259
Drosophila,LO_R,20,-0.0003403352167913095,-0.12547734895786722
Drosophila,MB_L,20,0.00767145890248945,2.688929129357135
Drosophila,MB_R,20,0.006914045217470248,2.4228626341195056
Drosophila,ME_L,19,-0.0009358804031440345,-0.33468220440551233
Drosophila,ME_R,19,-0.002082148635725011,-0.7373466627818094
Drosophila,NO,20,-0.0012116817215816209,-0.431566498457772
Drosophila,OTU_L,20,-0.0061024243761835266,-2.14960088700479
Drosophila,OTU_R,20,-0.0037899780096879456,-1.3372779618613508
Drosophila,PB,20,0.0012251031237668019,0.42443441131399484
Drosophila,PLP_L,20,0.0037952981704848627,1.3273000469409144
Drosophila,PLP_R,20,1.5163246128535764e-05,-0.0005968088220633801
Drosophila,PRW,20,-0.0005647369212574873,-0.20430583623447687
Drosophila,PVLP_L,20,-2.0580911573442242e-05,-0.013153121116242875
Drosophila,PVLP_R,20,0.00014971537951219822,0.04666905825192471
Drosophila,SAD,20,0.0036272104503654303,1.2682537008433692
Drosophila,SCL_L,20,-0.0025290270916151023,-0.8943274341985098
Drosophila,SCL_R,20,-0.001976778668229529,-0.7003319923192403
Drosophila,SIP_L,20,-0.0020326124620459445,-0.7199454507639177
Drosophila,SIP_R,20,-0.0017622688307457296,-0.6249783490168208
Drosophila,SLP_L,20,-0.00036690752642079566,-0.13481174762707962
Drosophila,SLP_R,20,0.0005332223158775477,0.18138849688401412
Drosophila,SMP_L,20,0.004481490914464042,1.5683478416390042
Drosophila,SMP_R,20,0.00483928138270114,1.694033524108369
Drosophila,SOG,20,0.00924774629814585,3.242651977444988
Drosophila,SPS_L,20,0.002467122243696405,0.860734521536345
Drosophila,SPS_R,20,0.0007487365207685501,0.2570949573077119
Drosophila,VES_L,20,0.0028809463593895525,1.0061038676216294
Drosophila,VES_R,20,0.0028739897059071153,1.0036601140332482
Drosophila,WED_L,20,-0.00012178454841405765,-0.04870423075694301
Drosophila,WED_R,20,-0.0006211152365773029,-0.22411057578597438
Zebrafish,Cb,7,9.896313055863169e-05,0.22864231595212364
Zebrafish,HR,2,-0.016466179096079857,-2.942920815905876
Zebrafish,Hb,6,0.00037362480613904655,0.28122905695844924
Zebrafish,Hi,3,-0.008703457671801756,-1.4566697028587956
Zebrafish,MON,7,-0.0029873538991381766,-0.3622641290810517
Zebrafish,MOS1,7,0.004511418467607266,1.073451281458564
Zebrafish,MOS2,7,0.004672788304017195,1.1043471600903012
Zebrafish,MOS3,7,0.007062437721347646,1.561869581955385
Zebrafish,MOS4,7,0.0018089966477468143,0.5560454365020926
Zebrafish,MOS5,7,0.0012659612822389181,0.4520758526025783
Zebrafish,NX,6,0.0012897281961843333,0.45662626738296613
Zebrafish,OB,4,0.00042697119667710207,0.2914427601149557
Zebrafish,P,7,0.0008070700555037735,0.3642165105979058
Zebrafish,PO,7,-0.0011577429145620758,-0.011966699398100827
Zebrafish,PT,6,-0.003918212749436583,-0.540486420817405
Zebrafish,PrT,7,-0.0026032419450306805,-0.2887220311330959
Zebrafish,Ra,7,-0.0013079789879908463,-0.04073090709657531
Zebrafish,SP,7,0.004932250608441387,1.1540238285764532
Zebrafish,T,7,-0.002676602858826266,-0.3027677161221047
Zebrafish,TS,4,-0.0031414331167876276,-0.3917641454042854
Zebrafish,TeO,7,-0.0007836471614090304,0.059657696109767754
Zebrafish,Th,7,-0.002782558560975258,-0.32305400125918454
Zebrafish,aRF,6,-0.0046610666161773714,-0.6827132670393791
Zebrafish,imRF,6,0.0003172998347255975,0.2704450745275238
Zebrafish,pRF,7,0.0008898150670087898,0.38005887550150796
Zebrafish,rCb,7,0.0008564060570656108,0.37366238443864996
Zebrafish,rHR,2,-0.010294038839822755,-1.7612024694178863
Zebrafish,rHb,6,0.0016594076369569747,0.5274051154555742
Zebrafish,rHi,4,-0.008984689260133202,-1.5105143197574988
Zebrafish,rMON,7,-0.0036526652893095904,-0.48964468805262656
Zebrafish,rMOS1,7,0.003251901658978326,0.8323041171571794
Zebrafish,rMOS2,7,0.0037358028962555874,0.9249518772917731
Zebrafish,rMOS3,7,0.003289922857648688,0.8395836581524903
Zebrafish,rMOS4,7,0.002192753612451256,0.6295195681574851
Zebrafish,rMOS5,7,0.002470867514920983,0.6827672727326803
Zebrafish,rNX,7,0.0002684034509471576,0.261083369934158
Zebrafish,rP,7,0.0011538262329732001,0.4306064692930696
Zebrafish,rPO,7,0.0027804072174555912,0.7420317628875756
Zebrafish,rPT,7,-0.0005027335734669864,0.11344142863469708
Zebrafish,rPrT,7,-0.001601291758557105,-0.09688858787610492
Zebrafish,rRa,6,-0.0016825035064388183,-0.11243739403372378
Zebrafish,rSP,7,0.00484628326886551,1.137564516545657
Zebrafish,rT,7,-0.0010416172919750168,0.010266719320689795
Zebrafish,rTS,1,-0.02126687474179533,-3.862062294373709
Zebrafish,rTeO,7,0.002194945110837852,0.6299391525710303
Zebrafish,rTh,7,0.0007008074802963635,0.3438714715265147
Zebrafish,raRF,4,-0.009619137423100704,-1.631985803383335
Zebrafish,rimRF,6,-0.0018189361374597562,-0.1385587938145574
Zebrafish,rpRF,7,0.0001281143197447021,0.23422360439549608
