figure,panel,metric,test,n_regions,pearson_r,p_value,linear_slope,linear_intercept,x_label,y_label
figure_supply_0,G,FCS,Pearson correlation,47,0.9364221496198634,4.285916257111968e-22,0.9020878848210473,0.013956749098138073,Emp. FCS (z-score),Sim. FCS (z-score)
figure_supply_0,H,FCV,Pearson correlation,47,0.444587441238356,0.0017428033453424049,0.5397511198628592,-0.3497139448270806,Emp. FCV (z-score),Sim. FCV (z-score)
