predictor,label,outcome,method,n,r,abs_r,p,q_bh
GlobalPostCOut,Target global c_out,RawFCV,pearson,47,-0.06578433443894618,0.06578433443894618,0.6604246933019002,0.7925096319622803
GlobalPostCOut,Target global c_out,RawFCV,spearman,47,0.03295559666975023,0.03295559666975023,0.8259427854169388,0.9251192192970545
GlobalPostCIn,Target global c_in,RawFCV,pearson,47,-0.5738351746835544,0.5738351746835544,2.477595761772942e-05,0.00022298361855956476
GlobalPostCIn,Target global c_in,RawFCV,spearman,47,-0.3712997224791859,0.3712997224791859,0.010183360605489189,0.0493602361216026
TargetDCAEnrichmentZ,Target-cell DCA enrichment,RawFCV,pearson,47,0.3651814111994336,0.3651814111994336,0.011603410464045222,0.03481023139213567
TargetDCAEnrichmentZ,Target-cell DCA enrichment,RawFCV,spearman,47,0.36783071230342274,0.36783071230342274,0.010968941360356133,0.0493602361216026
MeanTargetLocal2StepPathCount,Target local 2-step paths,RawFCV,pearson,47,0.14118574574573023,0.14118574574573023,0.3438375450960155,0.4420768436948771
MeanTargetLocal2StepPathCount,Target local 2-step paths,RawFCV,spearman,47,0.25161887141535616,0.25161887141535616,0.08798339902334883,0.3167402364840558
MeanTargetInterOutDegree,Target inter out-degree,RawFCV,pearson,47,-0.29180647781252705,0.29180647781252705,0.04656840793056807,0.09313681586113615
MeanTargetInterOutDegree,Target inter out-degree,RawFCV,spearman,47,-0.19923681776133212,0.19923681776133212,0.17939373034722622,0.3736457736595795
MeanTargetDownstreamRegionCount,Target downstream regions,RawFCV,pearson,47,-0.2564975561712134,0.2564975561712134,0.08179669488935844,0.13384913709167745
MeanTargetDownstreamRegionCount,Target downstream regions,RawFCV,spearman,47,-0.17148473635522665,0.17148473635522665,0.24909718243971968,0.3736457736595795
AreaDCA,Area-level DCA,RawFCV,pearson,47,0.019893622087987416,0.019893622087987416,0.8944113796693223,0.8944113796693222
AreaDCA,Area-level DCA,RawFCV,spearman,47,-0.004856614246068455,0.004856614246068455,0.9741539624274385,0.9741539624274385
AreaLogOutInStrength,Area out/in strength,RawFCV,pearson,47,0.2704138081189749,0.2704138081189749,0.06600948654218947,0.11881707577594103
AreaLogOutInStrength,Area out/in strength,RawFCV,spearman,47,0.19287696577243296,0.19287696577243296,0.19396879564941305,0.3736457736595795
AreaReach2,Area 2-step reach,RawFCV,pearson,47,-0.35703501117809955,0.35703501117809955,0.01375512298267388,0.0353703162411614
AreaReach2,Area 2-step reach,RawFCV,spearman,47,-0.04567601222232084,0.04567601222232084,0.7604681933101323,0.9125618319721587
LogNRegionNeurons,Region neuron count,RawFCV,pearson,47,-0.049841769495390424,0.049841769495390424,0.7393579367322948,0.8317776788238316
LogNRegionNeurons,Region neuron count,RawFCV,spearman,47,0.02382053654024052,0.02382053654024052,0.8737237071138848,0.9251192192970545
LogIntraEdges,Intra-area edges,RawFCV,pearson,47,-0.21878589830582132,0.21878589830582132,0.13954223044311928,0.19321231907508823
LogIntraEdges,Intra-area edges,RawFCV,spearman,47,-0.16038390379278447,0.16038390379278447,0.28151646675094577,0.3897920308859249
LogInterOutEdges,Inter-area out edges,RawFCV,pearson,47,-0.4278568565095858,0.4278568565095858,0.002700107360667107,0.009720386498401585
LogInterOutEdges,Inter-area out edges,RawFCV,spearman,47,-0.17356614246068455,0.17356614246068455,0.2433116227694611,0.3736457736595795
LogInterInEdges,Inter-area in edges,RawFCV,pearson,47,-0.5142725641255109,0.5142725641255109,0.0002174484641612145,0.001304690784967287
LogInterInEdges,Inter-area in edges,RawFCV,spearman,47,-0.2027058279370953,0.2027058279370953,0.17178365416057959,0.3736457736595795
IntraPostDCA,Intra Post-DCA,ZFCS,pearson,47,-0.3126207484823439,0.3126207484823439,0.032398980051232235,0.04165583149444144
IntraPostDCA,Intra Post-DCA,ZFCS,spearman,47,-0.3712997224791859,0.3712997224791859,0.010183360605489189,0.022912561362350675
IntraPreDCA,Intra Pre-DCA,ZFCS,pearson,47,0.4467180933849089,0.4467180933849089,0.0016456689529073681,0.0032913379058147362
IntraPreDCA,Intra Pre-DCA,ZFCS,spearman,47,0.3847132284921369,0.3847132284921369,0.00758364212700979,0.02067191588474417
GlobalPreDCA,Global Pre-DCA,ZFCS,pearson,47,0.3142928883214405,0.3142928883214405,0.03143578693627533,0.04165583149444144
GlobalPreDCA,Global Pre-DCA,ZFCS,spearman,47,0.24444958371877892,0.24444958371877892,0.0977290291605171,0.14060640346247075
GlobalPostDCA,Global Post-DCA,ZFCS,pearson,47,-0.47534234909982376,0.47534234909982376,0.0007341420623373807,0.0018877938745818362
GlobalPostDCA,Global Post-DCA,ZFCS,spearman,47,-0.4784921369102683,0.4784921369102683,0.0006688370023265056,0.002569715557738669
RegionMeanGlobalDCA,Region mean global DCA,ZFCS,pearson,47,0.0665395340245803,0.0665395340245803,0.6567667903633803,0.6702953132081367
RegionMeanGlobalDCA,Region mean global DCA,ZFCS,spearman,47,0.11864014801110083,0.11864014801110083,0.4270410585841443,0.45216112085379984
GlobalPostCOut,Target global c_out,ZFCS,pearson,47,0.3476783693254018,0.3476783693254018,0.016637901827618696,0.027225657536103322
GlobalPostCOut,Target global c_out,ZFCS,spearman,47,0.14523589269195192,0.14523589269195192,0.33003023277323207,0.3712840118698861
GlobalPostCIn,Target global c_in,ZFCS,pearson,47,0.6574163413423004,0.6574163413423004,5.165613672545387e-07,3.785625123844509e-06
GlobalPostCIn,Target global c_in,ZFCS,spearman,47,0.6070767807585569,0.6070767807585569,6.064289786345508e-06,0.00010915721615421914
TargetDCAEnrichmentZ,Target-cell DCA enrichment,ZFCS,pearson,47,-0.4477110355281185,0.4477110355281185,0.001602068481111813,0.0032913379058147362
TargetDCAEnrichmentZ,Target-cell DCA enrichment,ZFCS,spearman,47,-0.47629509713228496,0.47629509713228496,0.0007138098771496302,0.002569715557738669
