species,predictor,n_groups,pearson_r,pearson_p,spearman_rho,spearman_p,ols_slope,ols_intercept
C. elegans,PostDCA,5,0.4232490863067885,0.47765488286408586,0.19999999999999998,0.747060078104662,2.177956679281143,0.10369448295611423
C. elegans,PreDCA,5,-0.27660565295647443,0.6523587381581274,-0.39999999999999997,0.5046315754686911,-5.697749967763027,0.1772837949772794
Drosophila,PostDCA,5,-0.44538957794353695,0.4522631407837815,0.0,1.0,-8.37257396152294,0.12088877336498602
Drosophila,PreDCA,5,0.8779429086716002,0.05024154002695418,0.9999999999999999,1.4042654220543672e-24,15.156788661156552,-0.10582056117174726
Zebrafish,PostDCA,5,0.9514546185446111,0.012745819832150958,0.8999999999999998,0.03738607346849874,75.79793025702158,0.8714677617272287
Zebrafish,PreDCA,5,-0.26455947589218576,0.6671241586638347,-0.09999999999999999,0.8728885715695383,-32.323346581128156,0.05346032408084466
