species,node,class_order,class_label,EdgeStdFCV,PostDCA,PreDCA,Modularity,LogOutIn,sc_profile_cluster,cluster_order
C. elegans,ADAL,4,integrative relay,-0.5645734043288303,-0.0506460303835138,0.0264221825014289,0.3572965606407512,0.9694005571881036,4,88.0
C. elegans,ADAR,4,integrative relay,-1.1131455752456976,-0.0456181331762736,0.0322677412610034,0.3931455113085331,0.7348198769605134,4,98.0
C. elegans,ADEL,2,other sensory,-0.9594206912803368,-0.03157723490657,0.1383355165121818,0.5232073289505723,1.170932950247736,4,96.0
C. elegans,ADER,2,other sensory,-1.2232546837023324,-0.0379609791744908,0.055715481108768,0.4472562074928453,0.8434293836092832,4,99.0
C. elegans,ADLL,0,olfactory / chemosensory,-0.239247555449999,-0.0220011079190079,0.0364596536509274,0.4298889504713291,2.0082140323914683,4,72.0
C. elegans,ADLR,0,olfactory / chemosensory,0.3055545828186178,-0.0163826686176243,0.0130064956132039,0.4564707756039977,1.0601460078403135,4,84.0
C. elegans,AIBL,5,associative / learning,0.9811485212148382,-0.0362443906814683,0.0210420056080165,0.4803576556739287,-0.4093335848860847,1,5.0
C. elegans,AIBR,5,associative / learning,0.8820471275512428,-0.018654001099111,0.0187936784794491,0.4907818875041301,-0.7919477653040387,3,38.0
C. elegans,AIML,5,associative / learning,0.9681821108084344,0.003309356207847,0.0051363806056891,0.4884764542936288,1.0498221244986776,4,82.0
C. elegans,AIMR,5,associative / learning,0.7860068505129321,0.006319478465967,0.0144970585762402,0.565523928277917,1.3564413979702097,4,86.0
C. elegans,AINL,5,associative / learning,0.364216525156013,-0.0027406274381846,0.0163902618178463,0.4471630420855222,1.6739764335716716,4,63.0
C. elegans,AINR,5,associative / learning,-0.4216258862265929,0.0050045042788847,0.0082381453760399,0.5147724614921984,2.0243817644968085,4,62.0
C. elegans,AIYL,5,associative / learning,-0.7231062055225451,0.0387711934053101,0.014331784418101,0.3995716822787896,0.4534743272945249,5,108.0
C. elegans,AIYR,5,associative / learning,-0.1312169578002816,0.0538733599112803,0.0090704486755844,0.4216142261088249,0.4380086558406358,5,109.0
C. elegans,AIZL,5,associative / learning,-0.8896008985456061,0.0204181099660161,0.0474467650663529,0.403145092335744,0.1375555429242481,6,117.0
C. elegans,AIZR,5,associative / learning,-1.3167952854281442,0.020458202282866,0.0485028683518328,0.3995200126791898,-0.0962768304354198,1,9.0
C. elegans,ALA,6,state-dependent / modulatory,-0.3667136375340386,-0.0440910493247112,0.0339861142347755,0.5251595457003787,0.6931471805599453,4,74.0
C. elegans,AQR,2,other sensory,-0.5066244403314731,-0.0209444244297973,0.0392952149138182,0.330075863261283,0.9162907318741552,4,89.0
C. elegans,ASEL,0,olfactory / chemosensory,0.5999583936775703,0.0406559890302322,0.0092507197028675,0.3711846860219897,1.2299482907291963,4,54.0
C. elegans,ASER,0,olfactory / chemosensory,0.7767642771058964,0.0341258340724581,0.0167177457883876,0.3970476139049279,0.3841423386393431,5,106.0
C. elegans,ASGL,0,olfactory / chemosensory,0.8773969832466972,-0.005239233925971,0.0084972584535816,0.0621280276816608,1.329135947279942,4,48.0
C. elegans,ASGR,0,olfactory / chemosensory,0.2448407951202664,-0.0032007243294031,0.0077206012072321,0.22562269161503,1.203972804325936,4,70.0
C. elegans,ASHL,0,olfactory / chemosensory,0.6738876331718797,-0.0173948774511532,0.0224048983033459,0.4376725188340011,1.820332841672111,4,59.0
C. elegans,ASIL,0,olfactory / chemosensory,1.1971120119688037,0.0315659701679215,0.0068757177773338,0.4106647427926599,0.8938178760220965,4,83.0
C. elegans,ASIR,0,olfactory / chemosensory,0.4849856275222814,0.0078253633617394,0.019999902767536,0.1967643229166666,1.3862943611198906,4,65.0
C. elegans,ASKL,0,olfactory / chemosensory,0.5828654075667257,-0.0047926839170861,0.0005737168630484,0.2275627364270872,-0.0400053346136991,1,7.0
C. elegans,ASKR,0,olfactory / chemosensory,-0.111505099651864,-0.0025467418219997,0.0013774354586308,0.1938461441825114,0.7295148247308201,4,64.0
C. elegans,AUAL,5,associative / learning,-0.2375001825649381,-0.0233954949985874,0.017243294126609,0.2726225337780541,0.5679840376059393,4,102.0
C. elegans,AUAR,5,associative / learning,-0.1618779789119584,0.0397360446297983,0.0408527209317716,0.2167766360194699,0.4432054360910114,4,85.0
C. elegans,AVAL,3,sensorimotor output,0.9531506706687886,-0.0295817709980234,0.086423045263819,0.3749229961531944,-0.9065051814514368,3,41.0
C. elegans,AVAR,3,sensorimotor output,0.6793322880147115,-0.0148945580873344,0.0847952555575249,0.3763742404559555,-0.8751742299154585,3,42.0
C. elegans,AVBL,3,sensorimotor output,0.9244595349435024,-0.1313519933416719,0.0403147503096905,0.2947976277139517,-1.6671170240207784,3,17.0
C. elegans,AVBR,3,sensorimotor output,0.1153840283642345,-0.1595382746962184,0.0233360646545585,0.3390416079285745,-1.774059892128654,3,18.0
C. elegans,AVDL,3,sensorimotor output,-1.1411070088143918,-0.1976308639164232,0.0793065898466523,0.2478297628653375,-0.6218223997380151,2,13.0
C. elegans,AVDR,3,sensorimotor output,-1.3811287570778246,-0.2185806460870022,0.0660833213264959,0.2689782065733802,-0.3879974150677734,2,14.0
C. elegans,AVEL,3,sensorimotor output,0.6126277611952423,-0.0709595308692543,0.0383452695813948,0.4592745296765282,-0.9393560048051512,3,34.0
C. elegans,AVER,3,sensorimotor output,0.6490924362642085,-0.1345850558722683,0.0269708710480729,0.4598192064406438,-0.7925196543731491,3,32.0
C. elegans,AVHL,4,integrative relay,-1.5393466206490338,-0.0037987991755094,0.0136927022851149,0.3631997106388109,0.2336148511815051,6,110.0
C. elegans,AVJL,4,integrative relay,-1.0183124792536458,-0.0429685802419464,0.0227191287952742,0.2941566448083891,-1.0379876668516748,3,19.0
C. elegans,AVJR,4,integrative relay,-1.2501322912349255,-0.069185953467657,0.0337457433925746,0.239504463800185,-0.3513978868378886,3,33.0
C. elegans,AVKL,4,integrative relay,0.7325166341555567,0.0133027442023605,0.0023213032229562,0.4062744801512287,-0.7205461547480597,3,35.0
C. elegans,AVKR,4,integrative relay,0.1289578386435944,-0.0135462210341531,0.0070625858229213,0.370024052329843,-0.7062192621272981,3,36.0
C. elegans,AVL,4,integrative relay,-0.1539672773458583,-0.0069589402806569,0.0202975222955369,0.4892679477790965,-0.1541506798272583,1,10.0
C. elegans,AWAL,0,olfactory / chemosensory,0.5762403946624005,0.0234944405480528,0.06721188019773,0.1805368927110395,1.0628942060660305,4,66.0
C. elegans,AWAR,0,olfactory / chemosensory,-0.4659730577520273,0.0178208159686248,0.010277817085978,0.411385050847887,1.452252328911688,4,56.0
C. elegans,AWBL,0,olfactory / chemosensory,0.2047008282547995,0.0439161015987454,0.0144368852043384,0.2960149572649572,0.9501922835498364,4,55.0
C. elegans,AWBR,0,olfactory / chemosensory,-0.6363961913476046,0.0412973584883009,0.0262123003665272,0.3115502037054492,0.7178397931503168,4,87.0
C. elegans,AWCL,0,olfactory / chemosensory,0.3811994243559774,0.0358871084858854,0.014307224674721,0.3206295091278699,0.1590646946296872,6,112.0
C. elegans,AWCR,0,olfactory / chemosensory,-0.358798074346615,0.0309666411000357,0.0160595269847305,0.4016662639712923,0.5753641449035618,4,78.0
C. elegans,BAGL,2,other sensory,1.4517242918919655,0.0300907143407224,0.0161606786518617,0.2745214862075436,0.758529939822797,4,91.0
C. elegans,CEPDL,2,other sensory,-0.5279938050716838,0.0018778648141152,0.0311642340545337,0.5219449779456764,1.4328143767547836,4,90.0
C. elegans,CEPDR,2,other sensory,-1.0336978149852607,0.0292962675616043,0.0358032711083191,0.4627199006949319,1.8899514954072687,4,60.0
C. elegans,CEPVL,2,other sensory,-0.6287699083132322,0.008011582336464,0.040540942258045,0.3108368991671182,1.127811443360372,4,61.0
C. elegans,CEPVR,2,other sensory,-0.5960980289885239,0.0209005380391964,0.0403269229414609,0.4548282521767759,0.7013104911991062,4,76.0
C. elegans,FLPL,2,other sensory,-0.8686396013499773,-0.1149491501054033,0.080275585349633,0.1677120656435911,2.2308411881352046,4,47.0
C. elegans,FLPR,2,other sensory,-1.3991211090469498,-0.0595770609716446,0.0560912591379397,0.2001232642756367,2.6567569067146595,4,51.0
C. elegans,IL1DL,2,other sensory,-0.290695203170446,-0.0470399069015458,0.0336350446821504,0.4077692557422286,-0.5465437063680699,3,30.0
C. elegans,IL1DR,2,other sensory,0.336274529306921,-0.0867933481889604,0.002643577751553,0.496813322368421,0.394993808240869,5,104.0
C. elegans,IL1L,2,other sensory,0.3664802206317709,-0.1317128809018447,-0.0039304772272032,0.4727970679012345,0.8174448972375224,4,94.0
C. elegans,IL1R,2,other sensory,0.9045791661704076,-0.1190846052040121,-0.0438247959518256,0.3314422053193013,0.7731898882334817,4,103.0
C. elegans,IL1VL,2,other sensory,-0.0340689282916831,-0.1106772305974841,0.0182299836093793,0.2959274074471797,0.1017826943099423,6,114.0
C. elegans,IL1VR,2,other sensory,0.9773081250372956,-0.115110472722582,0.0178492388328706,0.3972229377406172,0.1978257433299198,6,115.0
C. elegans,IL2DL,2,other sensory,-1.0430143798119822,-0.0110232982195794,0.0088692614077106,0.319031330557208,3.355735007585398,4,49.0
C. elegans,IL2DR,2,other sensory,-0.7618633025286567,-0.000330936826991,0.0282467465529814,0.3780383613140245,2.0455399900041544,4,69.0
C. elegans,IL2L,2,other sensory,-0.5413112599527531,0.0214399059599486,0.0207946452853961,0.4087534626038781,1.9095425048844383,4,73.0
C. elegans,IL2R,2,other sensory,0.0582789090686981,0.0348992853034019,0.0434480259894494,0.4042315455594002,1.992430164690206,4,71.0
C. elegans,IL2VL,2,other sensory,-1.204093230845751,0.0085666374188124,0.0879947238929901,0.2679792014600299,3.0349529867072724,4,52.0
C. elegans,IL2VR,2,other sensory,-0.6951096324652956,0.0041169460878454,0.0259245979936007,0.2110145552044431,2.3092296357127142,4,50.0
C. elegans,OLLL,2,other sensory,0.6043314415104001,-0.0479790230159389,0.0389772717467841,0.3420431302239842,1.4744016286301571,4,58.0
C. elegans,OLLR,2,other sensory,0.4679520859572197,-0.0655555465092243,0.0191452047984926,0.4398517435566541,0.8945169323245945,4,101.0
C. elegans,OLQDL,2,other sensory,1.044455240180571,-0.0326671478443268,0.0288424075297569,0.5248762226784205,-0.4542552722775964,1,6.0
C. elegans,OLQDR,2,other sensory,0.2260494381273295,-0.0663809698349078,0.0168308790072615,0.4286439550435909,-0.5447271754416722,3,29.0
C. elegans,OLQVL,2,other sensory,1.1522735251549137,-0.0640467284785841,0.0290035707616337,0.4910206881106351,-0.7835312420282143,3,39.0
C. elegans,OLQVR,2,other sensory,0.3974154971940922,0.0031116311161349,0.0084779199831973,0.400503363506727,0.2341933875007947,6,111.0
C. elegans,RIAL,5,associative / learning,-0.135090286859046,-0.1068063283929411,0.0354208623053253,0.4201204210446024,-0.0813846037821148,1,2.0
C. elegans,RIAR,5,associative / learning,-0.9000943161439778,-0.1128020250203805,0.0216750078415792,0.4450689391668671,0.0597879183789734,6,118.0
C. elegans,RIBL,5,associative / learning,1.0562991765375076,-0.0017944493823752,0.0543817177280561,0.4358090848488012,-0.9702311220199028,3,45.0
C. elegans,RIBR,5,associative / learning,1.0345687486246304,-0.0082841723681434,0.0584895164387816,0.3769807638799111,-1.297815632436311,3,21.0
C. elegans,RICL,6,state-dependent / modulatory,-0.5805296414732438,-0.1487716846368256,0.0147470578981035,0.4306980168526355,0.0652405218684009,6,119.0
C. elegans,RICR,6,state-dependent / modulatory,-0.9067290125922598,-0.125830984124138,0.0181399683287866,0.4578635417006111,-0.0582689081239757,1,3.0
C. elegans,RID,4,integrative relay,1.206516453563277,0.0108227569268958,-0.0239406992120578,0.5330485344725288,-1.1921383466789333,3,43.0
C. elegans,RIH,4,integrative relay,0.4543163228650999,0.0518737270452255,0.0104559454494932,0.5957600475624257,0.8777184570879153,4,79.0
C. elegans,RIML,6,state-dependent / modulatory,1.033370210717337,-0.0410927478715281,0.0277581148191426,0.3285938203888945,-0.1727521057778039,1,8.0
C. elegans,RIMR,6,state-dependent / modulatory,0.9796523400915012,-0.043059513472717,0.0455336622273041,0.3778852103804485,-0.4845083154486173,3,31.0
C. elegans,RIR,4,integrative relay,0.4412472230242808,0.0444727599698452,0.0268520614976934,0.4274124142846671,0.3817110221000572,5,107.0
C. elegans,RIS,6,state-dependent / modulatory,0.9586480487944484,-0.0219287788226396,-0.0137384618947002,0.4406477811510279,1.5664205273504097,4,57.0
C. elegans,RIVL,3,sensorimotor output,0.997230902250066,-0.01428840361736,0.0324876634470004,0.1368065837556789,0.0454623740767574,6,120.0
C. elegans,RIVR,3,sensorimotor output,0.876074376911276,0.0019053193605542,0.0898898680120462,0.1900786913704253,0.3867729750960119,4,93.0
C. elegans,RMDDL,3,sensorimotor output,-0.4266990564743954,-0.0754488343026982,0.0582212357254225,0.3166163176557123,-1.9989026791958235,3,27.0
C. elegans,RMDDR,3,sensorimotor output,-0.8017471487953932,-0.1916640041512533,0.0618211414162167,0.2165272517464771,-2.239336062686346,3,28.0
C. elegans,RMDL,3,sensorimotor output,0.9849602606250734,0.059394912417754,0.0471625234151796,0.3100312388510368,-0.6341488397979895,3,44.0
C. elegans,RMDR,3,sensorimotor output,-0.1332431479505051,0.0535552292500498,0.0671156029426061,0.3189549395574071,-1.0266387890430204,3,23.0
C. elegans,RMDVL,3,sensorimotor output,-0.248109221383357,-0.1382482450584931,0.0752928416535763,0.3450067584209044,-1.5500836697849176,3,15.0
C. elegans,RMDVR,3,sensorimotor output,-0.7670583706691313,-0.1408615511985975,0.0708327969591204,0.3246346119509186,-1.4240346891027378,3,16.0
C. elegans,RMED,3,sensorimotor output,0.3662126499559935,-0.1161553818148787,-0.0362869662245754,0.4534183673469387,-2.2246235515243336,3,22.0
C. elegans,RMEL,3,sensorimotor output,1.206894611334205,0.0299403921694242,0.0152548246003602,0.441504385312918,-2.512305623976115,3,25.0
C. elegans,RMER,3,sensorimotor output,0.8615438524198483,0.0352811430380435,0.0176861883629082,0.3342415229030339,-2.3632097148104805,3,26.0
C. elegans,RMEV,3,sensorimotor output,0.8770372523427571,-0.0497425749578728,0.005031462257574,0.4738242407954851,-2.145399509471633,3,24.0
C. elegans,RMGL,6,state-dependent / modulatory,-1.184630788789381,-0.064570897442933,0.0069226372171253,0.4805985521401792,0.461345566502621,5,105.0
C. elegans,SAADL,3,sensorimotor output,0.4228558155914764,-0.1010687288441655,-0.0008080246668527,0.516926347114465,-0.2363887780642304,1,11.0
C. elegans,SAADR,3,sensorimotor output,0.2322001526469293,-0.1204589684187786,0.0181883324272895,0.4569661924387638,0.243230309880947,6,116.0
C. elegans,SAAVL,3,sensorimotor output,0.0230766114130068,-0.1512837405952934,0.0015495056890599,0.4653281804756967,0.8807457944547437,4,95.0
