species,predictor,response,n,pearson_r,pearson_p,pearson_perm_p,spearman_rho,spearman_p,spearman_perm_p,kendall_tau,kendall_p,ols_slope,ols_intercept,theilsen_slope,theilsen_intercept,theilsen_slope_ci_low,theilsen_slope_ci_high,r_squared
C. elegans,PostDCA,zEdgeStdFCV,120,0.16534877783505597,0.07110744930828673,0.07592407592407592,0.14288492256406693,0.11950792380894955,0.13286713286713286,0.09299719887955181,0.13203849828325784,2.064330080038708,0.07014578752257881,1.904243284902456,0.0762430335873439,-0.5810883540147795,4.315488637487422,0.027340218331546696
Drosophila,PostDCA,zEdgeStdFCV,37,-0.2599093020139279,0.12029440538951497,0.13486513486513488,-0.1161688003793267,0.4935346356247966,0.4905094905094905,-0.08108108108108109,0.48002672231040755,-6.633188407613322,0.10571580160982698,-5.3785524864749785,0.3420080828132275,-14.855771679210706,7.138639566179595,0.0675528452733672
Zebrafish,PostDCA,zEdgeStdFCV,47,0.6180476204600551,3.6772854733148613e-06,0.000999000999000999,0.5043940795559667,0.0003002397686944753,0.000999000999000999,0.33209990749306206,0.0009940944110039575,30.725577715304883,0.5729146452817471,30.381168110605017,0.4536157050955108,14.373004849295825,48.402226147751804,0.38198286115633634
