node,anatomy_group,EdgeStdFCV,ObservedNetTE
HR,Di,-1.286006136046754,-4.068642557896467
Hb,Di,1.0346132067243623,0.1048061692386737
Hi,Di,-1.8318066276615552,-2.49575088609677
PT,Di,-0.2033698550287673,-1.3198650636753744
PrT,Di,-0.7324940128030598,-0.6184760659944276
Th,Di,0.1226729453934155,-0.7586007655136027
rHR,Di,-0.9487390016428364,-2.6305653695441364
rHb,Di,1.596274507334197,0.2152885554222325
rHi,Di,-0.7839403387683498,-2.9968616211175005
rPT,Di,0.476998723769256,-0.5185716133480431
rPrT,Di,0.2939976469109073,-0.7212034882708162
rTh,Di,1.1728890979283748,0.212233830712289
Cb,Hind,-0.954373380001596,0.1084493542115714
MON,Hind,-1.1933531150543424,-0.5772889391379074
MOS1,Hind,0.7390695453973448,1.6217548658927003
MOS2,Hind,-0.1352004167235786,0.9854548534651082
MOS3,Hind,1.1464227933468003,1.8780030339465736
MOS4,Hind,-0.6801727135428101,0.2617662788950401
MOS5,Hind,-0.7530286733072034,0.2044789969038212
NX,Hind,-1.0783515654900997,0.6563084123727339
Ra,Hind,0.1296123090597601,-0.5841255948463571
T,Hind,-0.3145500508628172,-0.8950752546865549
aRF,Hind,-0.9083500374198268,-1.7581902607930304
imRF,Hind,-1.2006574662929164,-0.1221262735688613
pRF,Hind,0.4416958849654735,0.6556879043835322
rCb,Hind,-0.7255609791494912,0.1192654537105551
rMON,Hind,-1.182042516682689,-0.7705030401644062
rMOS1,Hind,0.1901569488351133,1.2161537346867692
rMOS2,Hind,-0.6322091318888503,1.2812453793972858
rMOS3,Hind,0.7911210367536572,1.1996623897946934
rMOS4,Hind,-0.4238389421615072,0.1826400305545675
rMOS5,Hind,-0.5413417606311417,0.7034517943710036
rNX,Hind,-0.8366161044922553,0.1322374919674074
rRa,Hind,0.0629131717561849,-0.3357546360740397
rT,Hind,0.0289474624601211,-0.3924564501211786
raRF,Hind,-1.2809420007055217,-2.216270542551368
rimRF,Hind,-1.2527274038179848,-0.4072694365414697
rpRF,Hind,0.1044182987338904,0.5375363586784727
TS,Mes,-1.2275300694685376,-0.5393941458093233
TeO,Mes,-0.6521309710011644,-0.1047046533080851
rTS,Mes,-2.853113775871185,-3.069974260725623
rTeO,Mes,0.2312755455684927,0.8758648902528396
OB,Tel,1.3466135357862894,0.2384793720344279
P,Tel,1.5495195865975258,0.4797317381786187
PO,Tel,1.1592691233111951,-0.3390845156726062
SP,Tel,1.8949559675979477,1.7221395418498164
rOB,Tel,1.2158989459097775,0.8233571565274714
rP,Tel,1.6456512034875086,0.5936399500264018
rPO,Tel,1.4040926685280206,1.1498028440083368
rSP,Tel,2.0921139529474715,1.918791165267305
