species,measure,anatomy_group,n,mean,median,std,kruskal_h,kruskal_p,group_i,group_j,n_i,n_j,mannwhitney_p,holm_p
Zebrafish,ProfileCorrDistFCV,diencephalon,56.0,-0.3216180079364297,-0.3837060462392412,0.46411557652328517,,,,,,,,
Zebrafish,ProfileCorrDistFCV,mesencephalon,42.0,0.7039236443611216,0.7485811937053002,0.6552413758238954,,,,,,,,
Zebrafish,ProfileCorrDistFCV,hindbrain / motor,195.0,-0.4937893184485133,-0.7812157971989352,0.9962985439629541,,,,,,,,
Zebrafish,ProfileCorrDistFCV,state system,92.0,0.3058538403238645,0.27936373985185153,0.7112219289288446,,,,,,,,
Zebrafish,ProfileCorrDistFCV,__global_kruskal__,450.0,,,,142.89453000422463,6.774372249820663e-30,,,,,,
Zebrafish,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,diencephalon,65.0,56.0,1.5242432437505477e-12,1.2193945950004382e-11
Zebrafish,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,mesencephalon,65.0,42.0,0.302862242487143,0.302862242487143
Zebrafish,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,hindbrain / motor,65.0,195.0,3.145171304659406e-17,3.145171304659406e-16
Zebrafish,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,state system,65.0,92.0,6.13710545117556e-05,0.0002454842180470224
Zebrafish,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,diencephalon,mesencephalon,56.0,42.0,4.9567406987161445e-11,2.9740444192296864e-10
Zebrafish,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,diencephalon,hindbrain / motor,56.0,195.0,0.0014341506741773111,0.004302452022531933
Zebrafish,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,diencephalon,state system,56.0,92.0,4.6782745194556505e-07,2.3391372597278253e-06
Zebrafish,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,mesencephalon,hindbrain / motor,42.0,195.0,5.617537458549739e-12,3.932276220984817e-11
Zebrafish,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,mesencephalon,state system,42.0,92.0,0.0022309255317756616,0.004461851063551323
Zebrafish,ProfileCorrDistFCV,__pairwise_mannwhitney_holm__,,,,,,,hindbrain / motor,state system,195.0,92.0,1.148335799552958e-13,1.0335022195976623e-12
Zebrafish,FCSHalfLifeWindows,telencephalon,65.0,-0.2784988299540631,-0.3694900135571885,0.9143518469987777,,,,,,,,
Zebrafish,FCSHalfLifeWindows,diencephalon,56.0,-0.055407554063222966,-0.0101349645229731,0.9246898584785194,,,,,,,,
Zebrafish,FCSHalfLifeWindows,mesencephalon,42.0,0.1339781576692527,-0.054181096786720076,0.9884464789018025,,,,,,,,
Zebrafish,FCSHalfLifeWindows,hindbrain / motor,195.0,0.04538277118516516,-0.010752686021640118,0.9424414241816326,,,,,,,,
Zebrafish,FCSHalfLifeWindows,state system,92.0,0.07313613012324717,-0.1041159672170619,1.1963154763499595,,,,,,,,
Zebrafish,FCSHalfLifeWindows,__global_kruskal__,450.0,,,,7.24937411781093,0.12328230964785344,,,,,,
Zebrafish,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,diencephalon,65.0,56.0,0.1270854915236516,0.8895984406655612
Zebrafish,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,mesencephalon,65.0,42.0,0.03554474221026491,0.3199026798923842
Zebrafish,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,hindbrain / motor,65.0,195.0,0.00902351004831353,0.09023510048313531
Zebrafish,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,telencephalon,state system,65.0,92.0,0.07275481556110705,0.5820385244888564
Zebrafish,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,diencephalon,mesencephalon,56.0,42.0,0.5730678697417892,1.0
Zebrafish,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,diencephalon,hindbrain / motor,56.0,195.0,0.5864519358854303,1.0
Zebrafish,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,diencephalon,state system,56.0,92.0,0.9322568632866634,1.0
Zebrafish,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,mesencephalon,hindbrain / motor,42.0,195.0,0.7573913004338326,1.0
Zebrafish,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,mesencephalon,state system,42.0,92.0,0.531370381363631,1.0
Zebrafish,FCSHalfLifeWindows,__pairwise_mannwhitney_holm__,,,,,,,hindbrain / motor,state system,195.0,92.0,0.7185297075932264,1.0
