species,measure,anatomy_group,n,mean,median,std,kruskal_h,kruskal_p,global_permutation_p,n_perm,group_i,group_j,n_i,n_j,observed_abs_mean_diff,global_maxT_perm_p
Zebrafish,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,diencephalon,65.0,56.0,0.6312292380970548,0.16668333166683333
Zebrafish,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,state system,65.0,92.0,0.17742423178471883,0.9621037896210379
Zebrafish,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,mesencephalon,65.0,42.0,0.0883512432520403,0.9966003399660034
Zebrafish,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,hindbrain / motor,65.0,195.0,0.1342194286193506,0.985001499850015
Zebrafish,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,diencephalon,state system,56.0,92.0,0.8086534698817737,0.0385961403859614
Zebrafish,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,diencephalon,mesencephalon,56.0,42.0,0.5428779948450145,0.2970702929707029
Zebrafish,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,diencephalon,hindbrain / motor,56.0,195.0,0.49700980947770423,0.37906209379062095
Zebrafish,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,state system,mesencephalon,92.0,42.0,0.26577547503675913,0.8585141485851415
Zebrafish,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,state system,hindbrain / motor,92.0,195.0,0.31164366040406943,0.7771222877712228
Zebrafish,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mesencephalon,hindbrain / motor,42.0,195.0,0.0458681853673103,0.9997000299970003
