species,measure,anatomy_group,n,mean,median,std,kruskal_h,kruskal_p,global_permutation_p,n_perm,group_i,group_j,n_i,n_j,observed_abs_mean_diff,global_maxT_perm_p
C. elegans,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olf./chemo,motor / command,17.0,33.0,0.03096296032744361,0.8926107389261074
C. elegans,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olf./chemo,state-modulatory,17.0,7.0,0.1209255239057016,0.014998500149985002
C. elegans,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olf./chemo,interneurons,17.0,29.0,0.10427010486929017,0.05019498050194981
C. elegans,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olf./chemo,sensory neurons,17.0,34.0,0.07323166397661318,0.2425757424257574
C. elegans,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,motor / command,state-modulatory,33.0,7.0,0.08996256357825799,0.10878912108789121
C. elegans,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,motor / command,interneurons,33.0,29.0,0.07330714454184656,0.24147585241475852
C. elegans,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,motor / command,sensory neurons,33.0,34.0,0.04226870364916957,0.7332266773322668
C. elegans,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,state-modulatory,interneurons,7.0,29.0,0.016655419036411434,0.9876012398760124
C. elegans,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,state-modulatory,sensory neurons,7.0,34.0,0.04769385992908842,0.6407359264073592
C. elegans,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,interneurons,sensory neurons,29.0,34.0,0.03103844089267699,0.892010798920108
C. elegans,LogOutIn,olf./chemo,17.0,0.9954777318440319,1.0601460078403135,0.5459021075541756,,,,,,,,,,
C. elegans,LogOutIn,motor / command,33.0,-0.7839250692452553,-0.7925196543731491,0.974614504024324,,,,,,,,,,
C. elegans,LogOutIn,state-modulatory,7.0,0.2958034952758543,0.0652405218684009,0.6839482495737303,,,,,,,,,,
C. elegans,LogOutIn,interneurons,29.0,0.19162836433961844,0.2336148511815051,0.8749032573715562,,,,,,,,,,
C. elegans,LogOutIn,sensory neurons,34.0,1.1366426696003555,0.9852256289857153,1.0373679276473888,,,,,,,,,,
C. elegans,LogOutIn,__global_permutation__,120.0,,,,51.54336476475121,1.7186055734923903e-10,9.999000099990002e-05,10000.0,,,,,,
C. elegans,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olf./chemo,motor / command,17.0,33.0,1.779402801089287,0.0007999200079992001
C. elegans,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olf./chemo,state-modulatory,17.0,7.0,0.6996742365681776,0.39376062393760625
C. elegans,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olf./chemo,interneurons,17.0,29.0,0.8038493675044134,0.26787321267873215
C. elegans,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olf./chemo,sensory neurons,17.0,34.0,0.14116493775632366,0.9951004899510049
C. elegans,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,motor / command,state-modulatory,33.0,7.0,1.0797285645211097,0.0771922807719228
C. elegans,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,motor / command,interneurons,33.0,29.0,0.9755534335848737,0.12398760123987601
C. elegans,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,motor / command,sensory neurons,33.0,34.0,1.9205677388456108,0.00029997000299970003
C. elegans,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,state-modulatory,interneurons,7.0,29.0,0.10417513093623587,0.9984001599840016
C. elegans,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,state-modulatory,sensory neurons,7.0,34.0,0.8408391743245012,0.23027697230276972
C. elegans,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,interneurons,sensory neurons,29.0,34.0,0.9450143052607372,0.14278572142785723
Drosophila,PostDCA,mushroom body,2.0,-0.09108781386935315,-0.09108781386935315,0.04826908476521889,,,,,,,,,,
Drosophila,PostDCA,olfactory neuropil,3.0,0.020977956330706996,0.0073878421151655,0.030725099963001754,,,,,,,,,,
Drosophila,PostDCA,premotor interface,6.0,0.00035610804509175,-0.0032065673100672,0.008932182043406017,,,,,,,,,,
Drosophila,PostDCA,protocerebrum,22.0,-2.0007736781804458e-05,0.00205476754964895,0.017762849196353545,,,,,,,,,,
Drosophila,PostDCA,optic neuropil,4.0,-0.0007105916964477252,0.00028619477948115,0.004919593789129632,,,,,,,,,,
Drosophila,PostDCA,__global_permutation__,37.0,,,,7.214470451312565,0.1249792840903731,0.0004999500049995,10000.0,,,,,,
Drosophila,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,olfactory neuropil,2.0,3.0,0.11206577020006014,9.999000099990002e-05
Drosophila,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,premotor interface,2.0,6.0,0.09144392191444489,0.0036996300369963003
Drosophila,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,protocerebrum,2.0,22.0,0.09106780613257134,0.0036996300369963003
Drosophila,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,optic neuropil,2.0,4.0,0.09037722217290542,0.0040995900409959
Drosophila,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olfactory neuropil,premotor interface,3.0,6.0,0.020621848285615245,0.7219278072192781
Drosophila,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olfactory neuropil,protocerebrum,3.0,22.0,0.0209979640674888,0.7117288271172882
Drosophila,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olfactory neuropil,optic neuropil,3.0,4.0,0.02168854802715472,0.6903309669033096
Drosophila,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,premotor interface,protocerebrum,6.0,22.0,0.00037611578187355445,1.0
Drosophila,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,premotor interface,optic neuropil,6.0,4.0,0.0010666997415394752,1.0
Drosophila,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,protocerebrum,optic neuropil,22.0,4.0,0.0006905839596659208,1.0
Drosophila,PreDCA,mushroom body,2.0,0.0815145266042232,0.0815145266042232,0.01344570137053379,,,,,,,,,,
Drosophila,PreDCA,olfactory neuropil,3.0,0.0638010273199725,0.0056421025584574,0.10703383446045306,,,,,,,,,,
Drosophila,PreDCA,premotor interface,6.0,0.005964813691643517,0.0061297886170867,0.0028906796299642077,,,,,,,,,,
Drosophila,PreDCA,protocerebrum,22.0,-0.006281615908651719,0.0028132699145044,0.033814642484342204,,,,,,,,,,
Drosophila,PreDCA,optic neuropil,4.0,-0.0312753149200557,-0.0220679946855062,0.03992958508553771,,,,,,,,,,
Drosophila,PreDCA,__global_permutation__,37.0,,,,10.11748351222036,0.038494511411470256,0.012098790120987902,10000.0,,,,,,
Drosophila,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,olfactory neuropil,2.0,3.0,0.0177134992842507,0.9219078092190781
Drosophila,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,premotor interface,2.0,6.0,0.07554971291257968,0.21487851214878512
Drosophila,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,protocerebrum,2.0,22.0,0.08779614251287492,0.13658634136586342
Drosophila,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,optic neuropil,2.0,4.0,0.1127898415242789,0.0458954104589541
Drosophila,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olfactory neuropil,premotor interface,3.0,6.0,0.057836213628328983,0.39286071392860716
Drosophila,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olfactory neuropil,protocerebrum,3.0,22.0,0.07008264322862422,0.2632736726327367
Drosophila,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olfactory neuropil,optic neuropil,3.0,4.0,0.0950763422400282,0.1040895910408959
Drosophila,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,premotor interface,protocerebrum,6.0,22.0,0.012246429600295237,0.9701029897010299
Drosophila,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,premotor interface,optic neuropil,6.0,4.0,0.037240128611699216,0.676932306769323
Drosophila,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,protocerebrum,optic neuropil,22.0,4.0,0.024993699011403976,0.8384161583841616
Drosophila,Modularity,mushroom body,2.0,0.6025633284020394,0.6025633284020394,0.09409167605546334,,,,,,,,,,
Drosophila,Modularity,olfactory neuropil,3.0,0.407380627873213,0.4319583341899644,0.04633848649913807,,,,,,,,,,
Drosophila,Modularity,premotor interface,6.0,0.5127300851545415,0.5078215047943229,0.03425495397978899,,,,,,,,,,
Drosophila,Modularity,protocerebrum,20.0,0.5616191024806433,0.6102740052869268,0.16395111457514888,,,,,,,,,,
Drosophila,Modularity,optic neuropil,4.0,0.5285281291021673,0.6363853850731281,0.26967207802822574,,,,,,,,,,
Drosophila,Modularity,__global_permutation__,35.0,,,,8.006825396825406,0.09132849116398332,0.5391460853914608,10000.0,,,,,,
Drosophila,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,olfactory neuropil,2.0,3.0,0.1951827005288264,0.36936306369363064
Drosophila,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,premotor interface,2.0,6.0,0.08983324324749786,0.9116088391160884
Drosophila,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,protocerebrum,2.0,20.0,0.04094422592139613,0.996000399960004
Drosophila,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,optic neuropil,2.0,4.0,0.07403519929987212,0.9576042395760423
Drosophila,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olfactory neuropil,premotor interface,3.0,6.0,0.10534945728132855,0.8507149285071492
Drosophila,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olfactory neuropil,protocerebrum,3.0,20.0,0.1542384746074303,0.5804419558044196
Drosophila,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olfactory neuropil,optic neuropil,3.0,4.0,0.12114750122895429,0.7701229877012299
Drosophila,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,premotor interface,protocerebrum,6.0,20.0,0.048889017326101736,0.9914008599140086
Drosophila,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,premotor interface,optic neuropil,6.0,4.0,0.01579804394762574,0.9998000199980002
Drosophila,Modularity,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,protocerebrum,optic neuropil,20.0,4.0,0.033090973378475996,0.9975002499750025
Drosophila,LogOutIn,mushroom body,2.0,0.22859886036103344,0.22859886036103344,0.09636156432392218,,,,,,,,,,
Drosophila,LogOutIn,olfactory neuropil,3.0,0.5215157760803041,0.4521889501029338,0.39111068612142735,,,,,,,,,,
Drosophila,LogOutIn,premotor interface,6.0,-0.2697340621333872,-0.2540316818084488,0.19135891569406543,,,,,,,,,,
Drosophila,LogOutIn,protocerebrum,22.0,-0.24673961114041026,-0.27442664060100896,0.46267202774722493,,,,,,,,,,
Drosophila,LogOutIn,optic neuropil,4.0,0.32104490843883904,0.35691300668827686,0.9526185066635815,,,,,,,,,,
Drosophila,LogOutIn,__global_permutation__,37.0,,,,8.04235096340362,0.09003908584975967,0.04129587041295871,10000.0,,,,,,
Drosophila,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,olfactory neuropil,2.0,3.0,0.29291691571927064,0.9435056494350565
Drosophila,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,premotor interface,2.0,6.0,0.4983329224944206,0.6966303369663034
Drosophila,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,protocerebrum,2.0,22.0,0.4753384715014437,0.7342265773422658
Drosophila,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mushroom body,optic neuropil,2.0,4.0,0.0924460480778056,0.9996000399960004
Drosophila,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olfactory neuropil,premotor interface,3.0,6.0,0.7912498382136912,0.24567543245675433
Drosophila,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olfactory neuropil,protocerebrum,3.0,22.0,0.7682553872207143,0.27387261273872615
Drosophila,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,olfactory neuropil,optic neuropil,3.0,4.0,0.20047086764146504,0.984001599840016
Drosophila,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,premotor interface,protocerebrum,6.0,22.0,0.022994450992976923,1.0
Drosophila,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,premotor interface,optic neuropil,6.0,4.0,0.5907789705722262,0.5367463253674633
Drosophila,LogOutIn,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,protocerebrum,optic neuropil,22.0,4.0,0.5677845195792492,0.5754424557544245
Zebrafish,PostDCA,telencephalon,60.0,0.008396298105659264,1.012989530993318e-05,0.04755645661270852,,,,,,,,,,
Zebrafish,PostDCA,diencephalon,54.0,-0.015507254415166564,-0.01623932040088365,0.006125459893964321,,,,,,,,,,
Zebrafish,PostDCA,state system,90.0,-0.008092191432151764,-0.010564885485752799,0.014296215958945481,,,,,,,,,,
Zebrafish,PostDCA,mesencephalon,38.0,-0.02507492677319009,-0.020957369502904,0.01726344338694161,,,,,,,,,,
Zebrafish,PostDCA,hindbrain / motor,182.0,-0.010865059802457508,-0.01144821821701235,0.010364680921769525,,,,,,,,,,
Zebrafish,PostDCA,__global_permutation__,424.0,,,,119.67325587446794,6.272603052495581e-25,9.999000099990002e-05,10000.0,,,,,,
Zebrafish,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,diencephalon,60.0,54.0,0.02390355252082583,9.999000099990002e-05
Zebrafish,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,state system,60.0,90.0,0.016488489537811027,0.0022997700229977
Zebrafish,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,mesencephalon,60.0,38.0,0.033471224878849355,9.999000099990002e-05
Zebrafish,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,hindbrain / motor,60.0,182.0,0.019261357908116773,9.999000099990002e-05
Zebrafish,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,diencephalon,state system,54.0,90.0,0.0074150629830148,0.3233676632336766
Zebrafish,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,diencephalon,mesencephalon,54.0,38.0,0.009567672358023525,0.14908509149085092
Zebrafish,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,diencephalon,hindbrain / motor,54.0,182.0,0.004642194612709056,0.6924307569243076
Zebrafish,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,state system,mesencephalon,90.0,38.0,0.016982735341038325,0.0018998100189981002
Zebrafish,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,state system,hindbrain / motor,90.0,182.0,0.002772868370305744,0.9384061593840616
Zebrafish,PostDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mesencephalon,hindbrain / motor,38.0,182.0,0.014209866970732581,0.013298670132986702
Zebrafish,PreDCA,telencephalon,61.0,-0.010647598986132467,-0.0036731218444257,0.02603611861833024,,,,,,,,,,
Zebrafish,PreDCA,diencephalon,56.0,-0.0024115483828410144,-0.00272563976773015,0.0021525060081280744,,,,,,,,,,
Zebrafish,PreDCA,state system,84.0,0.0016636975385620585,0.00095822409058035,0.005309760469664589,,,,,,,,,,
Zebrafish,PreDCA,mesencephalon,40.0,-0.007886633241657589,-0.0069556553610998,0.00511249769255089,,,,,,,,,,
Zebrafish,PreDCA,hindbrain / motor,181.0,-0.002089091491620866,0.0007851860095915,0.051844434194474,,,,,,,,,,
Zebrafish,PreDCA,__global_permutation__,422.0,,,,101.1460713273605,5.608314677679247e-21,0.32066793320667936,10000.0,,,,,,
Zebrafish,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,diencephalon,61.0,56.0,0.008236050603291453,0.5446455354464553
Zebrafish,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,state system,61.0,84.0,0.012311296524694525,0.2950704929507049
Zebrafish,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,mesencephalon,61.0,40.0,0.0027609657444748782,0.9943005699430058
Zebrafish,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,telencephalon,hindbrain / motor,61.0,181.0,0.008558507494511602,0.5278472152784721
Zebrafish,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,diencephalon,state system,56.0,84.0,0.004075245921403073,0.9455054494550545
Zebrafish,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,diencephalon,mesencephalon,56.0,40.0,0.005475084858816574,0.7949205079492051
Zebrafish,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,diencephalon,hindbrain / motor,56.0,181.0,0.0003224568912201485,1.0
Zebrafish,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,state system,mesencephalon,84.0,40.0,0.009550330780219647,0.47315268473152683
Zebrafish,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,state system,hindbrain / motor,84.0,181.0,0.003752789030182924,0.9635036496350365
Zebrafish,PreDCA,__pairwise_global_permutation_maxT__,,,,,,,,10000.0,mesencephalon,hindbrain / motor,40.0,181.0,0.005797541750036723,0.7542245775422458
Zebrafish,Modularity,telencephalon,41.0,0.7033382735891901,0.6879524557739451,0.08432267525059958,,,,,,,,,,
Zebrafish,Modularity,diencephalon,56.0,0.6300600173814325,0.6330173095602655,0.07550679790504049,,,,,,,,,,
Zebrafish,Modularity,state system,42.0,0.6659073241057991,0.6791610379869146,0.07132664864748493,,,,,,,,,,
Zebrafish,Modularity,mesencephalon,35.0,0.735566214647715,0.7456084416164742,0.08284093995614386,,,,,,,,,,
Zebrafish,Modularity,hindbrain / motor,154.0,0.5053603483957482,0.5206162956972343,0.12432819228731921,,,,,,,,,,
