species,unit_type,node,n_edge_values,summary_from_sample,edge_source_dca_mean,edge_source_dca_median,edge_source_dca_q25,edge_source_dca_q75,edge_source_dca_frac_positive,edge_source_dca_frac_negative,EdgeStdFCV
C. elegans,neuron,AVDR,43,False,0.026755232774358314,0.023882628390159,0.0037664217682202,0.05821804658317105,0.8604651162790697,0.13953488372093023,0.3023396477586539
C. elegans,neuron,RMGL,20,False,0.008188733539214852,0.0070495040264538,-0.00183541382313145,0.017623396755323425,0.65,0.35,0.3073974379131809
C. elegans,neuron,URADL,5,False,0.00997462395333896,0.008095403591378,-0.0014886382814708,0.0200250838331974,0.6,0.4,0.3081655682081544
C. elegans,neuron,AVJR,26,False,0.031615204301148794,0.02442166673069925,0.004950421622099575,0.05930298198230015,0.8076923076923077,0.19230769230769232,0.3085079288873576
C. elegans,neuron,FLPR,5,False,0.05598661675101284,0.02366575705739,0.00427936862027,0.0307085258137396,0.8,0.2,0.3091522883807622
C. elegans,neuron,AIZR,18,False,0.008739007635103364,0.011101883520095699,-0.005918301826854251,0.030408867140676726,0.7222222222222222,0.2777777777777778,0.3091980115503724
C. elegans,neuron,AVDL,38,False,0.02972288256504954,0.03453500582746215,0.00029503119867352497,0.08559788096051205,0.7368421052631579,0.2631578947368421,0.3095323271643111
C. elegans,neuron,URADR,5,False,0.01740020360086954,0.0100279085794089,0.0073729178809187,0.0175300284428789,1.0,0.0,0.3096736337063525
C. elegans,neuron,IL2VL,1,False,0.0879947238929901,0.0879947238929901,0.0879947238929901,0.0879947238929901,1.0,0.0,0.311235762491953
C. elegans,neuron,IL2DL,2,False,0.0088692614077106,0.0088692614077106,0.0032913501949671997,0.014447172620453998,0.5,0.5,0.3132455031122126
C. elegans,neuron,AVHL,17,False,0.018863913680555833,0.0049314041219524,0.0009695323765915,0.0346146791543048,0.7647058823529411,0.23529411764705882,0.3144531813941563
C. elegans,neuron,CEPDR,10,False,0.02826828090111693,0.0237045359805745,0.0069975948383843,0.036345952158363476,0.9,0.1,0.3147093423826473
C. elegans,neuron,ADER,11,False,0.04993089273761828,0.0237330101588609,0.00793970158720415,0.06180329981705155,0.8181818181818182,0.18181818181818182,0.3155816422261802
C. elegans,neuron,RICR,21,False,0.02094082585065592,0.0159205061498043,0.0045425003663694,0.0273839881279516,0.8571428571428571,0.14285714285714285,0.3160675263919945
C. elegans,neuron,ADEL,6,False,0.036321425591392086,0.0034732252837277,-0.015894272573888674,0.02514016657253625,0.5,0.5,0.316120710667399
C. elegans,neuron,AVJL,26,False,0.0204232802508546,0.02059789275013445,0.0026356915926711,0.03488833532028423,0.8846153846153846,0.11538461538461539,0.3174006222405808
C. elegans,neuron,FLPL,7,False,0.028202803850811285,0.0237330101588609,0.0011600108123392995,0.0339862151089447,0.7142857142857143,0.2857142857142857,0.3186063030842768
C. elegans,neuron,AIZL,23,False,0.03195974979861964,0.016181253662536,0.0045851330384602505,0.0576890413532715,0.8695652173913043,0.13043478260869565,0.318904430404514
C. elegans,neuron,URAVR,7,False,0.022011036485927747,0.0117413470258144,0.0040129047458281,0.0393512156525377,0.8571428571428571,0.14285714285714285,0.3192043836776416
C. elegans,neuron,CEPVR,20,False,0.034573803117105874,0.02129595288026645,0.00517920573019705,0.055651466759887275,0.85,0.15,0.3201911448629372
C. elegans,neuron,IL2DR,4,False,0.0316826178858984,0.03287376175930885,0.01638606729388145,0.048170312351325795,1.0,0.0,0.3206479261807062
C. elegans,neuron,AIYL,12,False,0.026065805387042257,0.01115436915020695,0.005448508711657875,0.03794937949141615,0.9166666666666666,0.08333333333333333,0.3212578520577572
C. elegans,neuron,RMDDR,21,False,0.025351078440444454,0.0045425003663694,0.002228476865899,0.0562206372151807,0.7619047619047619,0.23809523809523808,0.3219758324174668
C. elegans,neuron,RIAR,35,False,0.005340309887418395,0.0143588989275324,-0.01760529120007865,0.0357349318983506,0.6571428571428571,0.34285714285714286,0.3229675677686889
C. elegans,neuron,RMDVR,22,False,0.008300063964128294,0.0244490863846871,-0.014959942662400852,0.054312191405349125,0.6818181818181818,0.3181818181818182,0.3231859047141459
C. elegans,neuron,AWAR,11,False,0.020584851688166834,0.0055326068603168,0.0025254212442637,0.03492506658168225,0.9090909090909091,0.09090909090909091,0.3247676909728038
C. elegans,neuron,ADAL,14,False,0.036736919539539836,0.029394323531750297,0.00170350157434285,0.06074747584419958,0.7857142857142857,0.21428571428571427,0.3248013011434271
C. elegans,neuron,AQR,10,False,0.026062958649439895,0.02258967773732965,0.002994206682859525,0.03504989507685623,0.8,0.2,0.3250557021586057
C. elegans,neuron,URAVL,8,False,0.00969221003311334,0.0244490863846871,0.009992164444841625,0.048398350055523974,0.875,0.125,0.3251138994307036
C. elegans,neuron,URYVR,9,False,-0.004409815687803322,0.0044078602232087,-0.0165763088916314,0.0600001440589098,0.6666666666666666,0.3333333333333333,0.3254734578890412
C. elegans,neuron,CEPVL,13,False,0.02239988235113784,0.0159205061498043,-0.0380918108046642,0.080794800629003,0.6153846153846154,0.38461538461538464,0.3255136225564881
C. elegans,neuron,URXR,21,False,0.021624290017156066,0.025061877317654,0.0053423594208652,0.0350326695935058,0.8571428571428571,0.14285714285714285,0.3260604476420717
C. elegans,neuron,AWBR,8,False,0.028191623292978012,0.019054063335001252,0.0077775530700330995,0.03617243462802285,1.0,0.0,0.3267566902921516
C. elegans,neuron,URBL,4,False,0.03041785750766425,0.021879046996029147,0.018522445471382425,0.03377445903231098,1.0,0.0,0.32699685907927
C. elegans,neuron,ADAR,16,False,0.04185934743882214,0.0393699954784446,0.010341806230736125,0.06495460916343965,0.8125,0.1875,0.3270550377194187
C. elegans,neuron,AUAR,10,False,0.04579814633301429,0.02894984505994805,0.006470956751314675,0.0560126291469763,0.9,0.1,0.3274902236394654
C. elegans,neuron,IL2VR,5,False,-0.01015264148784346,0.0045425003663694,0.002228476865899,0.0481867293131309,0.8,0.2,0.3275475217451253
C. elegans,neuron,AVBR,47,False,0.012183374606170848,0.0176269046042982,0.0007454060885059,0.0368505493036726,0.7659574468085106,0.23404255319148937,0.3282464458072793
C. elegans,neuron,SAAVR,10,False,-0.04778109640339029,-0.00978064918168515,-0.0221604701563241,0.00976145193270465,0.4,0.6,0.3284400070992513
C. elegans,neuron,AVKR,12,False,0.0016235560474519393,-0.0006861603122422999,-0.016060506951984875,0.0242623468003915,0.5,0.5,0.3286222601610877
C. elegans,neuron,AVL,16,False,0.01273272853850621,0.0036625370805256005,0.00041159036847332497,0.026594259506184825,0.875,0.125,0.3288963671533629
