species,node,EdgeStdFCV,PostDCA,PreDCA,Modularity,modularity_definition,modularity_edges,modularity_n_modules,LogOutIn,recording_id,Subject,class_order,class_label,class_short,fine_class,anatomy_group,OO_fraction,OO_count,II_fraction,II_count,out_degree,DCA_recomputed,cell_class,OO_minus_II,oo_level,oo_source,OO_fraction_edgecheck,n_oo_cells,n_cells,big_group,PostDCA_from_oo_source,oo_node,Division,InterOutDegree,NN_fraction,ON_fraction,NO_fraction,n_subjects
C. elegans,AIYL,-0.7231062055225451,0.0387711934053101,0.014331784418101,0.3995716822787896,1-hop induced structural neighborhood modularity Q,64.0,3.0,0.4534743272945249,node_mean,,5.0,associative / learning,associative / learning,associative interneuron,interneurons,0.8333333333333334,10.0,0.0,0.0,12.0,0.0796415296769194,Interneuron,0.8333333333333334,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AIYR,-0.1312169578002816,0.0538733599112803,0.0090704486755844,0.4216142261088249,1-hop induced structural neighborhood modularity Q,62.0,3.0,0.4380086558406358,node_mean,,5.0,associative / learning,associative / learning,associative interneuron,interneurons,0.7857142857142857,11.0,0.0,0.0,14.0,0.08128233102269465,Interneuron,0.7857142857142857,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AIZL,-0.8887195903046528,0.0204181099660161,0.0474467650663529,0.403145092335744,1-hop induced structural neighborhood modularity Q,153.0,5.0,0.1375555429242481,node_mean,,5.0,associative / learning,associative / learning,associative interneuron,interneurons,0.55,11.0,0.0,0.0,20.0,0.024022533131526858,Interneuron,0.55,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AIZR,-1.316377113314144,0.020458202282866,0.0485028683518328,0.3995200126791898,1-hop induced structural neighborhood modularity Q,107.0,4.0,-0.0962768304354198,node_mean,,5.0,associative / learning,associative / learning,associative interneuron,interneurons,0.5625,9.0,0.0,0.0,16.0,0.01441738008668493,Interneuron,0.5625,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,ALA,-0.3617826300444622,-0.0440910493247112,0.0339861142347755,0.5251595457003787,1-hop induced structural neighborhood modularity Q,17.0,3.0,0.6931471805599453,node_mean,,6.0,state-dependent / modulatory,state-dependent / modulatory,state-modulatory interneuron,state-modulatory,0.42857142857142855,3.0,0.0,0.0,7.0,0.014358898927532495,Interneuron,0.42857142857142855,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,AQR,-0.5066244403314731,-0.0209444244297973,0.0392952149138182,0.330075863261283,1-hop induced structural neighborhood modularity Q,99.0,3.0,0.9162907318741552,node_mean,,2.0,other sensory,other sensory,thermo/gas sensory,sensory neurons,0.5789473684210527,11.0,0.0,0.0,19.0,0.03954519495184712,Sensory,0.5789473684210527,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,ASEL,0.5999583936775703,0.0406559890302322,0.0092507197028675,0.3711846860219897,1-hop induced structural neighborhood modularity Q,80.0,5.0,1.2299482907291963,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.7647058823529411,13.0,0.0,0.0,17.0,0.012281635219342798,Sensory,0.7647058823529411,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,ASER,0.7767642771058964,0.0341258340724581,0.0167177457883876,0.3970476139049279,1-hop induced structural neighborhood modularity Q,109.0,3.0,0.3841423386393431,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.7058823529411765,12.0,0.0,0.0,17.0,0.00661983007540916,Sensory,0.7058823529411765,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,ASGL,0.879999177469131,-0.005239233925971,0.0084972584535816,0.0621280276816608,1-hop induced structural neighborhood modularity Q,13.0,3.0,1.329135947279942,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.75,3.0,0.0,0.0,4.0,0.010990308402165718,Sensory,0.75,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,ASGR,0.2448407951202664,-0.0032007243294031,0.0077206012072321,0.22562269161503,1-hop induced structural neighborhood modularity Q,44.0,3.0,1.203972804325936,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.6,3.0,0.0,0.0,5.0,0.011285970431131484,Sensory,0.6,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,ASHL,0.6738876331718797,-0.0173948774511532,0.0224048983033459,0.4376725188340011,1-hop induced structural neighborhood modularity Q,103.0,5.0,1.820332841672111,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.75,15.0,0.0,0.0,20.0,0.07718054378694279,Sensory,0.75,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,ASIL,1.1971120119688037,0.0315659701679215,0.0068757177773338,0.4106647427926599,1-hop induced structural neighborhood modularity Q,53.0,4.0,0.8938178760220965,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.8823529411764706,15.0,0.0,0.0,17.0,0.005532606860316848,Sensory,0.8823529411764706,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
C. elegans,ASIR,0.4849856275222814,0.0078253633617394,0.019999902767536,0.1967643229166666,1-hop induced structural neighborhood modularity Q,40.0,3.0,1.3862943611198906,node_mean,,0.0,olfactory / chemosensory,olfactory / chemosensory,chemosensory,olf./chemo,0.75,9.0,0.0,0.0,12.0,0.0012844460562063678,Sensory,0.75,neuron,fcv_postdca_raw_recompute/out_data/celegans/post_dca/celegans_sc_matrix_full297_no_diagonal.npz,,,,,,,,,,,,
