figure,panel,model,feature_set,feature,weight,left_out_region,left_out_division,standardized_beta
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.42656347314118537,PrT,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.46481500359513506,PrT,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.18745286691379356,PrT,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3373125361017333,PrT,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6777805448570281,Th,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4279160444937694,Th,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4532157839451768,Th,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.1967786260417873,Th,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3367120689761221,Th,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.7189574370824027,rHb,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.40333578336868864,rHb,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.3983167682577632,rHb,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.25673255331071587,rHb,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.30960070690087255,rHb,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6817328240753283,rPT,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.42964889732250144,rPT,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.44266973158118345,rPT,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.2040123225558496,rPT,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.33625089233345756,rPT,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6918563877207818,rPrT,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.42020919946959157,rPrT,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.44421903729441975,rPrT,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.18948113644310705,rPrT,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3339540586495739,rPrT,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6836116187726703,rTh,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4282016029820639,rTh,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.438675228084221,rTh,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.2063616507303758,rTh,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3380790665742117,rTh,Di,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6530930029219009,TS,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.41531559570057947,TS,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.43623680743103455,TS,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.19238982598665325,TS,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.41673263395314947,TS,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6720184503351537,TeO,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4342903752505357,TeO,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.45888731377040665,TeO,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.1953477064463661,TeO,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3332338206434207,TeO,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.7256225793026508,rTS,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.37716266295551176,rTS,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.39798821885019275,rTS,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.255227286365671,rTS,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.32815333005980823,rTS,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6783822855783432,rTeO,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4290395278703168,rTeO,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.45268137941436654,rTeO,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.2298720734267509,rTeO,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.31298715105944963,rTeO,Mes,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6753539521252682,Cb,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4293987197662385,Cb,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.45539398749306303,Cb,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.20265330308093743,Cb,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3332592590123329,Cb,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6555741591723615,MON,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.482916164797427,MON,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4596118862318315,MON,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.1717917261220232,MON,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3102563721718354,MON,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6975503426705483,MOS1,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.40724734798623097,MOS1,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.42427132225105063,MOS1,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.24085316967290804,MOS1,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3309935237617803,MOS1,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6870626709143334,MOS2,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.41409367654198975,MOS2,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4243336401817795,MOS2,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.2313638875795833,MOS2,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3505467538262785,MOS2,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6926853808977501,MOS3,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.41511673526666554,MOS3,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4285977527130457,MOS3,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.23047162165273793,MOS3,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.33324444057503355,MOS3,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6819805272530697,MOS4,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.42676268778244264,MOS4,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.44235538642121053,MOS4,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.2069751180501315,MOS4,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3380224569116749,MOS4,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6788077590070881,MOS5,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4309072742340195,MOS5,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.44700855322869265,MOS5,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.20688260755896562,MOS5,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3330493767506194,MOS5,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6903049052184141,NX,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4159289951317035,NX,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4295327377392425,NX,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.21949745709686197,NX,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.34322689635045983,NX,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6627978835378057,Ra,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4355992767473126,Ra,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.46091082277814727,Ra,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.17744732563763327,Ra,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3564069243786462,Ra,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6795752872822787,T,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4291285922784668,T,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.448315565429488,T,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.1999082738078532,T,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.33626762565122403,T,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6800200292679518,aRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4300139427928582,aRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4502783178485449,aRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.1918663578444401,aRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3362997264363257,aRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.680758649533906,imRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4194472281401956,imRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.42558404275250933,imRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.21270495280675106,imRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3664239477656812,imRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6847379753743598,pRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4264472634099043,pRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.423629739059089,pRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.21945546756908985,pRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3487890172427822,pRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6779932030139438,rCb,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4233520666166681,rCb,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.45126346674602896,rCb,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.20812634861918738,rCb,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3378504860868026,rCb,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6521253107691517,rMON,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4880640661758559,rMON,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4704429817214167,rMON,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.1615891266471329,rMON,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.29849355346574175,rMON,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6894755550761054,rMOS1,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.41256288023646476,rMOS1,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.42557074946988666,rMOS1,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.22869395644552265,rMOS1,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3478562063330484,rMOS1,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6827543902139205,rMOS2,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.416846067077114,rMOS2,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.43905593706397855,rMOS2,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.2202052242206128,rMOS2,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3447105196549423,rMOS2,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6840044568857594,rMOS3,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.42762892721600065,rMOS3,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4388886417699628,rMOS3,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.21224832817817454,rMOS3,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3340640819953505,rMOS3,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6695015109156228,rMOS4,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.44543477496107314,rMOS4,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4599732649654289,rMOS4,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.18624676448830632,rMOS4,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.327249639223264,rMOS4,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.681147243449155,rMOS5,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4274197284869462,rMOS5,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.44491640928732373,rMOS5,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.20560969467873483,rMOS5,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3363403791440366,rMOS5,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6752713653719955,rNX,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4294749769293232,rNX,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.40848007592587515,rNX,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.22338184132330344,rNX,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.37789470469801417,rNX,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6674384388817795,rRa,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4341357602326387,rRa,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4593447330058055,rRa,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.19091217645807637,rRa,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.34439371238474553,rRa,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6888076918918569,rT,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4182520200254817,rT,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4424313102025256,rT,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.20053690958458054,rT,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3385981319823818,rT,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6745385009890991,raRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.4382697620740899,raRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.4712549609687126,raRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Net TE,0.1555191314596839,raRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,Neighbor TE,0.3265730972497606,raRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCV,0.6943593729190166,rimRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,FCS,-0.40777027560048773,rimRF,Hind,
figure_sc_fc_final_overview,C,leave-one-region-out PLS LV1,FC,ProfileCorrDistFCV,0.41745976962910736,rimRF,Hind,
