species,fc_fdr_q,n,mean_fc_neighbors,pearson_r,pearson_p,spearman_rho,spearman_p
C. elegans,1e-05,120,23.976872104611076,0.08932993776792236,0.33191722788853656,0.08239461073685672,0.3709673302537152
C. elegans,3e-05,120,25.46513080601316,-0.009302257038271623,0.9196800906002282,-0.010327106049031181,0.9108657031566172
C. elegans,0.0001,120,27.286856072848718,-0.05408373464709206,0.5574145717945659,-0.021959858323494685,0.8118275817507019
C. elegans,0.0003,120,29.248824325184618,-0.02776925588846693,0.7633603397787762,-0.02721022293214806,0.7679879369500453
C. elegans,0.001,120,31.66840840940106,-0.00714566981455679,0.9382587603850029,-0.008896451142440446,0.9231730478697296
C. elegans,0.003,120,34.46355163219133,-0.028221059357108953,0.7596264543968533,-0.057510938259601345,0.532677951103613
C. elegans,0.01,120,38.05099282321709,-0.08499944543475751,0.35598211393238627,-0.14726022640461142,0.10848644346448864
C. elegans,0.03,120,42.2767359485558,-0.07761045198208211,0.3994785129390042,-0.15258698520730604,0.09615864274708742
C. elegans,0.05,120,44.514798027408325,-0.060903750086553625,0.5087420094878063,-0.12772414751024375,0.16446692515959066
C. elegans,0.1,120,48.11805307233616,-0.062429474057739666,0.49816255529553527,-0.11252864782276545,0.22107375090567088
C. elegans,0.2,120,52.45667028913352,-0.17266786109032053,0.059311908138831346,-0.1755677477602611,0.05510545793062327
Drosophila,1e-05,67,35.28152657763812,-0.7018462277519235,3.6757504238579004e-11,-0.7493415276558385,3.00475455494439e-13
Drosophila,3e-05,67,36.527088242995546,-0.688768322359612,1.1751026755259115e-10,-0.7433155080213906,5.857915647037022e-13
Drosophila,0.0001,67,37.93570742777342,-0.7074157022040981,2.1982141353515173e-11,-0.809402186926331,1.137685582910552e-16
Drosophila,0.0003,67,39.463088068429784,-0.6163585336918612,2.8120031452229305e-08,-0.6722404022667413,4.693573802730976e-10
Drosophila,0.001,67,41.21964737714934,-0.36987707311987855,0.002065515284548204,-0.6614654002713706,1.1050839465657619e-09
Drosophila,0.003,67,43.07012743301038,-0.6639166925814567,9.122717456064708e-10,-0.6992577220847634,4.649281722272434e-11
Drosophila,0.01,67,45.466897966308814,-0.5169579775193489,7.502829381747874e-06,-0.6484156756325327,2.9789177100130085e-09
Drosophila,0.03,67,48.070760233918136,-0.37254450954424834,0.0019053398755426113,-0.5545933434432118,1.1179333629693187e-06
Drosophila,0.05,67,49.56434057781269,-0.6391898687539747,5.837885296759832e-09,-0.6854497565647698,1.5631091659420397e-10
Drosophila,0.1,67,51.91604695819149,-0.6490445827465238,2.843009198388019e-09,-0.6922340170803736,8.68771976203958e-11
Drosophila,0.2,67,54.602160251374706,-0.6833153907589802,1.8742552731974134e-10,-0.6914358687844202,9.316994368606657e-11
Zebrafish,1e-05,49,67.87627945260212,0.40049030224841436,0.00435169803051017,0.30193877551020404,0.03498809508040639
Zebrafish,3e-05,49,70.41208002491231,0.4010726124008157,0.004290061602441946,0.3231632653061224,0.023519127989884127
Zebrafish,0.0001,49,73.51405063214574,0.42529017098553823,0.0023171725916369054,0.3578571428571428,0.01158463903382468
Zebrafish,0.0003,49,76.72498628036915,0.39312976407126443,0.005200418505846556,0.32887755102040817,0.021037738762601805
Zebrafish,0.001,49,80.93062885422472,0.3285868055946292,0.021158434279890413,0.26459183673469383,0.06617676679707155
Zebrafish,0.003,49,85.38566052366428,0.3230662836906949,0.02356327496946449,0.2980612244897959,0.03751571457427286
Zebrafish,0.01,49,91.45225060458512,0.19748777196482106,0.1737773455743584,0.14867346938775508,0.3079523866060121
Zebrafish,0.03,49,98.29558601400696,0.15863677244266738,0.27628505177863794,0.08622448979591836,0.5558016468874201
Zebrafish,0.05,49,102.11442273855454,0.12167313423667656,0.4049431784657954,0.08326530612244896,0.5694920422723238
Zebrafish,0.1,49,108.51846694531483,0.01644578608392482,0.9106995987108966,-0.0730612244897959,0.6178543962865506
Zebrafish,0.2,49,117.06171968121248,0.021252529190172037,0.8847554705159837,-0.07418367346938774,0.6124501386692583
