predictor,raw_predictor,label,raw_label,outcome,method,n,sign_multiplier,r,abs_r,p,q_bh
GlobalPostDCA_FCVAligned,GlobalPostDCA,Global Post-DCA (FCV-aligned),Global Post-DCA,RawFCV,spearman,47,1.0,0.17183163737280294,0.17183163737280294,0.24812652618877,0.5513922804194888
GlobalPostDCA_FCVAligned,GlobalPostDCA,Global Post-DCA (FCV-aligned),Global Post-DCA,ZFCS,pearson,47,1.0,-0.31429288841608993,0.31429288841608993,0.031435786882434084,0.05399830008538706
GlobalPostDCA_FCVAligned,GlobalPostDCA,Global Post-DCA (FCV-aligned),Global Post-DCA,ZFCS,spearman,47,1.0,-0.24444958371877892,0.24444958371877892,0.0977290291605171,0.15622933718052306
GlobalPostDCA_FCVAligned,GlobalPostDCA,Global Post-DCA (FCV-aligned),Global Post-DCA,RawFCS,pearson,47,1.0,-0.3356401305152712,0.3356401305152712,0.021086869098905652,0.042173738197811304
GlobalPostDCA_FCVAligned,GlobalPostDCA,Global Post-DCA (FCV-aligned),Global Post-DCA,RawFCS,spearman,47,1.0,-0.2593663274745606,0.2593663274745606,0.07832123829074387,0.13214979150555975
GlobalPostDCA_TargetAreaEqualMean_FCVAligned,GlobalPostDCA_TargetAreaEqualMean,"Global Post-DCA
(target-area equal) (FCV-aligned)","Global Post-DCA
(target-area equal)",ZFCV,pearson,47,1.0,0.10498472855770777,0.10498472855770777,0.4824904493222201,0.6433205990962935
GlobalPostDCA_TargetAreaEqualMean_FCVAligned,GlobalPostDCA_TargetAreaEqualMean,"Global Post-DCA
(target-area equal) (FCV-aligned)","Global Post-DCA
(target-area equal)",ZFCV,spearman,47,1.0,0.12014338575393155,0.12014338575393155,0.42116474468188636,0.647945761049056
GlobalPostDCA_TargetAreaEqualMean_FCVAligned,GlobalPostDCA_TargetAreaEqualMean,"Global Post-DCA
(target-area equal) (FCV-aligned)","Global Post-DCA
(target-area equal)",RawFCV,pearson,47,1.0,0.11891289055827134,0.11891289055827134,0.4259714649391616,0.5679619532522154
GlobalPostDCA_TargetAreaEqualMean_FCVAligned,GlobalPostDCA_TargetAreaEqualMean,"Global Post-DCA
(target-area equal) (FCV-aligned)","Global Post-DCA
(target-area equal)",RawFCV,spearman,47,1.0,0.13390379278445885,0.13390379278445885,0.36954337235995205,0.568528265169157
GlobalPostDCA_TargetAreaEqualMean_FCVAligned,GlobalPostDCA_TargetAreaEqualMean,"Global Post-DCA
(target-area equal) (FCV-aligned)","Global Post-DCA
(target-area equal)",ZFCS,pearson,47,1.0,-0.05511079202031228,0.05511079202031228,0.712927984567105,0.7504505100706368
GlobalPostDCA_TargetAreaEqualMean_FCVAligned,GlobalPostDCA_TargetAreaEqualMean,"Global Post-DCA
(target-area equal) (FCV-aligned)","Global Post-DCA
(target-area equal)",ZFCS,spearman,47,1.0,-0.04544403330249769,0.04544403330249769,0.7616490045130893,0.7616490045130893
GlobalPostDCA_TargetAreaEqualMean_FCVAligned,GlobalPostDCA_TargetAreaEqualMean,"Global Post-DCA
(target-area equal) (FCV-aligned)","Global Post-DCA
(target-area equal)",RawFCS,pearson,47,1.0,-0.08259275950919792,0.08259275950919792,0.5809999434501796,0.6835293452355053
GlobalPostDCA_TargetAreaEqualMean_FCVAligned,GlobalPostDCA_TargetAreaEqualMean,"Global Post-DCA
(target-area equal) (FCV-aligned)","Global Post-DCA
(target-area equal)",RawFCS,spearman,47,1.0,-0.06683626271970398,0.06683626271970398,0.6553317141705335,0.6553317141705335
RegionMeanGlobalDCA_FCVAligned,RegionMeanGlobalDCA,Region mean global DCA (FCV-aligned),Region mean global DCA,ZFCV,pearson,47,-1.0,0.019791145605155273,0.019791145605155273,0.8949522347990126,0.9229765317156783
