species,node,edge_source_dca_mean,n_edge_values,EdgeStdFCV_raw,EdgeStdFCV_zscore,EdgeStdFCV,PreDCA,predca_for_plot,predca_mode,class_order,class_label,fine_class,shared_fine_order,shared_fine_label,n_sample_edges,sample_edge_mean
C. elegans,AVDR,0.0267552327743583,43,0.3023396477586539,-1.3811287570778246,-1.3811287570778246,0.0660833213264959,0.0660833213264959,signed_PreDCA,1,sensorimotor output,locomotor command interneuron,3,sensorimotor output,43.0,0.026755232774358307
C. elegans,RMGL,0.0081887335392148,20,0.3073974379131809,-1.184630788789381,-1.184630788789381,0.0069226372171253,0.0069226372171253,signed_PreDCA,4,state-dependent / modulatory,state-modulatory interneuron,6,state-dependent / modulatory,20.0,0.00818873353921485
C. elegans,URADL,0.0099746239533389,5,0.3081655682081544,-1.7373366046987515,-1.7373366046987515,0.008569245915579,0.008569245915579,signed_PreDCA,1,sensorimotor output,other motor neuron,3,sensorimotor output,5.0,0.00997462395333896
C. elegans,AVJR,0.0316152043011487,26,0.3085079288873576,-1.2501322912349255,-1.2501322912349255,0.0337457433925746,0.0337457433925746,signed_PreDCA,2,integrative relay,other interneuron,4,integrative relay,26.0,0.031615204301148794
C. elegans,FLPR,0.0559866167510128,5,0.3091522883807622,-1.3991211090469498,-1.3991211090469498,0.0560912591379397,0.0560912591379397,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,5.0,0.05598661675101284
C. elegans,AIZR,0.0087390076351033,18,0.3091980115503724,-1.3167952854281442,-1.3167952854281442,0.0485028683518328,0.0485028683518328,signed_PreDCA,3,associative / learning,associative interneuron,5,associative / learning,18.0,0.00873900763510336
C. elegans,AVDL,0.0297228825650495,38,0.3095323271643111,-1.1411070088143918,-1.1411070088143918,0.0793065898466523,0.0793065898466523,signed_PreDCA,1,sensorimotor output,locomotor command interneuron,3,sensorimotor output,38.0,0.029722882565049537
C. elegans,URADR,0.0174002036008695,5,0.3096736337063525,-1.6302583024171546,-1.6302583024171546,0.0245333262156602,0.0245333262156602,signed_PreDCA,1,sensorimotor output,other motor neuron,3,sensorimotor output,5.0,0.01740020360086954
C. elegans,IL2VL,0.0879947238929901,1,0.311235762491953,-1.204093230845751,-1.204093230845751,0.0879947238929901,0.0879947238929901,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,1.0,0.0879947238929901
C. elegans,IL2DL,0.0088692614077106,2,0.3132455031122126,-1.0430143798119822,-1.0430143798119822,0.0088692614077106,0.0088692614077106,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,2.0,0.0088692614077106
C. elegans,AVHL,0.0188639136805558,17,0.3144531813941563,-1.5393466206490338,-1.5393466206490338,0.0136927022851149,0.0136927022851149,signed_PreDCA,2,integrative relay,other interneuron,4,integrative relay,17.0,0.018863913680555837
C. elegans,CEPDR,0.0282682809011169,10,0.3147093423826473,-1.0336978149852607,-1.0336978149852607,0.0358032711083191,0.0358032711083191,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,10.0,0.028268280901116927
C. elegans,ADER,0.0499308927376182,11,0.3155816422261802,-1.2232546837023324,-1.2232546837023324,0.055715481108768,0.055715481108768,signed_PreDCA,0,sensory input,other sensory neuron,2,other sensory,11.0,0.04993089273761828
C. elegans,RICR,0.0209408258506559,21,0.3160675263919945,-0.9067290125922598,-0.9067290125922598,0.0181399683287866,0.0181399683287866,signed_PreDCA,4,state-dependent / modulatory,state-modulatory interneuron,6,state-dependent / modulatory,21.0,0.020940825850655924
C. elegans,ADEL,0.036321425591392,6,0.316120710667399,-0.9594206912803368,-0.9594206912803368,0.1383355165121818,0.1383355165121818,signed_PreDCA,0,sensory input,other sensory neuron,2,other sensory,6.0,0.036321425591392086
C. elegans,AVJL,0.0204232802508546,26,0.3174006222405808,-1.0183124792536458,-1.0183124792536458,0.0227191287952742,0.0227191287952742,signed_PreDCA,2,integrative relay,other interneuron,4,integrative relay,26.0,0.0204232802508546
C. elegans,FLPL,0.0282028038508112,7,0.3186063030842768,-0.8686396013499773,-0.8686396013499773,0.080275585349633,0.080275585349633,signed_PreDCA,0,sensory input,mechanosensory,2,other sensory,7.0,0.028202803850811285
C. elegans,AIZL,0.0319597497986196,23,0.318904430404514,-0.8896008985456061,-0.8896008985456061,0.0474467650663529,0.0474467650663529,signed_PreDCA,3,associative / learning,associative interneuron,5,associative / learning,23.0,0.03195974979861964
C. elegans,URAVR,0.0220110364859277,7,0.3192043836776416,-0.976791306592615,-0.976791306592615,0.0179200981281793,0.0179200981281793,signed_PreDCA,1,sensorimotor output,other motor neuron,3,sensorimotor output,7.0,0.022011036485927744
